meta-mOTU_v2_ID	kingdom	phylum	class	order	family	genus	mOTU
meta_mOTU_v3_12227	2 Bacteria	1239 Firmicutes	NA Firmicutes class incertae sedis	NA Firmicutes order incertae sedis	NA Firmicutes fam. incertae sedis	NA Firmicutes gen. incertae sedis	NA Firmicutes species incertae sedis
meta_mOTU_v3_12228	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12229	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12230	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	NA Gammaproteobacteria species incertae sedis
meta_mOTU_v3_12231	2 Bacteria	1239 Firmicutes	NA Firmicutes class incertae sedis	NA Firmicutes order incertae sedis	NA Firmicutes fam. incertae sedis	NA Firmicutes gen. incertae sedis	NA Firmicutes species incertae sedis
meta_mOTU_v3_12232	2 Bacteria	200795 Chloroflexi	301297 Dehalococcoidia	1202465 Dehalococcoidales	NA Dehalococcoidales fam. incertae sedis	NA Dehalococcoidales gen. incertae sedis	NA Dehalococcoidales species incertae sedis
meta_mOTU_v3_12233	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	1262775 Clostridium sp. CAG:138
meta_mOTU_v3_12234	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium species incertae sedis
meta_mOTU_v3_12235	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	1263 Ruminococcus	1262952 Ruminococcus sp. CAG:177
meta_mOTU_v3_12236	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	54526 Pelagibacterales	1655514 Pelagibacteraceae	NA Pelagibacteraceae gen. incertae sedis	744985 alpha proteobacterium HIMB59
meta_mOTU_v3_12237	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
meta_mOTU_v3_12238	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Bacteria species incertae sedis
meta_mOTU_v3_12239	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	NA Ruminococcaceae gen. incertae sedis	NA Ruminococcaceae species incertae sedis
meta_mOTU_v3_12240	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	NA Lachnospiraceae gen. incertae sedis	NA Lachnospiraceae species incertae sedis
meta_mOTU_v3_12241	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	NA Rhodospirillales fam. incertae sedis	NA Rhodospirillales gen. incertae sedis	NA Rhodospirillales species incertae sedis
meta_mOTU_v3_12242	2 Bacteria	1239 Firmicutes	NA Firmicutes class incertae sedis	NA Firmicutes order incertae sedis	NA Firmicutes fam. incertae sedis	NA Firmicutes gen. incertae sedis	NA Firmicutes species incertae sedis
meta_mOTU_v3_12243	2 Bacteria	200795 Chloroflexi	301297 Dehalococcoidia	1202465 Dehalococcoidales	NA Dehalococcoidales fam. incertae sedis	NA Dehalococcoidales gen. incertae sedis	NA Dehalococcoidales species incertae sedis
meta_mOTU_v3_12244	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186804 Peptostreptococcaceae	NA Peptostreptococcaceae gen. incertae sedis	NA Peptostreptococcaceae species incertae sedis
meta_mOTU_v3_12245	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	1262771 Clostridium sp. CAG:1193
