Taxa	TaxID
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__caulobacterales|f__caulobacteraceae|g__brevundimonas|s__brevundimonas_sp._aja228-03	2|1224|28211|204458|76892|41275|2752515
k__viruses|f__alphasatellitidae|s__black_medic_leafroll_alphasatellite_1	10239|1458186|1441796
k__viruses|f__alphasatellitidae|g__mivedwarsatellite|s__pea_necrotic_yellow_dwarf_alphasatellite_1	10239|1458186|2169630|1441797
k__viruses|f__alphasatellitidae|s__pea_necrotic_yellow_dwarf_alphasatellite_3	10239|1458186|1441798
k__viruses|f__alphasatellitidae|s__faba_bean_necrotic_stunt_alphasatellite_1	10239|1458186|1441799
k__viruses|f__alphasatellitidae|s__faba_bean_necrotic_stunt_alphasatellite_2	10239|1458186|1441800
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__enterobacterales|f__erwiniaceae|g__buchnera|s__buchnera_aphidicola	2|1224|1236|91347|1903409|32199|9
k__viruses|k__orthornavirae|p__pisuviricota|c__pisoniviricetes|o__sobelivirales|f__solemoviridae|g__polerovirus|s__beet_chlorosis_virus	10239|2732396|2732408|2732506|2732553|2169577|119164|131082
k__viruses|k__orthornavirae|p__pisuviricota|c__pisoniviricetes|o__sobelivirales|f__solemoviridae|g__polerovirus|s__turnip_yellows_virus	10239|2732396|2732408|2732506|2732553|2169577|119164|131083
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__enterobacterales|f__yersiniaceae|g__yersinia|s__yersinia_sp._kbs0713	2|1224|1236|91347|1903411|629|1179669
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|f__micrococcaceae|g__micrococcus|s__micrococcus_sp._kbs0714	2|201174|1760|85006|1268|1269|1179670
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__alteromonadales|f__shewanellaceae|g__shewanella|s__shewanella_putrefaciens	2|1224|1236|135622|267890|22|24
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__enterobacterales|f__erwiniaceae|g__buchnera|s__buchnera_aphidicola	2|1224|1236|91347|1903409|32199|9|655384
k__bacteria|p__bacteroidota|c__flavobacteriia|o__flavobacteriales|f__flavobacteriaceae|g__flavobacterium|s__flavobacterium_sp._kbs0721	2|976|117743|200644|49546|237|1179672
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|f__cellulomonadaceae|g__oerskovia|s__oerskovia_sp._kbs0722	2|201174|1760|85006|85016|162491|1179673
k__bacteria|p__proteobacteria|c__betaproteobacteria|o__burkholderiales|f__burkholderiaceae|g__burkholderia|s__burkholderia_sp._kbs0801	2|1224|28216|80840|119060|32008|1179675
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__rhizobium|s__rhizobium_sp._n113	2|1224|28211|356|82115|379|1703960
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__rhizobium|s__rhizobium_sp._n1314	2|1224|28211|356|82115|379|1703961
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__rhizobium|s__rhizobium_sp._n1341	2|1224|28211|356|82115|379|1703962
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__rhizobium|s__rhizobium_sp._n621	2|1224|28211|356|82115|379|1703964
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__rhizobium|s__rhizobium_sp._n6212	2|1224|28211|356|82115|379|1703965
k__bacteria|p__proteobacteria|c__deltaproteobacteria|o__myxococcales|f__myxococcaceae|g__myxococcus|s__myxococcus_xanthus	2|1224|28221|29|31|32|34
k__bacteria|p__proteobacteria|c__deltaproteobacteria|o__myxococcales|f__myxococcaceae|g__corallococcus|s__corallococcus_macrosporus	2|1224|28221|29|31|83461|35
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__rhizobium|s__rhizobium_sp._n731	2|1224|28211|356|82115|379|1703966
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__rhizobium|s__rhizobium_sp._n741	2|1224|28211|356|82115|379|1703967
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__rhizobium|s__rhizobium_sp._n871	2|1224|28211|356|82115|379|1703968
k__bacteria|p__actinobacteria|c__actinomycetia|o__actinomycetales|f__actinomycetaceae|g__schaalia|s__schaalia_turicensis	2|201174|1760|2037|2049|2529408|131111
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__rhizobium|s__rhizobium_sp._n324	2|1224|28211|356|82115|379|1703969
k__viruses|c__naldaviricetes|o__lefavirales|f__baculoviridae|g__alphabaculovirus|s__orgyia_pseudotsugata_multiple_nucleopolyhedrovirus	10239|2840056|2840070|10442|558016|262177
k__bacteria|p__proteobacteria|c__deltaproteobacteria|o__myxococcales|f__archangiaceae|g__cystobacter|s__cystobacter_fuscus	2|1224|28221|29|39|42|43
k__bacteria|p__proteobacteria|c__deltaproteobacteria|o__myxococcales|f__archangiaceae|g__archangium|s__archangium_gephyra	2|1224|28221|29|39|47|48
k__bacteria|p__proteobacteria|c__deltaproteobacteria|o__myxococcales|f__polyangiaceae|g__chondromyces|s__chondromyces_crocatus	2|1224|28221|29|49|50|52
k__bacteria|p__proteobacteria|c__deltaproteobacteria|o__myxococcales|f__polyangiaceae|g__sorangium|s__sorangium_cellulosum	2|1224|28221|29|49|39643|56
k__bacteria|p__proteobacteria|c__betaproteobacteria|o__neisseriales|f__neisseriaceae|g__vitreoscilla|s__vitreoscilla_filiformis	2|1224|28216|206351|481|59|63
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|f__intrasporangiaceae|g__janibacter|s__janibacter_melonis	2|201174|1760|85006|85021|53457|262209
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__xanthomonadales|f__xanthomonadaceae|g__lysobacter|s__lysobacter_enzymogenes	2|1224|1236|135614|32033|68|69
