Taxa	TaxID
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__Aenigmatarchaeales|f__Aenigmatarchaeaceae|g__Aenigmatarchaeum|s__Aenigmatarchaeum_subterraneum	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__aenigmatarchaeales|f__aenigmatarchaeaceae|g__aenigmatarchaeum|s__aenigmatarchaeum_subterraneum
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__Aenigmatarchaeales|f__Aenigmatarchaeaceae|g__CS1-C013|s__CS1-C013_sp011773475	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__aenigmatarchaeales|f__aenigmatarchaeaceae|g__cs1-c013|s__cs1-c013_sp011773475
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__Aenigmatarchaeales|f__Aenigmatarchaeaceae|g__CS1-C013|s__CS1-C013_sp017608545	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__aenigmatarchaeales|f__aenigmatarchaeaceae|g__cs1-c013|s__cs1-c013_sp017608545
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__Aenigmatarchaeales|f__Aenigmatarchaeaceae|g__JAAOXY01|s__JAAOXY01_sp018221065	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__aenigmatarchaeales|f__aenigmatarchaeaceae|g__jaaoxy01|s__jaaoxy01_sp018221065
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__Aenigmatarchaeales|f__Aenigmatarchaeaceae|g__JAFCDY01|s__JAFCDY01_sp017609445	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__aenigmatarchaeales|f__aenigmatarchaeaceae|g__jafcdy01|s__jafcdy01_sp017609445
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__Aenigmatarchaeales|f__Aenigmatarchaeaceae|g__JAFGAZ01|s__JAFGAZ01_sp016933455	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__aenigmatarchaeales|f__aenigmatarchaeaceae|g__jafgaz01|s__jafgaz01_sp016933455
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__Aenigmatarchaeales|f__Aenigmatarchaeaceae|g__JAHIDZ01|s__JAHIDZ01_sp018901755	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__aenigmatarchaeales|f__aenigmatarchaeaceae|g__jahidz01|s__jahidz01_sp018901755
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__Aenigmatarchaeales|f__Aenigmatarchaeaceae|g__JAHIEG01|s__JAHIEG01_sp018901655	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__aenigmatarchaeales|f__aenigmatarchaeaceae|g__jahieg01|s__jahieg01_sp018901655
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__Aenigmatarchaeales|f__JAADFI01|g__JAADFI01|s__JAADFI01_sp013152905	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__aenigmatarchaeales|f__jaadfi01|g__jaadfi01|s__jaadfi01_sp013152905
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__Aenigmatarchaeales|f__JAADFI01|g__WANL01|s__WANL01_sp015521825	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__aenigmatarchaeales|f__jaadfi01|g__wanl01|s__wanl01_sp015521825
