Taxa	TaxID
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__Candidatus_Pacearchaeota_archaeon_CG06_land_8_20_14_3_00_35_12|t__GCA_002780285	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|1974435|t__gca_002780285
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__Candidatus_Pacearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_34_12|t__GCA_002794175	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|1974443|t__gca_002794175
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__archaeon_AArc_Sl|t__GCA_002952775	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|s__archaeon_aarc_sl|t__gca_002952775
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__archaeon_BMS3Abin17|t__GCA_002897655	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|2005741|t__gca_002897655
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__archaeon_BMS3Bbin16|t__GCA_002898035	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|2005739|t__gca_002898035
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__archaeon_D22|t__GCA_002176885	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|1932700|t__gca_002176885
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__archaeon_GW2011_AR10|t__GCA_000830275	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|1579370|t__gca_000830275
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__archaeon_GW2011_AR15|t__GCA_000830295	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|1579373|t__gca_000830295
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__archaeon_HR01|t__GCA_002898355	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|2035437|t__gca_002898355
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__archaeon_HR02|t__GCA_002898395	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|2035438|t__gca_002898395
