Taxa	TaxID
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae|g__Acidilobus|s__Acidilobus_aceticus	2157|28889|183924|871006|871007|105850|105851
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae|g__Acidilobus|s__Acidilobus_saccharovorans_345-15	2157|28889|183924|871006|871007|105850|s__acidilobus_saccharovorans_345-15
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae|g__Caldisphaera|s__Caldisphaera_draconis	2157|28889|183924|871006|255472|200414|411358
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae|g__Caldisphaera|s__Caldisphaera_lagunensis	2157|28889|183924|871006|255472|200414|200415
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Aeropyrum|s__Aeropyrum_camini	2157|28889|183924|114380|2272|56635|229980
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Aeropyrum|s__Aeropyrum_pernix	2157|28889|183924|114380|2272|56635|56636
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus_fermentans	2157|28889|183924|114380|2272|2273|94694
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus_fermentans_DSM_16532	2157|28889|183924|114380|2272|2273|s__desulfurococcus_fermentans_dsm_16532
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus_kamchatkensis	2157|28889|183924|114380|2272|2273|94694
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus_kamchatkensis_1221n	2157|28889|183924|114380|2272|2273|s__desulfurococcus_kamchatkensis_1221n
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus_mucosus_DSM_2162	2157|28889|183924|114380|2272|2273|s__desulfurococcus_mucosus_dsm_2162
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_hospitalis	2157|28889|183924|114380|2272|54258|160233
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_hospitalis_KIN4/I	2157|28889|183924|114380|2272|54258|s__ignicoccus_hospitalis_kin4/i
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_islandicus	2157|28889|183924|114380|2272|54258|54259
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_pacificus	2157|28889|183924|114380|2272|54258|114376
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignisphaera|s__Desulfurococcaceae_archaeon_CSC-16S	2157|28889|183924|114380|2272|334767|1004781
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignisphaera|s__Ignisphaera_aggregans	2157|28889|183924|114380|2272|334767|334771
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignisphaera|s__Ignisphaera_aggregans_DSM_17230	2157|28889|183924|114380|2272|334767|s__ignisphaera_aggregans_dsm_17230
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Staphylothermus_hellenicus	2157|28889|183924|114380|2272|2279|84599
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Staphylothermus_hellenicus_DSM_12710	2157|28889|183924|114380|2272|2279|s__staphylothermus_hellenicus_dsm_12710
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Staphylothermus_marinus	2157|28889|183924|114380|2272|2279|2280
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Staphylothermus_marinus_F1	2157|28889|183924|114380|2272|2279|s__staphylothermus_marinus_f1
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Stetteria|s__Stetteria_hydrogenophila	2157|28889|183924|114380|2272|52130|52001
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Sulfophobococcus|s__Staphylothermus_sp._1633	2157|28889|183924|114380|2272|53425|660296
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Sulfophobococcus|s__Sulfophobococcus_zilligii	2157|28889|183924|114380|2272|53425|53426
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Sulfophobococcus|s__Thermogladius_shockii	2157|28889|183924|114380|2272|53425|477696
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermodiscus|s__Aeropyrum_sp._AF1T6.18	2157|28889|183924|114380|2272|54249|568409
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermodiscus|s__Thermodiscus_maritimus	2157|28889|183924|114380|2272|54249|54250
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermosphaera|s__Thermosphaera_aggregans	2157|28889|183924|114380|2272|54253|54254
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermosphaera|s__Thermosphaera_aggregans_DSM_11486	2157|28889|183924|114380|2272|54253|s__thermosphaera_aggregans_dsm_11486
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Desulfurococcales|s__Desulfurococcales_archaeon_121	2157|28889|183924|114380|2307|g__desulfurococcales|221497
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Geogemma|s__Geogemma_pacifica	2157|28889|183924|114380|2307|383690|383692
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Hyperthermus|s__Hyperthermus_butylicus_DSM_5456	2157|28889|183924|114380|2307|54247|s__hyperthermus_butylicus_dsm_5456
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Pyrodictium|s__Pyrodictium_occultum	2157|28889|183924|114380|2307|2308|2309
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Fervidicoccales|f__Fervidicoccaceae|g__Fervidicoccus|s__Fervidicoccus_fontis	2157|28889|183924|685948|685949|685950|683846
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus_ambivalens	2157|28889|183924|2281|118883|12914|2283
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus_brierleyi	2157|28889|183924|2281|118883|12914|41673
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus_hospitalis_W1	2157|28889|183924|2281|118883|12914|s__acidianus_hospitalis_w1
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus_infernus	2157|28889|183924|2281|118883|12914|12915
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus_manzaensis	2157|28889|183924|2281|118883|12914|282676
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus_sp._Acii18	2157|28889|183924|2281|118883|12914|315459
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus_sp._Acii19	2157|28889|183924|2281|118883|12914|315462
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus_sp._BT	2157|28889|183924|2281|118883|12914|513519
