Taxa	TaxID
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified
k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__archaeon_SCG_AAA382B04|t__SGB25582	2157|p__archaea_unclassified|c__archaea_unclassified|o__archaea_unclassified|f__archaea_unclassified|g__archaea_unclassified|2137776
k__Archaea|p__Archaea_unclassified|c__CFGB1679|o__OFGB1679|f__FGB1679	2157|p__archaea_unclassified|c__cfgb1679|o__ofgb1679|f__fgb1679
k__Archaea|p__Archaea_unclassified|c__CFGB1679|o__OFGB1679|f__FGB1679|g__GGB4199	2157|p__archaea_unclassified|c__cfgb1679|o__ofgb1679|f__fgb1679|g__ggb4199
k__Archaea|p__Archaea_unclassified|c__CFGB1679|o__OFGB1679|f__FGB1679|g__GGB4199|s__GGB4199_SGB5686|t__SGB5686	2157|p__archaea_unclassified|c__cfgb1679|o__ofgb1679|f__fgb1679|g__ggb4199|s__ggb4199_sgb5686
k__Archaea|p__Archaea_unclassified|c__CFGB42805|o__OFGB42805|f__FGB42805	2157|p__archaea_unclassified|c__cfgb42805|o__ofgb42805|f__fgb42805
k__Archaea|p__Archaea_unclassified|c__CFGB42805|o__OFGB42805|f__FGB42805|g__GGB47498	2157|p__archaea_unclassified|c__cfgb42805|o__ofgb42805|f__fgb42805|g__ggb47498
k__Archaea|p__Archaea_unclassified|c__CFGB42805|o__OFGB42805|f__FGB42805|g__GGB47498|s__GGB47498_SGB65461|t__SGB65461	2157|p__archaea_unclassified|c__cfgb42805|o__ofgb42805|f__fgb42805|g__ggb47498|s__ggb47498_sgb65461
k__Archaea|p__Candidatus_Altiarchaeota|c__Candidatus_Altiarchaeota_unclassified|o__Candidatus_Altiarchaeales|f__Candidatus_Altiarchaeales_unclassified	2157|2582935|c__candidatus_altiarchaeota_unclassified|1803511|f__candidatus_altiarchaeales_unclassified
