Taxa	TaxID
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__(Candidatus_Bathyarchaeota_archaeon_JdFR-10/Candidatus_Bathyarchaeota_archaeon_JdFR-11)	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|(1935118/1935119)
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__Archaea_species_incertae_sedis	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|s__archaea species incertae sedis
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__Candidatus_Geothermarchaeota_archaeon_JdFR-13	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1935120
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__Candidatus_Geothermarchaeota_archaeon_JdFR-14	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1935121
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__Candidatus_Pacearchaeota_archaeon_CG1_02_31_27	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1805294
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__Candidatus_Pacearchaeota_archaeon_RBG_13_33_26	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1801880
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__archaeon_13_2_20CM_2_52_21	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1805019
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__archaeon_13_2_20CM_2_53_6	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1805020
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__archaeon_GW2011_AR10	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1579370
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__archaeon_GW2011_AR15	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1579373
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__archaeon_GW2011_AR18	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1579376
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__archaeon_GW2011_AR20	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1579378
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__archaeon_GW2011_AR5	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1579367
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__uncultured_archaeon	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|115547
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__uncultured_archaeon_A07HB70	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1412872
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__uncultured_archaeon_A07HN63	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1412873
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__uncultured_archaeon_A07HR60	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1412874
k__Archaea|p__Archaea_phylum_incertae_sedis|c__Archaea_class_incertae_sedis|o__Archaea_order_incertae_sedis|f__Archaea_fam._incertae_sedis|g__Archaea_gen._incertae_sedis|s__uncultured_archaeon_A07HR67	2157|p__archaea phylum incertae sedis|c__archaea class incertae sedis|o__archaea order incertae sedis|f__archaea fam incertae sedis|g__archaea gen incertae sedis|1412871
k__Archaea|p__Candidatus_Aenigmarchaeota|c__Candidatus_Aenigmarchaeota_class_incertae_sedis|o__Candidatus_Aenigmarchaeota_order_incertae_sedis|f__Candidatus_Aenigmarchaeota_fam._incertae_sedis|g__Candidatus_Aenigmarchaeota_gen._incertae_sedis|s__Candidatus_Aenigmarchaeota_archaeon_CG1_02_38_14	2157|743724|c__candidatus aenigmarchaeota class incertae sedis|o__candidatus aenigmarchaeota order incertae sedis|f__candidatus aenigmarchaeota fam incertae sedis|g__candidatus aenigmarchaeota gen incertae sedis|1803500
k__Archaea|p__Candidatus_Bathyarchaeota|c__Candidatus_Bathyarchaeota_class_incertae_sedis|o__Candidatus_Bathyarchaeota_order_incertae_sedis|f__Candidatus_Bathyarchaeota_fam._incertae_sedis|g__Candidatus_Bathyarchaeota_gen._incertae_sedis|s__Candidatus_Bathyarchaeota_archaeon_B24	2157|928852|c__candidatus bathyarchaeota class incertae sedis|o__candidatus bathyarchaeota order incertae sedis|f__candidatus bathyarchaeota fam incertae sedis|g__candidatus bathyarchaeota gen incertae sedis|1779368
k__Archaea|p__Candidatus_Bathyarchaeota|c__Candidatus_Bathyarchaeota_class_incertae_sedis|o__Candidatus_Bathyarchaeota_order_incertae_sedis|f__Candidatus_Bathyarchaeota_fam._incertae_sedis|g__Candidatus_Bathyarchaeota_gen._incertae_sedis|s__Candidatus_Bathyarchaeota_archaeon_B25	2157|928852|c__candidatus bathyarchaeota class incertae sedis|o__candidatus bathyarchaeota order incertae sedis|f__candidatus bathyarchaeota fam incertae sedis|g__candidatus bathyarchaeota gen incertae sedis|1779369
k__Archaea|p__Candidatus_Bathyarchaeota|c__Candidatus_Bathyarchaeota_class_incertae_sedis|o__Candidatus_Bathyarchaeota_order_incertae_sedis|f__Candidatus_Bathyarchaeota_fam._incertae_sedis|g__Candidatus_Bathyarchaeota_gen._incertae_sedis|s__Candidatus_Bathyarchaeota_archaeon_B26-1	2157|928852|c__candidatus bathyarchaeota class incertae sedis|o__candidatus bathyarchaeota order incertae sedis|f__candidatus bathyarchaeota fam incertae sedis|g__candidatus bathyarchaeota gen incertae sedis|1779370
