centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(117747/1236)		(117747/1236)
							(117747/1853228)		(117747/1853228)
							(1236/1760)		(1236/1760)
							(1236/28211)		(1236/28211)
							(1236/28216)		(1236/28216)
							(1737404/186801)		(1737404/186801)
							(1760/768503)		(1760/768503)
							(1760/91061)		(1760/91061)
							(1807140/28216)		(1807140/28216)
							(183967/224756)		(183967/224756)
							(186801/526524)		(186801/526524)
							(186801/909932)		(186801/909932)
							(186801/91061)		(186801/91061)
							(200643/204429)		(200643/204429)
							(2008785/28216)		(2008785/28216)
							(28211/91061)		(28211/91061)
							(909932/91061)		(909932/91061)
	1042312				1042312	1042312		1042312	1042312
			1051663	1051663	1051663		1051663		1051663
	1077257	1077257	1077257	1077257	1077257	1077257	1077257	1077257	1077257
117743		117743	117743	117743	117743		117743	117743	117743
117747		117747	117747	117747	117747	117747	117747	117747	117747
118001	118001	118001	118001	118001	118001	118001	118001	118001	118001
1236	1236	1236	1236	1236	1236	1236	1236	1236	1236
	1293498		1293498	1293498	1293498		1293498	1293498	1293498
	1313211		1313211	1313211	1313211	1313211	1313211	1313211	1313211
134549		134549	134549	134549	134549	134549	134549	134549	134549
1382928		1382928		1382928	1382928		1382928	1382928	1382928
				1495646	1495646			1495646	1495646
1497346	1497346	1497346		1497346	1497346	1497346	1497346	1497346	1497346
1553900	1553900	1553900		1553900	1553900		1553900	1553900	1553900
1562566	1562566	1562566		1562566	1562566		1562566	1562566	1562566
	1562571				1562571			1562571	1562571
1643678	1643678	1643678		1643678	1643678		1643678	1643678	1643678
1663419	1663419	1663419		1663419	1663419		1663419	1663419	1663419
1676648	1676648	1676648		1676648	1676648		1676648	1676648	1676648
	171536			171536	171536		171536	171536	171536
1737404		1737404		1737404	1737404		1737404	1737404	1737404
1760	1760	1760					1760	1760	1760
				1775750			1775750		1775750
					1801911		1801911		1801911
1807140		1807140		1807140	1807140		1807140	1807140	1807140
1813735	1813735	1813735		1813735	1813735		1813735	1813735	1813735
							1817794		1817794
							1817795		1817795
183924		183924	183924	183924	183924	183924	183924	183924	183924
183925	183925	183925	183925	183925	183925	183925	183925	183925	183925
183939	183939	183939	183939	183939	183939	183939	183939	183939	183939
183963	183963	183963	183963	183963	183963	183963	183963	183963	183963
183967	183967	183967	183967	183967	183967	183967	183967	183967	183967
183968	183968	183968	183968	183968	183968	183968	183968	183968	183968
183980	183980	183980	183980	183980	183980	183980	183980	183980	183980
183988	183988	183988	183988	183988	183988	183988	183988	183988	183988
				1853221	1853221		1853221	1853221	1853221
	1853222	1853222		1853222	1853222			1853222	1853222
1853228		1853228		1853228	1853228		1853228	1853228	1853228
				1860136	1860136		1860136	1860136	1860136
186801	186801	186801	186801	186801	186801	186801	186801	186801	186801
187857	187857	187857	187857	187857	187857	187857	187857	187857	187857
188708	188708	188708	188708	188708	188708	188708	188708	188708	188708
188787	188787	188787	188787	188787	188787	188787	188787	188787	188787
189775		189775	189775	189775	189775	189775	189775	189775	189775
1912503									1912503
191410	191410	191410	191410	191410	191410	191410	191410	191410	191410
	1915413						1915413		1915413
1921781	1921781	1921781		1921781	1921781		1921781	1921781	1921781
1937959		1937959		1937959	1937959		1937959	1937959	1937959
1955630		1955630		1955630	1955630		1955630	1955630	1955630
1962850	1962850	1962850		1962850	1962850		1962850	1962850	1962850
				1980645			1980645		1980645
200643	200643	200643	200643	200643	200643	200643	200643	200643	200643
2008785		2008785		2008785	2008785		2008785	2008785	2008785
203486	203486	203486	203486	203486	203486	203486	203486	203486	203486
203490	203490	203490	203490	203490	203490	203490	203490	203490	203490
203494	203494	203494	203494	203494	203494	203494	203494	203494	203494
203683	203683	203683	203683	203683	203683	203683	203683	203683	203683
203692	203692	203692	203692	203692	203692	203692	203692	203692	203692
203693	203693	203693	203693	203693	203693	203693	203693	203693	203693
204429	204429	204429	204429	204429	204429	204429	204429	204429	204429
204430	204430	204430	204430	204430	204430	204430	204430	204430	204430
204432	204432	204432	204432	204432	204432	204432	204432	204432	204432
2093818	2093818	2093818			2093818				2093818
	2109259			2109259	2109259			2109259	2109259
2138243	2138243	2138243		2138243	2138243		2138243	2138243	2138243
							2152896		2152896
					2171981				2171981
					2171982				2171982
219685	219685	219685	219685	219685	219685	219685	219685	219685	219685
	2211225						2211225		2211225
	2211268						2211268		2211268
224756	224756	224756	224756	224756	224756	224756	224756	224756	224756
	2315419			2315419					2315419
2364196		2364196							2364196
	2419830			2419830					2419830
2497572		2497572							2497572
2497573		2497573		2497573					2497573
2497574		2497574		2497574					2497574
2497575		2497575							2497575
2497576		2497576		2497576					2497576
2497577		2497577		2497577					2497577
2497643	2497643	2497643			2497643		2497643	2497643	2497643
					2498706			2498706	2498706
	2507542								2507542
2517206	2517206	2517206			2517206		2517206	2517206	2517206
2545688	2545688	2545688			2545688				2545688
	2599185								2599185
2682225		2682225			2682225				2682225
	2698789								2698789
	2703811								2703811
2731363		2731363							2731363
2731619		2731619							2731619
2732010		2732010							2732010
2732411		2732411							2732411
2732413		2732413							2732413
2732420		2732420							2732420
2732421		2732421							2732421
2732422		2732422							2732422
2732423		2732423							2732423
2732424		2732424							2732424
2732449		2732449							2732449
2732458		2732458							2732458
2732459		2732459							2732459
2732460		2732460							2732460
2732461		2732461							2732461
2732462		2732462							2732462
2732463		2732463							2732463
2732464		2732464							2732464
2732498		2732498							2732498
2732499		2732499							2732499
2732500		2732500							2732500
2732505		2732505							2732505
2732506		2732506							2732506
2732507		2732507							2732507
2732514		2732514							2732514
2732523		2732523							2732523
2732525		2732525							2732525
2732528		2732528							2732528
2732529		2732529							2732529
					2762271				2762271
	2785441								2785441
2798274		2798274			2798274				2798274
	2798912								2798912
	2798916								2798916
	2798917								2798917
	2802718								2802718
2811502	2811502	2811502							2811502
28211	28211	28211	28211	28211	28211	28211	28211	28211	28211
28216		28216	28216	28216	28216	28216	28216	28216	28216
	2821823								2821823
28221	28221	28221	28221	28221	28221	28221	28221	28221	28221
	2823877								2823877
	2829292								2829292
	2829293								2829293
2840056		2840056							2840056
2841637		2841637							2841637
2842243		2842243							2842243
2847774	2847774	2847774							2847774
2856052		2856052							2856052
2885733	2885733	2885733							2885733
	2885752								2885752
2897345		2897345							2897345
	2900646								2900646
	2900647								2900647
	2900648								2900648
2907184		2907184							2907184
292625	292625	292625	292625	292625	292625	292625	292625	292625	292625
	2949321								2949321
29547		29547	29547	29547	29547	29547	29547	29547	29547
	296141			296141	296141		296141	296141	296141
2974821									2974821
301297	301297	301297	301297	301297	301297	301297	301297	301297	301297
	3014277								3014277
307596		307596	307596	307596	307596		307596	307596	307596
31969		31969	31969	31969	31969	31969	31969	31969	31969
32061	32061	32061	32061	32061	32061	32061	32061	32061	32061
							332159		332159
388447	388447	388447	388447	388447	388447	388447	388447	388447	388447
414999		414999	414999	414999	414999	414999	414999	414999	414999
	447827				447827			447827	447827
447830	447830	447830		447830	447830		447830	447830	447830
475962		475962	475962	475962	475962	475962	475962	475962	475962
526524		526524	526524	526524	526524		526524	526524	526524
533205	533205	533205	533205		533205	533205	533205	533205	533205
580370	580370	580370	580370	580370	580370		580370	580370	580370
641853	641853	641853	641853	641853	641853	641853	641853	641853	641853
649775	649775	649775	649775	649775	649775	649775	649775	649775	649775
666505	666505	666505	666505	666505	666505	666505	666505	666505	666505
67799	67799	67799	67799	67799	67799	67799	67799	67799	67799
68337	68337	68337	68337	68337	68337	68337	68337	68337	68337
693071	693071	693071	693071		693071		693071	693071	693071
768503		768503	768503	768503	768503	768503	768503	768503	768503
795747	795747	795747	795747	795747	795747	795747	795747	795747	795747
84992	84992	84992		84992	84992	84992	84992	84992	84992
84995	84995	84995		84995	84995	84995	84995	84995	84995
84998	84998	84998		84998	84998	84998	84998	84998	84998
908620		908620			908620	908620	908620	908620	908620
909932	909932	909932	909932	909932	909932		909932	909932	909932
91061	91061	91061	91061	91061	91061	91061	91061	91061	91061
	c__0-14-0-80-59-12								c__0-14-0-80-59-12
	c__2-12-full-45-22								c__2-12-full-45-22
	c__2-12-full-62-27								c__2-12-full-62-27
	c__32-111								c__32-111
	c__4484-107								c__4484-107
	c__4484-113								c__4484-113
	c__4484-211								c__4484-211
	c__4484-213								c__4484-213
	c__4572-55								c__4572-55
						c__4c0d-2			c__4c0d-2
	c__9ft-combo-42-15								c__9ft-combo-42-15
	c__aabm5-125-24								c__aabm5-125-24
	c__ab16								c__ab16
					c__absconditabacteria_unclassified				c__absconditabacteria_unclassified
	c__aby1								c__aby1
	c__ac1								c__ac1
							c__acidobacteria class incertae sedis		c__acidobacteria class incertae sedis
			c__acidobacteria_noname						c__acidobacteria_noname
				c__acidobacteria_unclassified	c__acidobacteria_unclassified				c__acidobacteria_unclassified
			c__actinobacteria	c__actinobacteria	c__actinobacteria	c__actinobacteria			c__actinobacteria
							c__actinobacteria class incertae sedis		c__actinobacteria class incertae sedis
