centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(119060/135621)		(119060/135621)
							(1268/468)		(1268/468)
							(128827/186803)		(128827/186803)
							(128827/186804)		(128827/186804)
							(128827/186806/31979)		(128827/186806/31979)
							(128827/31979)		(128827/31979)
							(1300/186817)		(1300/186817)
							(135621/69277)		(135621/69277)
							(135621/712)		(135621/712)
							(145357/85016)		(145357/85016)
							(145360/2049/85017)		(145360/2049/85017)
							(171551/2005519)		(171551/2005519)
							(171552/2005473)		(171552/2005473)
							(182102/2062)		(182102/2062)
							(1853232/85023)		(1853232/85023)
							(186803/31979)		(186803/31979)
							(186803/31979/541000)		(186803/31979/541000)
							(186803/33958)		(186803/33958)
							(186803/541000)		(186803/541000)
							(186806/31979)		(186806/31979)
							(186806/541000)		(186806/541000)
							(186817/186818)		(186817/186818)
							(186817/186822)		(186817/186822)
							(186820/81852)		(186820/81852)
							(186827/2062)		(186827/2062)
							(186828/909930)		(186828/909930)
							(1890428/1892254)		(1890428/1892254)
							(1903409/543)		(1903409/543)
							(1903409/543/84566)		(1903409/543/84566)
							(2049/2062)		(2049/2062)
							(2062/414713)		(2062/414713)
							(2070/85025)		(2070/85025)
							(267888/72275)		(267888/72275)
							(28056/85025)		(28056/85025)
							(31977/541000)		(31977/541000)
							(31979/31984)		(31979/31984)
							(31979/541000)		(31979/541000)
							(31979/990719)		(31979/990719)
							(32033/41297)		(32033/41297)
							(33958/41295)		(33958/41295)
							(41294/82115)		(41294/82115)
							(41297/543)		(41297/543)
							(543/641)		(543/641)
							(809/815)		(809/815)
			10240	10240					10240
			10292	10292					10292
1033996		1033996							1033996
	1033997		1033997	1033997	1033997		1033997	1033997	1033997
			10404	10404					10404
			104174	104174	104174	104174	104174	104174	104174
	1042314				1042314	1042314			1042314
	1042322			1042322	1042322		1042322	1042322	1042322
10442		10442	10442	10442					10442
1046	1046	1046	1046	1046	1046	1046	1046	1046	1046
10472		10472	10472	10472					10472
10474		10474	10474	10474					10474
			10477	10477					10477
		10482							10482
			10486	10486					10486
			10501	10501					10501
			10508	10508					10508
	1055686			1055686	1055686	1055686	1055686	1055686	1055686
			10656	10656					10656
			10659	10659					10659
		1077263							1077263
	1077264		1077264	1077264	1077264	1077264	1077264	1077264	1077264
			10780	10780					10780
			10811	10811					10811
			10841	10841					10841
			10860	10860					10860
			10877	10877					10877
1096778		1096778			1096778			1096778	1096778
			10993	10993					10993
	1100104				1100104	1100104	1100104	1100104	1100104
			11006	11006					11006
			11012	11012					11012
			11018	11018					11018
			11050	11050					11050
	1106		1106	1106	1106	1106	1106	1106	1106
			11118	11118					11118
			11158	11158					11158
1117		1117							1117
112		112							112
				11244					11244
			11266	11266					11266
			11270	11270					11270
1127829		1127829							1127829
	1127830			1127830	1127830	1127830	1127830	1127830	1127830
1129771	1129771	1129771	1129771	1129771	1129771	1129771	1129771	1129771	1129771
			11308	11308					11308
	114378		114378	114378	114378	114378	114378	114378	114378
114380		114380							114380
	1154585				1154585	1154585		1154585	1154585
			11617	11617					11617
	1162		1162	1162	1162		1162	1162	1162
			11632	11632					11632
117743		117743							117743
117747		117747							117747
	117942		117942	117942	117942	117942	117942	117942	117942
			1182	1182	1182		1182	1182	1182
			1185	1185	1185		1185	1185	1185
	1185407				1185407		1185407	1185407	1185407
118882		118882	118882	118882	118882	118882	118882	118882	118882
	118883		118883	118883	118883	118883	118883	118883	118883
118884		118884							118884
					1189				1189
118964		118964							118964
118968	118968	118968	118968	118968	118968	118968	118968	118968	118968
	119043		119043	119043	119043	119043	119043	119043	119043
119045		119045	119045	119045	119045	119045	119045	119045	119045
119060	119060	119060	119060	119060	119060	119060	119060	119060	119060
119066		119066							119066
1191479	1191479	1191479	1191479	1191479	1191479		1191479	1191479	1191479
			119163	119163					119163
			11974	11974					11974
	1198451		1198451	1198451	1198451	1198451	1198451	1198451	1198451
			119859	119859	119859		119859	119859	119859
	1202464		1202464	1202464	1202464		1202464	1202464	1202464
1202465		1202465							1202465
			12058	12058					12058
	1213			1213	1213		1213	1213	1213
		1217098							1217098
	1217100			1217100	1217100		1217100	1217100	1217100
			12283	12283					12283
1232737		1232737							1232737
1240483		1240483		1240483	1240483		1240483	1240483	1240483
12429		12429							12429
	125316		125316	125316	125316	125316	125316	125316	125316
	126		126	126	126	126	126	126	126
	1266054				1266054		1266054	1266054	1266054
	1268		1268	1268	1268	1268	1268	1268	1268
			1283207	1283207					1283207
			1283208	1283208					1283208
			1283210	1283210					1283210
1285590		1285590	1285590	1285590					1285590
			1285596	1285596					1285596
	128827		128827	128827	128827	128827	128827	128827	128827
	1293609				1293609			1293609	1293609
			1299296	1299296					1299296
	1300		1300	1300	1300	1300	1300	1300	1300
			1312872	1312872					1312872
1328881	1328881	1328881	1328881		1328881		1328881	1328881	1328881
			1331736	1331736	1331736	1331736	1331736	1331736	1331736
1331809	1331809	1331809	1331809	1331809	1331809	1331809	1331809	1331809	1331809
	1333713			1333713	1333713		1333713	1333713	1333713
	1334117		1334117	1334117	1334117		1334117	1334117	1334117
			134621	134621	134621		134621	134621	134621
	134623		134623	134623	134623	134623	134623	134623	134623
135616	135616	135616	135616	135616	135616	135616	135616	135616	135616
135617	135617	135617	135617	135617	135617	135617	135617	135617	135617
135620		135620	135620	135620	135620	135620	135620	135620	135620
135621	135621	135621	135621	135621	135621	135621	135621	135621	135621
137	137	137	137	137	137	137	137	137	137
			137992	137992					137992
1382929		1382929							1382929
	1382930			1382930	1382930		1382930	1382930	1382930
1385		1385							1385
	1389452								1389452
	1392996			1392996	1392996		1392996	1392996	1392996
	1400857			1400857	1400857		1400857	1400857	1400857
	143067		143067	143067	143067	143067	143067	143067	143067
	1433378				1433378			1433378	1433378
143786	143786	143786	143786	143786	143786	143786	143786	143786	143786
	1442156			1442156	1442156		1442156	1442156	1442156
			145357	145357	145357	145357	145357	145357	145357
				145358	145358	145358		145358	145358
					145359	145359			145359
			145360	145360	145360	145360	145360	145360	145360
1458186		1458186		1458186					1458186
							1460864		1460864
	1471398			1471398	1471398		1471398	1471398	1471398
	1486721			1486721	1486721		1486721	1486721	1486721
	1491775			1491775	1491775		1491775	1491775	1491775
	1495648			1495648	1495648			1495648	1495648
1499392	1499392	1499392		1499392	1499392		1499392	1499392	1499392
	1501348			1501348	1501348		1501348	1501348	1501348
	1505234			1505234	1505234		1505234	1505234	1505234
	1508635			1508635	1508635		1508635	1508635	1508635
1511852		1511852		1511852					1511852
1511855		1511855							1511855
1511857		1511857							1511857
				1511858					1511858
				1511860					1511860
				1513233					1513233
				1513294					1513294
			151340	151340					151340
			151341	151341					151341
	1522127			1522127	1522127		1522127	1522127	1522127
	1524213			1524213	1524213		1524213	1524213	1524213
	1524215			1524215	1524215		1524215	1524215	1524215
				1524216	1524216		1524216	1524216	1524216
	1544800				1544800			1544800	1544800
	1553902				1553902		1553902	1553902	1553902
	1570339			1570339	1570339		1570339	1570339	1570339
