centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(100883/1485)		(100883/1485)
							(1051/85108)		(1051/85108)
							(1055323/55080)		(1055323/55080)
							(1060/1470577)		(1060/1470577)
							(106589/48736)		(106589/48736)
							(1069494/1883)		(1069494/1883)
							(1081/1578/191)		(1081/1578/191)
							(1082930/46913)		(1082930/46913)
							(110932/205841)		(110932/205841)
							(1119/28073)		(1119/28073)
							(1190/162985)		(1190/162985)
							(121871/134813)		(121871/134813)
							(121871/88723)		(121871/88723)
							(1221880/1386)		(1221880/1386)
							(1221880/651660)		(1221880/651660)
							(1263/1485)		(1263/1485)
							(1263/1485/572511)		(1263/1485/572511)
							(1263/1730)		(1263/1730)
							(1263/906)		(1263/906)
							(1279/1378)		(1279/1378)
							(1301/1386)		(1301/1386)
							(1329200/1386)		(1329200/1386)
							(133/425)		(133/425)
							(1330545/53335/547/561/570/83654/84567)		(1330545/53335/547/561/570/83654/84567)
							(1330547/547)		(1330547/547)
							(1348911/1923867)		(1348911/1923867)
							(1350/1637)		(1350/1637)
							(135858/841)		(135858/841)
							(13687/165695)		(13687/165695)
							(13687/547)		(13687/547)
							(1375/1883)		(1375/1883)
							(1386/320933)		(1386/320933)
							(1386/44249)		(1386/44249)
							(1386/45667)		(1386/45667)
							(1386/84406)		(1386/84406)
							(1485/1730)		(1485/1730)
							(1485/2697)		(1485/2697)
							(1485/33042)		(1485/33042)
							(1485/946234)		(1485/946234)
							(1505663/1870884)		(1505663/1870884)
							(151038/81463)		(151038/81463)
							(1578/28050)		(1578/28050)
							(1579506/2005380)		(1579506/2005380)
							(160674/570)		(160674/570)
							(1609958/34008)		(1609958/34008)
							(1621534/53246)		(1621534/53246)
							(1635148/1911312)		(1635148/1911312)
							(164450/2270)		(164450/2270)
							(1649298/413496)		(1649298/413496)
							(1654/2529408)		(1654/2529408)
							(1654/28263)		(1654/28263)
							(165779/1715793)		(165779/1715793)
							(1707/57499)		(1707/57499)
							(1755672/286)		(1755672/286)
							(1759396/393277)		(1759396/393277)
