centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(1150/1890424)		(1150/1890424)
							(119069/80840)		(119069/80840)
							(1235850/2191)		(1235850/2191)
							(135614/204457)		(135614/204457)
							(135623/91347)		(135623/91347)
							(135625/72274)		(135625/72274)
							(1385/186826)		(1385/186826)
							(1644055/2235)		(1644055/2235)
							(171549/51291)		(171549/51291)
							(1737405/186802)		(1737405/186802)
							(1843488/186826)		(1843488/186826)
							(1843489/186802)		(1843489/186802)
							(1853229/200666)		(1853229/200666)
							(186802/186826)		(186802/186826)
							(186802/526525)		(186802/526525)
							(186826/204441)		(186826/204441)
							(186826/85011)		(186826/85011)
							(200666/91347)		(200666/91347)
							(2037/85006)		(2037/85006)
							(2037/85011)		(2037/85011)
							(204441/72274)		(204441/72274)
							(204457/91347)		(204457/91347)
							(356/72274)		(356/72274)
							(414714/85011)		(414714/85011)
							(72274/80840)		(72274/80840)
							(72274/85006)		(72274/85006)
							(768507/85006)		(768507/85006)
							(85007/85008)		(85007/85008)
							(85007/85010)		(85007/85010)
							(85007/85011)		(85007/85011)
	1033996		1033996	1033996	1033996		1033996	1033996	1033996
	1042313				1042313	1042313			1042313
		1077257							1077257
	1077263		1077263	1077263	1077263	1077263	1077263	1077263	1077263
1090		1090							1090
			1100069	1100069	1100069		1100069	1100069	1100069
			11157	11157					11157
1117		1117							1117
			1118	1118	1118		1118	1118	1118
	112		112	112	112	112	112	112	112
	1127829			1127829	1127829	1127829	1127829	1127829	1127829
1134404		1134404							1134404
			114380	114380	114380	114380	114380	114380	114380
			1150	1150	1150		1150	1150	1150
	1154584				1154584	1154584		1154584	1154584
			1161	1161	1161		1161	1161	1161
	118964		118964	118964	118964	118964	118964	118964	118964
118969	118969	118969	118969	118969	118969	118969	118969	118969	118969
119069		119069	119069	119069	119069	119069	119069	119069	119069
1191478	1191478	1191478	1191478	1191478	1191478		1191478	1191478	1191478
	1202465		1202465	1202465	1202465		1202465	1202465	1202465
	1217098			1217098	1217098		1217098	1217098	1217098
1235850	1235850	1235850		1235850	1235850		1235850	1235850	1235850
1240482		1240482		1240482	1240482		1240482	1240482	1240482
	1293499		1293499	1293499	1293499		1293499	1293499	1293499
	133814								133814
135613	135613	135613	135613	135613	135613	135613	135613	135613	135613
135614	135614	135614	135614	135614	135614	135614	135614	135614	135614
135615	135615	135615	135615	135615	135615	135615	135615	135615	135615
135618	135618	135618	135618	135618	135618	135618	135618	135618	135618
135619		135619	135619	135619	135619	135619	135619	135619	135619
135622		135622	135622	135622	135622	135622	135622	135622	135622
135623		135623	135623	135623	135623	135623	135623	135623	135623
135624		135624	135624	135624	135624	135624	135624	135624	135624
135625		135625	135625	135625	135625	135625	135625	135625	135625
136	136	136	136	136	136	136	136	136	136
1382928		1382928							1382928
	1382929			1382929	1382929		1382929	1382929	1382929
	1385		1385	1385	1385	1385	1385	1385	1385
	1389450								1389450
				1442155	1442155		1442155	1442155	1442155
1485951	1485951	1485951		1485951	1485951		1485951	1485951	1485951
	1495647			1495647	1495647			1495647	1495647
1497346		1497346							1497346
	1505233			1505233	1505233		1505233	1505233	1505233
				1511857					1511857
					1544799			1544799	1544799
	1553901				1553901		1553901	1553901	1553901
	1617890			1617890	1617890			1617890	1617890
1643678		1643678							1643678
				1643682	1643682		1643682	1643682	1643682
	1643683			1643683	1643683		1643683	1643683	1643683
				1643684	1643684		1643684	1643684	1643684
1643686	1643686	1643686		1643686	1643686		1643686	1643686	1643686
	1643687				1643687		1643687	1643687	1643687
1643688	1643688	1643688		1643688	1643688		1643688	1643688	1643688
				1643822	1643822		1643822	1643822	1643822
1643946		1643946		1643946	1643946		1643946	1643946	1643946
1643947	1643947	1643947		1643947	1643947		1643947	1643947	1643947
				1644055	1644055		1644055	1644055	1644055
				1644060	1644060		1644060	1644060	1644060
1663419		1663419							1663419
	1663425			1663425	1663425		1663425	1663425	1663425
1676648		1676648							1676648
	1676649			1676649	1676649		1676649	1676649	1676649
1692040	1692040	1692040		1692040	1692040		1692040	1692040	1692040
1706369		1706369		1706369	1706369		1706369	1706369	1706369
	171549		171549	171549	171549	171549	171549	171549	171549
1737404		1737404							1737404
	1737405			1737405	1737405		1737405	1737405	1737405
					1747768			1747768	1747768
					1748771		1748771	1748771	1748771
					1755823			1755823	1755823
1760		1760							1760
1769716	1769716	1769716		1769716	1769716		1769716	1769716	1769716
	1771349								1771349
1775403	1775403	1775403		1775403	1775403		1775403	1775403	1775403
	1779134				1779134			1779134	1779134
1783234		1783234							1783234
1783344	1783344	1783344		1783344	1783344		1783344	1783344	1783344
1798711		1798711							1798711
	1803398								1803398
	1803511			1803511	1803511		1803511	1803511	1803511
	1804992								1804992
							1812916		1812916
	1836787			1836787	1836787	1836787	1836787	1836787	1836787
183924		183924							183924
183925		183925							183925
183939		183939							183939
183963		183963							183963
	1843488			1843488	1843488		1843488	1843488	1843488
	1843489			1843489	1843489		1843489	1843489	1843489
		1853220							1853220
	1853223			1853223	1853223		1853223	1853223	1853223
	1853224			1853224	1853224			1853224	1853224
	1853229			1853229	1853229		1853229	1853229	1853229
				1860137	1860137		1860137	1860137	1860137
			186328	186328	186328	186328	186328	186328	186328
	186329		186329	186329	186329	186329	186329	186329	186329
					186332	186332		186332	186332
186801		186801							186801
	186802		186802	186802	186802	186802	186802	186802	186802
	186826		186826	186826	186826	186826	186826	186826	186826
188710	188710	188710	188710	188710	188710	188710	188710	188710	188710
188787		188787							188787
	1890424			1890424	1890424		1890424	1890424	1890424
					1890443		1890443	1890443	1890443
				1890505	1890505		1890505	1890505	1890505
	1890940			1890940	1890940		1890940	1890940	1890940
189769	189769	189769	189769	189769	189769	189769	189769	189769	189769
			189772	189772	189772	189772	189772	189772	189772
189775		189775							189775
	189776		189776	189776	189776	189776	189776	189776	189776
189778	189778	189778	189778	189778	189778	189778	189778	189778	189778
	1906119			1906119	1906119		1906119	1906119	1906119
	1906150						1906150		1906150
	1906152						1906152		1906152
1912503									1912503
191393	191393	191393	191393	191393	191393	191393	191393	191393	191393
	191411		191411	191411	191411	191411	191411	191411	191411
	1915414						1915414		1915414
1921002	1921002	1921002		1921002	1921002		1921002	1921002	1921002
	1921567				1921567				1921567
1921781		1921781							1921781
	1921782			1921782	1921782		1921782	1921782	1921782
1934945	1934945	1934945		1934945	1934945		1934945	1934945	1934945
				1936988	1936988		1936988	1936988	1936988
	1955042						1955042	1955042	1955042
1955630		1955630							1955630
1962852	1962852	1962852		1962852	1962852		1962852	1962852	1962852
				1963360	1963360		1963360	1963360	1963360
					1968909			1968909	1968909
				1970189	1970189		1970189	1970189	1970189
				1980410					1980410
	200644		200644	200644	200644	200644	200644	200644	200644
	200666		200666	200666	200666	200666	200666	200666	200666
	2024973	2024973		2024973	2024973		2024973	2024973	2024973
2024979	2024979	2024979		2024979	2024979		2024979	2024979	2024979
203487	203487	203487	203487	203487	203487	203487	203487	203487	203487
203491	203491	203491	203491	203491	203491	203491	203491	203491	203491
203494		203494							203494
203683		203683							203683
