centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(1090/1134404)		(1090/1134404)
							(1224/1239)		(1224/1239)
							(1224/200795)		(1224/200795)
							(1224/201174)		(1224/201174)
							(1224/67819)		(1224/67819)
							(1224/976)		(1224/976)
							(1239/201174)		(1239/201174)
							(201174/976)		(201174/976)
							(204428/976)		(204428/976)
							(40117/976)		(40117/976)
					1052197			1052197	1052197
					1052815			1052815	1052815
			1090	1090	1090	1090	1090	1090	1090
	1117		1117	1117	1117	1117	1117	1117	1117
			1134404	1134404	1134404		1134404	1134404	1134404
	1154676				1154676			1154676	1154676
1224	1224	1224	1224	1224	1224	1224	1224	1224	1224
	1239		1239	1239	1239	1239	1239	1239	1239
	1293497		1293497	1293497	1293497		1293497	1293497	1293497
	1297			1297		1297	1297	1297	1297
				134625	134625		134625	134625	134625
	1379697			1379697			1379697		1379697
	142182		142182	142182	142182	142182	142182	142182	142182
					142187		142187	142187	142187
				1462422					1462422
	1462430								1462430
							1618330		1618330
							1618338		1618338
							1618340		1618340
					1619053		1619053		1619053
				1655434					1655434
				1662329			1662329		1662329
							1703755		1703755
				1706441			1706441		1706441
							1729712		1729712
				1752708			1752708		1752708
				1752716			1752716		1752716
							1752717		1752717
							1752718		1752718
					1752719		1752719		1752719
					1752720		1752720		1752720
					1752721		1752721		1752721
							1752722		1752722
							1752723		1752723
							1752724		1752724
					1752725		1752725		1752725
							1752726		1752726
							1752727		1752727
					1752728		1752728		1752728
					1752729		1752729		1752729
							1752730		1752730
					1752731		1752731		1752731
					1752732		1752732		1752732
				1752733	1752733		1752733		1752733
							1752734		1752734
							1752735		1752735
					1752736		1752736		1752736
					1752737		1752737		1752737
							1752738		1752738
							1752739		1752739
							1752740		1752740
							1752741		1752741
1783257		1783257							1783257
1783270		1783270							1783270
1783272		1783272							1783272
1783275		1783275							1783275
1783276		1783276							1783276
				1798710	1798710		1798710	1798710	1798710
				1801616			1801616		1801616
	1801631			1801631	1801631		1801631	1801631	1801631
	1802339			1802339				1802339	1802339
							1817796		1817796
							1817797		1817797
	1817798						1817798		1817798
					1817799		1817799		1817799
	1817800								1817800
	1817801			1817801	1817801				1817801
	1817802				1817802		1817802		1817802
							1817803		1817803
							1817804		1817804
							1817805		1817805
	1817807			1817807			1817807		1817807
	1817808				1817808		1817808	1817808	1817808
	1817810			1817810	1817810		1817810		1817810
	1817811								1817811
	1817812			1817812			1817812		1817812
							1817898		1817898
							1817899		1817899
							1817900		1817900
					1817903		1817903		1817903
							1817904		1817904
							1817905		1817905
					1817907		1817907		1817907
							1817908		1817908
							1817909		1817909
							1817910		1817910
							1817911		1817911
							1817912		1817912
							1817913		1817913
							1817914		1817914
							1817915		1817915
					1817916		1817916		1817916
							1817917		1817917
					1817919		1817919		1817919
					1817922		1817922		1817922
							1817923		1817923
							1817924		1817924
							1817925		1817925
					1817926		1817926		1817926
	1819803						1819803		1819803
				1853220	1853220			1853220	1853220
				1855361	1855361		1855361	1855361	1855361
							1915410		1915410
	192989		192989	192989	192989	192989	192989	192989	192989
1930617		1930617		1930617	1930617		1930617	1930617	1930617
	1935019								1935019
1935183		1935183							1935183
				1936271			1936271		1936271
				1936272			1936272		1936272
							1936987	1936987	1936987
				1978152					1978152
	200295			200295					200295
200783		200783	200783	200783	200783	200783	200783	200783	200783
	200795		200795	200795	200795	200795	200795	200795	200795
200918	200918	200918	200918	200918	200918	200918	200918	200918	200918
200930	200930	200930	200930	200930	200930	200930	200930	200930	200930
200938		200938	200938	200938	200938	200938	200938	200938	200938
200940		200940	200940	200940	200940	200940	200940	200940	200940
	201174		201174	201174	201174	201174	201174	201174	201174
	2013583			2013583					2013583
	203682		203682	203682	203682	203682	203682	203682	203682
203691	203691	203691	203691	203691	203691	203691	203691	203691	203691
	204428		204428	204428	204428	204428	204428	204428	204428
				2052312					2052312
	2093358								2093358
	2093364								2093364
				2109258	2109258			2109258	2109258
2138240	2138240	2138240		2138240	2138240		2138240	2138240	2138240
					221216		221216	221216	221216
					221235	221235			221235
2283796	2283796	2283796			2283796				2283796
2323		2323							2323
				2497569					2497569
					2498705			2498705	2498705
2498710		2498710							2498710
			256845	256845	256845	256845	256845	256845	256845
	2582935				2582935			2582935	2582935
	2582950								2582950
	265317		265317		265317		265317	265317	265317
	2698788								2698788
	2703810								2703810
2731360		2731360							2731360
2732005		2732005							2732005
2732006		2732006							2732006
2732090		2732090							2732090
2732091		2732091							2732091
2732092		2732092							2732092
2732093		2732093							2732093
2732396		2732396							2732396
2732397		2732397							2732397
	2767197								2767197
	2818505								2818505
	2821822								2821822
2840023		2840023							2840023
	28889		28889	28889	28889	28889	28889	28889	28889
28890	28890	28890	28890	28890	28890	28890	28890	28890	28890
	2904303								2904303
	2979319								2979319
32066	32066	32066	32066	32066	32066	32066	32066	32066	32066
					363464		363464	363464	363464
40117	40117	40117	40117	40117	40117	40117	40117	40117	40117
							422282		422282
	456828		456828	456828	456828		456828	456828	456828
508458	508458	508458	508458	508458	508458	508458	508458	508458	508458
			51967	51967	51967	51967	51967	51967	51967
			544448	544448	544448	544448	544448	544448	544448
57723	57723	57723	57723	57723	57723	57723	57723	57723	57723
			62680	62680	62680		62680	62680	62680
	640293			640293	640293		640293	640293	640293
			651137	651137	651137	651137	651137	651137	651137
	65842		65842	65842	65842	65842	65842	65842	65842
	67810				67810		67810	67810	67810
	67812			67812	67812		67812	67812	67812
	67814		67814		67814		67814	67814	67814
