centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(1000568/1384082/699192)		(1000568/1384082/699192)
							(1000569/1588748)		(1000569/1588748)
							(1002340/1577897/1577898/1577899/1577900/1577901)		(1002340/1577897/1577898/1577899/1577900/1577901)
							(100379/146897/1520703/202462)		(100379/146897/1520703/202462)
							(1004150/230089/574560)		(1004150/230089/574560)
							(1004279/1631249)		(1004279/1631249)
							(1005667/1158459/283686/497725/551989)		(1005667/1158459/283686/497725/551989)
							(1007114/1007115/1007117/1427364)		(1007114/1007115/1007117/1427364)
							(1007119/1123864)		(1007119/1123864)
							(1007122/1007123/1379406)		(1007122/1007123/1379406)
							(100886/301301)		(100886/301301)
							(100901/77551)		(100901/77551)
							(1009425/1009426)		(1009425/1009426)
							(101534/251542)		(101534/251542)
							(101564/1274359/300/330/489632/554344)		(101564/1274359/300/330/489632/554344)
							(1017270/459525)		(1017270/459525)
							(1017277/296995/41170)		(1017277/296995/41170)
							(102684/1335/150055)		(102684/1335/150055)
							(1027374/1510466)		(1027374/1510466)
							(102862/183417/585)		(102862/183417/585)
							(1033846/1150997)		(1033846/1150997)
							(103816/1829/223392)		(103816/1829/223392)
							(103817/857417)		(103817/857417)
							(103855/1331258)		(103855/1331258)
							(104087/132476/294/86265/930166)		(104087/132476/294/86265/930166)
							(104087/163011/294/317/702115/75612)		(104087/163011/294/317/702115/75612)
							(104087/294)		(104087/294)
							(104102/446692)		(104102/446692)
							(104605/1379701/1735691/1736213)		(104605/1379701/1735691/1736213)
							(1046946/1104577/1379390)		(1046946/1104577/1379390)
							(1046958/1046963/1046966/1046967/1046970/1046972/1379399/913318/913319)		(1046958/1046963/1046966/1046967/1046970/1046972/1379399/913318/913319)
							(1046965/1046975)		(1046965/1046975)
							(1046982/1104620/1462416)		(1046982/1104620/1462416)
							(1047013/1047018/1379385/1432325)		(1047013/1047018/1379385/1432325)
							(1047052/1104598/1383026/913317)		(1047052/1104598/1383026/913317)
							(1047055/1379401)		(1047055/1379401)
							(1047070/1379397/456827)		(1047070/1379397/456827)
							(1048/37487)		(1048/37487)
							(1048396/1071085)		(1048396/1071085)
							(1049581/1178537/1408/293386/293387/293389)		(1049581/1178537/1408/293386/293387/293389)
							(1049583/223184)		(1049583/223184)
							(1049584/1833/334542/43767)		(1049584/1833/334542/43767)
							(1052/421628)		(1052/421628)
							(1052810/1130329/1454788)		(1052810/1130329/1454788)
							(105420/405782/411235)		(105420/405782/411235)
							(105422/436229)		(105422/436229)
							(1054947/1109438/1508644/49118)		(1054947/1109438/1508644/49118)
							(1055770/494419)		(1055770/494419)
							(1055806/1055815/985259)		(1055806/1055815/985259)
							(1055808/494416)		(1055808/494416)
							(1056512/1796497/646534)		(1056512/1796497/646534)
							(1056807/488)		(1056807/488)
