"study_accession"	"sample_accession"	"experiment_accession"	"run_accession"	"tax_id"	"scientific_name"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_ftp"	"submitted_ftp"	"sra_ftp"	"sample_alias"	"sample_title"
"PRJEB12502"	"SAMEA3914788"	"ERX1418455"	"ERR1346801"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346801/ERR1346801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346801/ERR1346801_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346801/A7025.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346801/A7025.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1346801"	"A7025_meta"	"A7025"
"PRJEB12502"	"SAMEA3914789"	"ERX1418456"	"ERR1346802"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346802/ERR1346802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346802/ERR1346802_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346802/A7026.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346802/A7026.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/002/ERR1346802"	"A7026_meta"	"A7026"
"PRJEB12502"	"SAMEA3914790"	"ERX1418457"	"ERR1346803"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1346803/ERR1346803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1346803/ERR1346803_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346803/A7026_12C.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346803/A7026_12C.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/003/ERR1346803"	"A7026_12C_meta"	"A7026_12C"
"PRJEB12502"	"SAMEA3914791"	"ERX1418458"	"ERR1346804"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1346804/ERR1346804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1346804/ERR1346804_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346804/A8055.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346804/A8055.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/004/ERR1346804"	"A8055_meta"	"A8055"
"PRJEB12502"	"SAMEA3914792"	"ERX1418459"	"ERR1346805"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1346805/ERR1346805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1346805/ERR1346805_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346805/A8055_12C.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346805/A8055_12C.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/005/ERR1346805"	"A8055_12C_meta"	"A8055_12C"
"PRJEB12502"	"SAMEA3914793"	"ERX1418460"	"ERR1346806"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1346806/ERR1346806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1346806/ERR1346806_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346806/A8056.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346806/A8056.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/006/ERR1346806"	"A8056_meta"	"A8056"
"PRJEB12502"	"SAMEA3914794"	"ERX1418461"	"ERR1346807"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1346807/ERR1346807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1346807/ERR1346807_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346807/A9085.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346807/A9085.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/007/ERR1346807"	"A9085_meta"	"A9085"
"PRJEB12502"	"SAMEA3914795"	"ERX1418462"	"ERR1346808"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1346808/ERR1346808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1346808/ERR1346808_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346808/A9086.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346808/A9086.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/008/ERR1346808"	"A9086_meta"	"A9086"
"PRJEB12502"	"SAMEA3914796"	"ERX1418463"	"ERR1346809"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1346809/ERR1346809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1346809/ERR1346809_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346809/BL043.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346809/BL043.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/009/ERR1346809"	"BL043_meta"	"BL043"
"PRJEB12502"	"SAMEA3914797"	"ERX1418464"	"ERR1346810"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1346810/ERR1346810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1346810/ERR1346810_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346810/BL044.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346810/BL044.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/000/ERR1346810"	"BL044_meta"	"BL044"
"PRJEB12502"	"SAMEA3914798"	"ERX1418465"	"ERR1346811"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346811/ERR1346811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346811/ERR1346811_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346811/BP515.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346811/BP515.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1346811"	"BP515_meta"	"BP515"
"PRJEB12502"	"SAMEA3914799"	"ERX1418466"	"ERR1346812"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346812/ERR1346812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346812/ERR1346812_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346812/BP518.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346812/BP518.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/002/ERR1346812"	"BP518_meta"	"BP518"
"PRJEB12502"	"SAMEA3914800"	"ERX1418467"	"ERR1346813"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1346813/ERR1346813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1346813/ERR1346813_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346813/BR067.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346813/BR067.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/003/ERR1346813"	"BR067_meta"	"BR067"
"PRJEB12502"	"SAMEA3914801"	"ERX1418468"	"ERR1346814"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1346814/ERR1346814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1346814/ERR1346814_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346814/BR068.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346814/BR068.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/004/ERR1346814"	"BR068_meta"	"BR068"
"PRJEB12502"	"SAMEA3914802"	"ERX1418469"	"ERR1346815"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1346815/ERR1346815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1346815/ERR1346815_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346815/DC575.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346815/DC575.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/005/ERR1346815"	"DC575_meta"	"DC575"
"PRJEB12502"	"SAMEA3914803"	"ERX1418470"	"ERR1346816"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1346816/ERR1346816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1346816/ERR1346816_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346816/DC575_12C.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346816/DC575_12C.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/006/ERR1346816"	"DC575_12C_meta"	"DC575_12C"
"PRJEB12502"	"SAMEA3914804"	"ERX1418471"	"ERR1346817"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1346817/ERR1346817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1346817/ERR1346817_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346817/DC578.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346817/DC578.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/007/ERR1346817"	"DC578_meta"	"DC578"
"PRJEB12502"	"SAMEA3914805"	"ERX1418472"	"ERR1346818"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1346818/ERR1346818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1346818/ERR1346818_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346818/DC578_12C.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346818/DC578_12C.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/008/ERR1346818"	"DC578_12C_meta"	"DC578_12C"
"PRJEB12502"	"SAMEA3914806"	"ERX1418473"	"ERR1346819"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1346819/ERR1346819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1346819/ERR1346819_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346819/JE121.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346819/JE121.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/009/ERR1346819"	"JE121_meta"	"JE121"
"PRJEB12502"	"SAMEA3914807"	"ERX1418474"	"ERR1346820"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1346820/ERR1346820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1346820/ERR1346820_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346820/JE121_12C.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346820/JE121_12C.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/000/ERR1346820"	"JE121_12C_meta"	"JE121_12C"
"PRJEB12502"	"SAMEA3914808"	"ERX1418475"	"ERR1346821"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346821/ERR1346821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346821/ERR1346821_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346821/JE122.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346821/JE122.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1346821"	"JE122_meta"	"JE122"
"PRJEB12502"	"SAMEA3914809"	"ERX1418476"	"ERR1346822"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346822/ERR1346822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346822/ERR1346822_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346822/JE122_12C.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346822/JE122_12C.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/002/ERR1346822"	"JE122_12C_meta"	"JE122_12C"
"PRJEB12502"	"SAMEA3914810"	"ERX1418477"	"ERR1346823"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1346823/ERR1346823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1346823/ERR1346823_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346823/JS079.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346823/JS079.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/003/ERR1346823"	"JS079_meta"	"JS079"
"PRJEB12502"	"SAMEA3914811"	"ERX1418478"	"ERR1346824"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1346824/ERR1346824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1346824/ERR1346824_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346824/JS080.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346824/JS080.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/004/ERR1346824"	"JS080_meta"	"JS080"
"PRJEB12502"	"SAMEA3914812"	"ERX1418479"	"ERR1346825"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1346825/ERR1346825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1346825/ERR1346825_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346825/JW013.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346825/JW013.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/005/ERR1346825"	"JW013_meta"	"JW013"
"PRJEB12502"	"SAMEA3914813"	"ERX1418480"	"ERR1346826"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1346826/ERR1346826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1346826/ERR1346826_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346826/JW014.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346826/JW014.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/006/ERR1346826"	"JW014_meta"	"JW014"
"PRJEB12502"	"SAMEA3914814"	"ERX1418481"	"ERR1346827"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1346827/ERR1346827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1346827/ERR1346827_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346827/LH019.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346827/LH019.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/007/ERR1346827"	"LH019_meta"	"LH019"
"PRJEB12502"	"SAMEA3914815"	"ERX1418482"	"ERR1346828"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1346828/ERR1346828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1346828/ERR1346828_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346828/LH019_12C.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346828/LH019_12C.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/008/ERR1346828"	"LH019_12C_meta"	"LH019_12C"
"PRJEB12502"	"SAMEA3914816"	"ERX1418483"	"ERR1346829"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1346829/ERR1346829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1346829/ERR1346829_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346829/LH020.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346829/LH020.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/009/ERR1346829"	"LH020_meta"	"LH020"
"PRJEB12502"	"SAMEA3914817"	"ERX1418484"	"ERR1346830"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1346830/ERR1346830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1346830/ERR1346830_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346830/LH020_12C.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346830/LH020_12C.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/000/ERR1346830"	"LH020_12C_meta"	"LH020_12C"
"PRJEB12502"	"SAMEA3914818"	"ERX1418485"	"ERR1346831"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346831/ERR1346831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346831/ERR1346831_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346831/OC455.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346831/OC455.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1346831"	"OC455_meta"	"OC455"
"PRJEB12502"	"SAMEA3914819"	"ERX1418486"	"ERR1346832"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346832/ERR1346832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346832/ERR1346832_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346832/OC458.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346832/OC458.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/002/ERR1346832"	"OC458_meta"	"OC458"
"PRJEB12502"	"SAMEA3914820"	"ERX1418487"	"ERR1346833"	256318	"metagenome"	"ILLUMINA"	"SIP_Cellulose_Metagenome"	"WGS"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1346833/ERR1346833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1346833/ERR1346833_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346833/TXA37.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346833/TXA37.R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR134/003/ERR1346833"	"TXA37_meta"	"TXA37"
