run_accession	read_count	fastq_ftp
ERR4018213	19487046	ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/003/ERR4018213/ERR4018213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/003/ERR4018213/ERR4018213_2.fastq.gz
ERR4018214	17461764	ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/004/ERR4018214/ERR4018214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/004/ERR4018214/ERR4018214_2.fastq.gz
ERR4183438	57066397	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/008/ERR4183438/ERR4183438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/008/ERR4183438/ERR4183438_2.fastq.gz
ERR4183439	58401533	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/009/ERR4183439/ERR4183439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/009/ERR4183439/ERR4183439_2.fastq.gz
ERR4183440	54864137	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/000/ERR4183440/ERR4183440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/000/ERR4183440/ERR4183440_2.fastq.gz
ERR4183441	61226591	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/001/ERR4183441/ERR4183441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/001/ERR4183441/ERR4183441_2.fastq.gz
ERR4183442	56011317	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/002/ERR4183442/ERR4183442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/002/ERR4183442/ERR4183442_2.fastq.gz
ERR4183443	53765580	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/003/ERR4183443/ERR4183443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/003/ERR4183443/ERR4183443_2.fastq.gz
ERR4183444	50202335	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/004/ERR4183444/ERR4183444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/004/ERR4183444/ERR4183444_2.fastq.gz
ERR4183445	55218691	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/005/ERR4183445/ERR4183445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/005/ERR4183445/ERR4183445_2.fastq.gz
ERR4183446	50105781	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/006/ERR4183446/ERR4183446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/006/ERR4183446/ERR4183446_2.fastq.gz
ERR4183447	58156650	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/007/ERR4183447/ERR4183447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/007/ERR4183447/ERR4183447_2.fastq.gz
ERR4183448	57682552	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/008/ERR4183448/ERR4183448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/008/ERR4183448/ERR4183448_2.fastq.gz
ERR4183449	53863352	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/009/ERR4183449/ERR4183449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/009/ERR4183449/ERR4183449_2.fastq.gz
ERR4183450	59090275	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/000/ERR4183450/ERR4183450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/000/ERR4183450/ERR4183450_2.fastq.gz
ERR4183451	61586743	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/001/ERR4183451/ERR4183451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/001/ERR4183451/ERR4183451_2.fastq.gz
ERR4183452	45544347	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/002/ERR4183452/ERR4183452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/002/ERR4183452/ERR4183452_2.fastq.gz
ERR4183453	15527871	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/003/ERR4183453/ERR4183453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/003/ERR4183453/ERR4183453_2.fastq.gz
ERR4183454	50220213	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/004/ERR4183454/ERR4183454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/004/ERR4183454/ERR4183454_2.fastq.gz
ERR4183455	56547657	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/005/ERR4183455/ERR4183455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/005/ERR4183455/ERR4183455_2.fastq.gz
