run_accession	read_count	fastq_ftp
SRR9320183	40783850	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/003/SRR9320183/SRR9320183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/003/SRR9320183/SRR9320183_2.fastq.gz
SRR9320184	44323783	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/004/SRR9320184/SRR9320184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/004/SRR9320184/SRR9320184_2.fastq.gz
SRR9320185	42894787	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/005/SRR9320185/SRR9320185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/005/SRR9320185/SRR9320185_2.fastq.gz
SRR9320186	40729825	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/006/SRR9320186/SRR9320186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/006/SRR9320186/SRR9320186_2.fastq.gz
SRR9320187	17393085	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/007/SRR9320187/SRR9320187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/007/SRR9320187/SRR9320187_2.fastq.gz
SRR9320188	18013801	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/008/SRR9320188/SRR9320188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/008/SRR9320188/SRR9320188_2.fastq.gz
SRR9320189	43727285	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/009/SRR9320189/SRR9320189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/009/SRR9320189/SRR9320189_2.fastq.gz
SRR9320190	42120625	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/000/SRR9320190/SRR9320190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/000/SRR9320190/SRR9320190_2.fastq.gz
SRR9320191	10472068	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/001/SRR9320191/SRR9320191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/001/SRR9320191/SRR9320191_2.fastq.gz
SRR9320192	15854659	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/002/SRR9320192/SRR9320192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/002/SRR9320192/SRR9320192_2.fastq.gz
SRR9320193	13331856	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/003/SRR9320193/SRR9320193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/003/SRR9320193/SRR9320193_2.fastq.gz
SRR9320194	8657966	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/004/SRR9320194/SRR9320194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/004/SRR9320194/SRR9320194_2.fastq.gz
SRR9320195	25412320	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/005/SRR9320195/SRR9320195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/005/SRR9320195/SRR9320195_2.fastq.gz
SRR9320196	15799031	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/006/SRR9320196/SRR9320196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/006/SRR9320196/SRR9320196_2.fastq.gz
SRR9320197	17621356	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/007/SRR9320197/SRR9320197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/007/SRR9320197/SRR9320197_2.fastq.gz
SRR9320198	13661993	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/008/SRR9320198/SRR9320198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/008/SRR9320198/SRR9320198_2.fastq.gz
SRR9320199	17284817	ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/009/SRR9320199/SRR9320199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR932/009/SRR9320199/SRR9320199_2.fastq.gz
