"ID"	"Study"	"PMID"	"Project ID"	"Pairing"	"Raw read number"	"Cleaned read number"
"SRR9320187"	"Acid Mine Drainage"	"32785287"	"PRJNA540505"	"Paired"	34786170	29468614
"SRR9320188"	"Acid Mine Drainage"	"32785287"	"PRJNA540505"	"Paired"	36027602	29926429
"SRR9320191"	"Acid Mine Drainage"	"32785287"	"PRJNA540505"	"Paired"	20944136	15406645
"SRR9320192"	"Acid Mine Drainage"	"32785287"	"PRJNA540505"	"Paired"	31709318	26676736
"SRR9320193"	"Acid Mine Drainage"	"32785287"	"PRJNA540505"	"Paired"	26663712	19921821
"SRR9320194"	"Acid Mine Drainage"	"32785287"	"PRJNA540505"	"Paired"	17315932	12488692
"SRR9320195"	"Acid Mine Drainage"	"32785287"	"PRJNA540505"	"Paired"	50824640	45175062
"SRR9320196"	"Acid Mine Drainage"	"32785287"	"PRJNA540505"	"Paired"	31598062	25134020
"SRR9320197"	"Acid Mine Drainage"	"32785287"	"PRJNA540505"	"Paired"	35242712	29573658
"SRR9320198"	"Acid Mine Drainage"	"32785287"	"PRJNA540505"	"Paired"	27323986	21869240
"SRR9320199"	"Acid Mine Drainage"	"32785287"	"PRJNA540505"	"Paired"	34569634	28459232
"SRR16235394"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	88239704	23611710
"SRR16235395"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	114565502	89583579
"SRR16235396"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	71831380	62609017
"SRR16235397"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	187101498	175439283
"SRR16235398"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	177167802	161724595
"SRR16235399"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	62165458	58480297
"SRR16235400"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	67304938	63284748
"SRR16235401"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	68992950	53521560
"SRR16235402"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	77921032	35940253
"SRR16235403"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	54533852	49372491
"SRR16235404"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	93732658	68798488
"SRR16235405"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	88388090	81692871
"SRR16235406"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	81550038	76842881
"SRR16235407"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	96951866	56997397
"SRR16235408"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	252204562	244088713
"SRR16235409"	"Cat Gut"	"35467389"	"PRJNA758898"	"Paired"	224309608	214275964
"SRR3584976"	"Coastal Sediment"	"28793929"	"PRJNA322450"	"Paired"	9166558	6025661
"SRR3584977"	"Coastal Sediment"	"28793929"	"PRJNA322450"	"Paired"	10117920	5939385
"SRR3584978"	"Coastal Sediment"	"28793929"	"PRJNA322450"	"Paired"	6602138	4587070
"SRR3584979"	"Coastal Sediment"	"28793929"	"PRJNA322450"	"Paired"	6941594	4824553
"SRR3584980"	"Coastal Sediment"	"28793929"	"PRJNA322450"	"Paired"	9189418	6573201
