"sample_id"	"chlorophyll"	"nitrate"	"oxygen"	"depth"
"ERR3589591"	0.76242	4.348292	270.945625	5
"ERR3589584"	-0.00195	13.716288	208.76175	751
"ERR3589583"	1.21266	6.951238	266.369875	40
"ERR3589592"	2.013825	5.21995	311.9179	5
"ERR3589564"	1.1376	7.947163	304.26005	25
"ERR3589585"	0	14.950381	295.31095	651
"ERR3589586"	8.71005	4.72754	363.047375	5
"ERR3589593"	-0.01098	13.010683	315.37205	499
"ERR3589588"	0.2442	-4.721995	298.8549	5
"ERR3589565"	2.344913	-3.888729	326.5136	40
"ERR3589587"	0.27075	-0.852148	303.31905	55
"ERR3589566"	0.00765	2.40637	383.163125	5
"ERR3589553"	5.79315	4.752266	348.000625	35
"ERR3589577"	0.89622	2.060443	368.906875	5
"ERR3589567"	-0.027	11.691602	296.228	199
"ERR3589589"	0.59478	NA	314.71675	55
"ERR3589590"	-0.0396	NA	348.536	5
"ERR3589568"	0.463462	NA	350.63975	5
"ERR3589578"	0.9741	NA	356.194583	30
"ERR3589554"	1.3462	NA	388.2395	5
"ERR3589579"	4.265775	NA	373.347333	17
"ERR3589555"	0.474975	NA	364.342188	5
"ERR3589569"	2.13888	NA	375.0946	20
"ERR3589570"	-0.0078	NA	293.889	299
"ERR3589580"	0.366	NA	340.518	5
"ERR3589581"	NA	NA	NA	5
"ERR3589556"	0.1417	-3.147755	369.339	5
"ERR3589571"	0.7059	-2.647802	397.421583	35
"ERR3589557"	0.97065	1.632991	335.965875	5
"ERR3589573"	-0.0072	10.238791	233.314	441
"ERR3589558"	0.98241	3.715845	369.1045	5
"ERR3589572"	1.48641	5.355932	343.877833	36
"ERR3589559"	1.7892	3.891253	353.31105	5
"ERR3589574"	-0.0081	22.810319	227.316	491
"ERR3589561"	1.18236	3.502622	328.5869	5
"ERR3589560"	-0.01008	13.347925	229.6853	411
"ERR3589575"	0.375	1.699631	303.353	5
"ERR3589576"	1.322662	6.121815	323.835062	5
"ERR3589562"	-0.0111	10.622333	273.02835	351
"ERR3589582"	0.99555	8.291587	293.88825	5
"ERR3589563"	-0.0036	16.017641	271.8744	391
