Taxonomy	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Archaea	0	0.854805458390503	0	0	0	0	2.48020512243222	3.68284058064068	9.14482721248915	4.6200318510945	8.51041067316844
k__Archaea|p__Micrarchaeota	0	0	0	0	0	0	0.458159845744638	1.54138430757116	5.61488382861154	2.93460080692976	5.39560978280242
k__Archaea|p__Micrarchaeota|c__Micrarchaeia	0	0	0	0	0	0	0.458159845744638	1.54138430757116	5.61488382861154	2.93460080692976	5.39560978280242
k__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Micrarchaeales	0	0	0	0	0	0	0.458159845744638	1.54138430757116	5.61488382861154	2.93460080692976	5.39560978280242
k__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Micrarchaeales|f__Micrarchaeaceae	0	0	0	0	0	0	0.458159845744638	1.54138430757116	5.61488382861154	2.93460080692976	5.39560978280242
k__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Micrarchaeales|f__Micrarchaeaceae|g__UBA12276	0	0	0	0	0	0	0	0	0.641942440496164	0	0
k__Archaea|p__Thermoplasmatota	0	0	0	0	0	0	1.59605613367199	1.69829184126581	2.34214739525722	1.68543104416474	2.5124485865127
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata	0	0	0	0	0	0	1.59605613367199	1.69829184126581	2.34214739525722	1.68543104416474	2.5124485865127
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184	0	0	0	0	0	0	1.59605613367199	1.69829184126581	2.34214739525722	1.68543104416474	2.5124485865127
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184|f__UBA184	0	0	0	0	0	0	1.59605613367199	1.69829184126581	2.34214739525722	1.68543104416474	2.5124485865127
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184|f__UBA184|g__UBA184	0	0	0	0	0	0	1.59605613367199	1.69829184126581	2.34214739525722	1.68543104416474	2.5124485865127
k__Archaea|p__Thermoproteota	0	0.854805458390503	0	0	0	0	0.425989143015593	0.443164431803712	1.18779598862038	0	0.602352303853315
k__Archaea|p__Thermoproteota|c__Nitrososphaeria	0	0.854805458390503	0	0	0	0	0.425989143015593	0.443164431803712	1.18779598862038	0	0.602352303853315
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales	0	0.854805458390503	0	0	0	0	0.425989143015593	0.443164431803712	1.18779598862038	0	0.602352303853315
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__CADDZS01	0	0	0	0	0	0	0	0.443164431803712	0.590483924187823	0	0
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__CADDZS01|g__CADDZS01	0	0	0	0	0	0	0	0	0.590483924187823	0	0
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae	0	0.854805458390503	0	0	0	0	0.425989143015593	0	0.597312064432558	0	0.602352303853315
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosotalea	0	0.854805458390503	0	0	0	0	0.425989143015593	0	0.597312064432558	0	0.602352303853315
k__Bacteria	10.8426402023465	12.0679094962196	1.36041673280699	11.0237610052272	3.49286130099334	1.01000093386114	14.670105616937	10.9200872221478	3.9591726881573	4.29339094631631	3.53836228787849
k__Bacteria|p__Acidobacteriota	0	2.64804783457919	1.36041673280699	1.13802148882527	3.49286130099334	1.01000093386114	0.586221223307719	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae	0	2.64804783457919	1.36041673280699	1.13802148882527	3.49286130099334	1.01000093386114	0.586221223307719	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales	0	1.86472070842524	1.36041673280699	1.13802148882527	1.36395465088119	0	0.586221223307719	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae	0	1.86472070842524	1.36041673280699	1.13802148882527	1.36395465088119	0	0.586221223307719	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__CAIMNN01	0	0	1.36041673280699	0	1.36395465088119	0	0	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter	0	0	0	0	0	0	0.586221223307719	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Palsa-288	0	0	0	1.13802148882527	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Terracidiphilus	0	1.86472070842524	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales	0	0.783327126153945	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541	0	0.783327126153945	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales	0	0	0	0	1.08875152450384	1.01000093386114	0	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae	0	0	0	0	1.08875152450384	1.01000093386114	0	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540	0	0	0	0	1.04015512560831	0	0	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540|f__UBA7540	0	0	0	0	1.04015512560831	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota	0	0	0	0.675655930786738	0	0	1.88547145474807	3.40987847393516	0.498277517090205	0.835280270648211	0.586927138495614
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia	0	0	0	0.675655930786738	0	0	1.88547145474807	3.40987847393516	0.498277517090205	0.835280270648211	0.586927138495614
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales	0	0	0	0.675655930786738	0	0	1.88547145474807	3.40987847393516	0.498277517090205	0.835280270648211	0.586927138495614
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae	0	0	0	0	0	0	1.22158851853526	2.13522586797275	0.498277517090205	0.835280270648211	0.586927138495614
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae|g__Acidithrix	0	0	0	0	0	0	1.22158851853526	2.13522586797275	0.498277517090205	0.835280270648211	0.586927138495614
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2	0	0	0	0.675655930786738	0	0	0.663882936212814	1.27465260596241	0	0	0
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__RAAP-2	0	0	0	0.675655930786738	0	0	0.663882936212814	1.27465260596241	0	0	0
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__RAAP-2|s__RAAP-2 sp013044285	0	0	0	0	0	0	0.663882936212814	0.851902563210679	0	0	0
k__Bacteria|p__Bacteroidota	0.672906623519589	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia	0.672906623519589	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	0.672906623519589	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__VadinHA17	0.672906623519589	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__VadinHA17|g__LD21	0.672906623519589	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota	4.76692979451286	2.35985981409319	0	3.40619740082347	0	0	0.498165992498348	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Anaerolineae	1.66686542722695	0.841016784986209	0	0.794738188989418	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales	0.629211350951341	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__EnvOPS12	0.629211350951341	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__EnvOPS12|g__Fen-1038	0.629211350951341	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__UBA4142	1.03765407627561	0.841016784986209	0	0.794738188989418	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__UBA4142|f__UBA4142	1.03765407627561	0.841016784986209	0	0.794738188989418	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Ktedonobacteria	0	0	0	0	0	0	0.498165992498348	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales	0	0	0	0	0	0	0.498165992498348	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonobacteraceae	0	0	0	0	0	0	0.498165992498348	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonobacteraceae|g__DTNP01	0	0	0	0	0	0	0.498165992498348	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Limnocylindria	3.10006436728591	1.51884302910698	0	2.61145921183405	0	0	0	0	0	0	0
