ID	reSRR9320187_taxonomic_profile	reSRR9320188_taxonomic_profile	reSRR9320191_taxonomic_profile	reSRR9320192_taxonomic_profile	reSRR9320193_taxonomic_profile	reSRR9320194_taxonomic_profile	reSRR9320195_taxonomic_profile	reSRR9320196_taxonomic_profile	reSRR9320197_taxonomic_profile	reSRR9320198_taxonomic_profile	reSRR9320199_taxonomic_profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Acidobacteria	52.88992	62.64778	60.36224	57.08535	56.5778	65.91978	12.91895	6.44809	11.01347	12.46916	15.64583
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	52.88992	62.64778	60.36224	57.08535	56.5778	65.91978	12.91895	6.44809	11.01347	12.46916	15.64583
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	52.88992	62.64778	60.36224	57.08535	56.5778	65.91978	12.91895	6.44809	11.01347	12.46916	15.64583
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	52.88992	62.64778	60.36224	57.08535	56.5778	65.91978	12.91895	6.44809	11.01347	12.46916	15.64583
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified	38.27585	42.5705	28.68558	41.13869	31.92004	38.62004	2.83116	3.31524	0.0	5.78832	8.58794
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	10.33155	14.91555	23.06458	13.36793	19.35048	17.02098	8.48846	2.48556	8.50859	5.40733	6.08302
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified	10.33155	14.91555	23.06458	13.36793	19.35048	17.02098	8.48846	2.48556	8.50859	5.40733	6.08302
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus	4.28251	5.16174	8.61209	2.57873	5.30729	10.27875	1.59933	0.64729	2.50488	1.27351	0.97486
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus_unclassified	4.28251	5.16174	8.61209	2.57873	5.30729	10.27875	1.59933	0.64729	2.50488	1.27351	0.97486
k__Bacteria|p__Actinobacteria	0.90008	2.06638	1.798	0.0	0.37115	0.77575	0.57398	0.0	0.0	0.12437	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.90008	2.06638	1.798	0.0	0.37115	0.77575	0.57398	0.0	0.0	0.12437	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0	2.06638	1.66373	0.0	0.0	0.0	0.5083	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae	0.0	0.0	1.06121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Actinoplanes	0.0	0.0	1.06121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_unclassified	0.0	0.0	1.06121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.0	2.06638	0.0	0.0	0.0	0.0	0.5083	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	0.0	1.68829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0.0	0.37809	0.0	0.0	0.0	0.0	0.5083	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	0.0	0.37809	0.0	0.0	0.0	0.0	0.5083	0.0	0.0	0.0	0.0
