;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10
ID0;0.000000;0.601114;0.910841;0.571496;0.895365;0.924645;0.897646;0.903759;0.923408;0.909322;0.919501
ID1;0.601114;0.000000;0.888096;0.576194;0.867494;0.905765;0.906539;0.920946;0.930547;0.917974;0.929109
ID2;0.910841;0.888096;0.000000;0.896854;0.725462;0.745286;0.939717;0.951685;0.957900;0.941068;0.958556
ID3;0.571496;0.576194;0.896854;0.000000;0.880987;0.911674;0.913469;0.921450;0.929351;0.917191;0.928392
ID4;0.895365;0.867494;0.725462;0.880987;0.000000;0.749403;0.928118;0.946463;0.954117;0.937555;0.954789
ID5;0.924645;0.905765;0.745286;0.911674;0.749403;0.000000;0.949653;0.958047;0.962961;0.946561;0.963574
ID6;0.897646;0.906539;0.939717;0.913469;0.928118;0.949653;0.000000;0.683772;0.812701;0.786401;0.797944
ID7;0.903759;0.920946;0.951685;0.921450;0.946463;0.958047;0.683772;0.000000;0.734637;0.651460;0.703174
ID8;0.923408;0.930547;0.957900;0.929351;0.954117;0.962961;0.812701;0.734637;0.000000;0.695005;0.568882
ID9;0.909322;0.917974;0.941068;0.917191;0.937555;0.946561;0.786401;0.651460;0.695005;0.000000;0.664394
ID10;0.919501;0.929109;0.958556;0.928392;0.954789;0.963574;0.797944;0.703174;0.568882;0.664394;0.000000
