Taxonomy	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Archaea	0.882396272181108	1.2376037605481	0.134027280590776	1.01111305814831	0.106651021530566	0.133465856462802	0.881284349747522	1.39494744267715	1.58963225072047	1.89756110716093	1.95377751315841
k__Archaea|p__Micrarchaeota	0.000385640647347677	0.000422242460575678	0.00308142537102206	0.00108227477333535	0.00323329304955804	0.00338149528058073	0.196183931162461	0.554577336482721	0.736439504577764	0.892189735144715	0.978256872391407
k__Archaea|p__Micrarchaeota|c__Micrarchaeia	0.000385640647347677	0.000422242460575678	0.00308142537102206	0.00108227477333535	0.00323329304955804	0.00338149528058073	0.196183931162461	0.554577336482721	0.736439504577764	0.892189735144715	0.978256872391407
k__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Micrarchaeales	0.000385640647347677	0.000422242460575678	0.00308142537102206	0.00108227477333535	0.00323329304955804	0.00338149528058073	0.196183931162461	0.554577336482721	0.736439504577764	0.892189735144715	0.978256872391407
k__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Micrarchaeales|f__Micrarchaeaceae	0.000385640647347677	0.000422242460575678	0.00308142537102206	0.00108227477333535	0.00323329304955804	0.00338149528058073	0.196183931162461	0.554577336482721	0.736439504577764	0.892189735144715	0.978256872391407
k__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Micrarchaeales|f__Micrarchaeaceae|g__UBA12276	0	0	0.00182168968074368	0.000281859772940926	0.00126794315136761	0.00184068724196798	0.0772348461428415	0.201351200317991	0.267275750902558	0.293630265334889	0.346514894524267
k__Archaea|p__Thermoplasmatota	0.373125700538536	0.327282232182594	0.051887027938753	0.443519072643273	0.0419068847669368	0.050087906155941	0.106193810374939	0.231842639954706	0.240758466396644	0.260108763752712	0.238658886680896
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata	0.373125700538536	0.327282232182594	0.051887027938753	0.443519072643273	0.0419068847669368	0.050087906155941	0.106193810374939	0.231842639954706	0.240758466396644	0.260108763752712	0.238658886680896
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184	0.373125700538536	0.327282232182594	0.051887027938753	0.443519072643273	0.0419068847669368	0.050087906155941	0.106193810374939	0.231842639954706	0.240758466396644	0.260108763752712	0.238658886680896
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184|f__UBA184	0.373125700538536	0.327282232182594	0.051887027938753	0.443519072643273	0.0419068847669368	0.050087906155941	0.106193810374939	0.231842639954706	0.240758466396644	0.260108763752712	0.238658886680896
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184|f__UBA184|g__UBA184	0.373125700538536	0.327282232182594	0.051887027938753	0.443519072643273	0.0419068847669368	0.050087906155941	0.106193810374939	0.231842639954706	0.240758466396644	0.260108763752712	0.238658886680896
k__Archaea|p__Thermoproteota	0.508884930995224	0.909899285904927	0.0790588272810007	0.566511710731698	0.0615108437140707	0.0799964550262805	0.578906608210122	0.60852746623972	0.612434279746064	0.745262608263503	0.736861754086104
k__Archaea|p__Thermoproteota|c__Nitrososphaeria	0.508884930995224	0.909899285904927	0.0790588272810007	0.566511710731698	0.0615108437140707	0.0799964550262805	0.578906608210122	0.60852746623972	0.612434279746064	0.745262608263503	0.736861754086104
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales	0.508884930995224	0.909899285904927	0.0790588272810007	0.566511710731698	0.0615108437140707	0.0799964550262805	0.578906608210122	0.60852746623972	0.612434279746064	0.745262608263503	0.736861754086104
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__CADDZS01	0.0458378679265131	0.027624004492666	0.0204111395512471	0.0315134173210636	0.0182934891408759	0.0230078126159635	0.139399977170304	0.208898028381343	0.144760598519428	0.18040163188231	0.149496839551706
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__CADDZS01|g__CADDZS01	0.0458378679265131	0.027624004492666	0.0204111395512471	0.0315134173210636	0.0182934891408759	0.0230078126159635	0.139399977170304	0.208898028381343	0.144760598519428	0.18040163188231	0.149496839551706
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae	0.463047063068711	0.882275281412261	0.0586476877297536	0.534998293410634	0.0432173545731949	0.056988642410317	0.439506631039819	0.399629437858377	0.467673681226636	0.564860976381192	0.587364914534398
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosotalea	0.463047063068711	0.882275281412261	0.0586476877297536	0.534998293410634	0.0432173545731949	0.056988642410317	0.439506631039819	0.399629437858377	0.467673681226636	0.564860976381192	0.587364914534398
k__Bacteria	12.2645622362295	10.7610403147521	5.09523026695236	10.6315417704923	4.89017706961604	5.02662243185077	15.4246420644368	11.3683848539578	4.85965252206773	6.78311507027125	4.88874381784786
k__Bacteria|p__Acidobacteriota	1.20596887326282	2.51045692345275	2.89647340869628	1.46328496295942	2.96672101029125	2.90619109511222	1.69594876279002	0.613741997735825	0.230623884800382	0.422766295351824	0.247350238141313
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae	1.20596887326282	2.51045692345275	2.89647340869628	1.46328496295942	2.96672101029125	2.90619109511222	1.69594876279002	0.613741997735825	0.230623884800382	0.422766295351824	0.247350238141313
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales	0.544976635954298	0.827504243977413	0.839588021336179	0.59421702675634	0.759358753403497	0.746816900396782	1.52086327195599	0.550721611570136	0.142288389921025	0.307332642571827	0.169301888677969
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae	0.544976635954298	0.827504243977413	0.839588021336179	0.59421702675634	0.759358753403497	0.746816900396782	1.52086327195599	0.550721611570136	0.142288389921025	0.307332642571827	0.169301888677969
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__CAIMNN01	0.196695334147264	0.389412777711952	0.6227367450756	0.272452437295386	0.574122920151131	0.562666512514438	0.0903697462102895	0.0496594992935977	0.0223468141672067	0.0385105716551131	0.0205639172237395
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter	0.168905865041414	0.0403861223362037	0.0991073144707463	0.0440444118211754	0.0920087374096512	0.0824873077205574	1.40311851908967	0.474257471966184	0.101057506517432	0.239856618922225	0.128850185898511
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Palsa-288	0.111331517946377	0.237963828090438	0.0709795003002191	0.171741212375021	0.0518927299890853	0.055851394082407	0.0153411154678755	0.017388134390529	0.0134831525875301	0.0193022718188069	0.0149331036027216
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Terracidiphilus	0.0680439188192434	0.159741515838819	0.0467644614896143	0.105978965264758	0.0413343658536301	0.045811686079379	0.012033891188163	0.00941650591982605	0.00540091664885615	0.00966318017568195	0.00495468195299688
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales	0.442652211865674	1.51840909788445	0.884371141646964	0.664337232306568	0.851390870186284	0.947779919810495	0.00919852785391204	0.00608494705003302	0.00438279054786601	0.014247671017452	0.00493654690859044
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541	0.442652211865674	1.51840909788445	0.884371141646964	0.664337232306568	0.851390870186284	0.947779919810495	0.00919852785391204	0.00608494705003302	0.00438279054786601	0.014247671017452	0.00493654690859044
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales	0.0355599208304963	0.0499272585375913	0.632671305566603	0.0444495034813865	0.713497806865442	0.650609358406773	0.0820611075039087	0.0199167534997079	0.0319363127409469	0.0396253633086651	0.0260001061710124
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae	0.0355599208304963	0.0499272585375913	0.632671305566603	0.0444495034813865	0.713497806865442	0.650609358406773	0.0820611075039087	0.0199167534997079	0.0319363127409469	0.0396253633086651	0.0260001061710124
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540	0.182780104612354	0.114616323053292	0.539842940146533	0.160281200415129	0.642473579836029	0.560984916498173	0.0838258554762024	0.0370186856159481	0.0520163915905444	0.0615606184538799	0.0471116963837408
k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540|f__UBA7540	0.182780104612354	0.114616323053292	0.539842940146533	0.160281200415129	0.642473579836029	0.560984916498173	0.0838258554762024	0.0370186856159481	0.0520163915905444	0.0615606184538799	0.0471116963837408
k__Bacteria|p__Actinobacteriota	0.38570360743843	0.279522077147298	0.11555513333885	0.69343705745584	0.0967145080961402	0.110064627332746	1.04583458379822	1.27555414074104	0.212212352598823	0.569862954521641	0.272164931789571
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia	0.38570360743843	0.279522077147298	0.11555513333885	0.69343705745584	0.0967145080961402	0.110064627332746	1.04583458379822	1.27555414074104	0.212212352598823	0.569862954521641	0.272164931789571
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales	0.38570360743843	0.279522077147298	0.11555513333885	0.69343705745584	0.0967145080961402	0.110064627332746	1.04583458379822	1.27555414074104	0.212212352598823	0.569862954521641	0.272164931789571
