Taxonomy	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Archaea	0	1.50625202728703	0	0.684860805450185	0	0	3.07702197340096	3.7069911235516	10.5415117139424	5.10359928929729	9.65891599602649
k__Archaea|p__Micrarchaeota	0	0	0	0	0	0	0.502591728695741	1.60676711542916	7.00091808810503	3.29711699764627	6.83650206332055
k__Archaea|p__Micrarchaeota|c__Micrarchaeia	0	0	0	0	0	0	0.502591728695741	1.60676711542916	7.00091808810503	3.29711699764627	6.83650206332055
k__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Micrarchaeales	0	0	0	0	0	0	0.502591728695741	1.60676711542916	7.00091808810503	3.29711699764627	6.83650206332055
k__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Micrarchaeales|f__Micrarchaeaceae	0	0	0	0	0	0	0.502591728695741	1.60676711542916	7.00091808810503	3.29711699764627	6.83650206332055
k__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Micrarchaeales|f__Micrarchaeaceae|g__UBA12276	0	0	0	0	0	0	0	0	0.783430182911101	0	0.675164376859604
k__Archaea|p__Thermoplasmatota	0	0.630285130072505	0	0.684860805450185	0	0	1.71938524870152	1.63932200033296	2.79255203270773	1.80648229165102	2.14465607463843
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata	0	0.630285130072505	0	0.684860805450185	0	0	1.71938524870152	1.63932200033296	2.79255203270773	1.80648229165102	2.14465607463843
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184	0	0.630285130072505	0	0.684860805450185	0	0	1.71938524870152	1.63932200033296	2.79255203270773	1.80648229165102	2.14465607463843
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184|f__UBA184	0	0.630285130072505	0	0.684860805450185	0	0	1.71938524870152	1.63932200033296	2.79255203270773	1.80648229165102	2.14465607463843
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184|f__UBA184|g__UBA184	0	0.630285130072505	0	0.684860805450185	0	0	1.71938524870152	1.63932200033296	2.79255203270773	1.80648229165102	2.14465607463843
k__Archaea|p__Thermoproteota	0	0.875966897214529	0	0	0	0	0.8550449960037	0.460902007789478	0.748041593129637	0	0.677757858067503
k__Archaea|p__Thermoproteota|c__Nitrososphaeria	0	0.875966897214529	0	0	0	0	0.8550449960037	0.460902007789478	0.748041593129637	0	0.677757858067503
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales	0	0.875966897214529	0	0	0	0	0.8550449960037	0.460902007789478	0.748041593129637	0	0.677757858067503
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__CADDZS01	0	0	0	0	0	0	0.396992239955797	0.460902007789478	0	0	0
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__CADDZS01|g__CADDZS01	0	0	0	0	0	0	0.396992239955797	0.460902007789478	0	0	0
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae	0	0.875966897214529	0	0	0	0	0.458052756047902	0	0.748041593129637	0	0.677757858067503
k__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosotalea	0	0.875966897214529	0	0	0	0	0.458052756047902	0	0.748041593129637	0	0.677757858067503
k__Bacteria	22.2013740808314	17.339357845953	2.29822937114006	11.9871969427348	5.03486821096396	0	16.2561483526609	12.9252342827039	6.37197636934032	6.27108312439483	5.43985787477501
