Taxa	reERR5005154	reERR5005155	reERR5005156	reERR5005157	reERR5005158	reERR5005159	reERR5005160	reERR5005161	reERR5005162	reERR5005163	reERR5005164	reERR5005165	reERR5005166	reERR5005167	reERR5005168	reERR5005169	reERR5005170	reERR5005171	reERR5005283	reERR5005284	reERR5005285	reERR5005286	reERR5005287	reERR5005288	reERR5005289	reERR5005290	reERR5005291	reERR5005292	reERR5005293	reERR5005301	reERR5005302	reERR5005303	reERR5005304	reERR5005305	reERR5005306	reERR5005307	reERR5005308	reERR5005309	reERR5005310	reERR5005311	reERR5005312	reERR5005313	reERR5005314	reERR5005315	reERR5005316	reERR5005317	reERR5005318	reERR5005319	reERR5005320	reERR5005321	reERR5005322	reERR5005323	reERR5005324	reERR5005325	reERR5005326	reERR5005327	reERR5005328	reERR5005329	reERR5005330	reERR5005331	reERR5005334	reERR5005335
k__archaea	0.0500010220844878	0.0430360701589224	0.0279634974537323	0.0191774612528112	0.0646485373029468	0.127344174438031	0.0227949059647506	0.0435069467685335	0.0553145819435228	0.0369230813674576	0.373364473450044	0.0859577091645036	0.0403720943631619	0.308259255141548	0.0376808539331445	0.0140901631565669	0.197102081951476	0.00176536494136158	0.015347481673746	0.0894567674784287	0.0292394366260033	0.0146351026397819	0.0847075839306865	0.000281430907305102	0.0845592415127378	0.00915558541880586	0.0343772857237848	0.0581351958156341	0.0098133318573888	0.0141422732854618	0.162221448925019	0.186038112203888	0.0227511923645517	0.0451544443261828	0.0383377681355417	0.0312300854114867	0.346271667719632	0.0112899816601083	0.029909192476773	0.0155835434793001	0.0318606646016567	0.0208240894377796	0.00715463187101734	0.0171148729489352	0.00326497820007831	0.540755067438336	0.000130411521162367	0.10874372136122	0.651387183367335	0.00151914137509422	0.0282913266291232	0.0140778866639407	0.0421593168762477	0.0208249647826707	0.015202944379198	0.000972544505967485	0	0.0457060660591126	0.0199668024482372	0.0139425417635984	0.932341366792562	0.399202684521496
k__archaea|p__candidatus_korarchaeota	0	0	0	0	0	0	0	0.000196864012527301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum	0	0	0	0	0	0	0	0.000196864012527301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum|s__candidatus_korarchaeum_cryptofilum	0	0	0	0	0	0	0	0.000196864012527301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_lokiarchaeota	0.000348806610907361	0.000128609847318408	0.0013907245625302	0.000973063573081332	0.000159311328987055	0	0	0.000431225932202659	0.00117960247006807	0	0	0	0.00106393113059214	0	0	0	9.96681548783326e-05	0	0.000118805276855177	0	0.000156181653095783	7.41643714853813e-05	0.000190490324693356	0	0.000204061603282865	0	0.00049870337123479	0	0.000127445868277777	0.000288030005813886	0.000538970571424424	0.000118687513306696	0.000201266740663055	0	0.000397132009488937	0.000221639673417107	0.00025318425619276	0.000531591064713618	0.000148258454750505	0.000261437517927144	0	0.000191213763967369	0	0	0	0.000211290910872476	0	0	0.000270708525423591	0	0.000399675653690943	0.000537580397668379	0.000180256904914067	0.000370221596136367	0.00042993401229468	0	0	0	0	0.000329610916397125	7.98778362895031e-05	0.0002346292131838
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0.000348806610907361	0.000128609847318408	0.0013907245625302	0.000973063573081332	0.000159311328987055	0	0	0.000431225932202659	0.00117960247006807	0	0	0	0.00106393113059214	0	0	0	9.96681548783326e-05	0	0.000118805276855177	0	0.000156181653095783	7.41643714853813e-05	0.000190490324693356	0	0.000204061603282865	0	0.00049870337123479	0	0.000127445868277777	0.000288030005813886	0.000538970571424424	0.000118687513306696	0.000201266740663055	0	0.000397132009488937	0.000221639673417107	0.00025318425619276	0.000531591064713618	0.000148258454750505	0.000261437517927144	0	0.000191213763967369	0	0	0	0.000211290910872476	0	0	0.000270708525423591	0	0.000399675653690943	0.000537580397668379	0.000180256904914067	0.000370221596136367	0.00042993401229468	0	0	0	0	0.000329610916397125	7.98778362895031e-05	0.0002346292131838
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0.000348806610907361	0.000128609847318408	0.0013907245625302	0.000973063573081332	0.000159311328987055	0	0	0.000431225932202659	0.00117960247006807	0	0	0	0.00106393113059214	0	0	0	9.96681548783326e-05	0	0.000118805276855177	0	0.000156181653095783	7.41643714853813e-05	0.000190490324693356	0	0.000204061603282865	0	0.00049870337123479	0	0.000127445868277777	0.000288030005813886	0.000538970571424424	0.000118687513306696	0.000201266740663055	0	0.000397132009488937	0.000221639673417107	0.00025318425619276	0.000531591064713618	0.000148258454750505	0.000261437517927144	0	0.000191213763967369	0	0	0	0.000211290910872476	0	0	0.000270708525423591	0	0.000399675653690943	0.000537580397668379	0.000180256904914067	0.000370221596136367	0.00042993401229468	0	0	0	0	0.000329610916397125	7.98778362895031e-05	0.0002346292131838
k__archaea|p__candidatus_micrarchaeota	0	0	0	0	0	0	0	0	0	0	0.000243790057753865	0	0	0	0	0	0	0	0.000162007195711605	0.000173507409359958	0	0	0	0	0	0	0.000155152159939712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000105645455436238	0	0	0	0	0	0	0	0	0.00013136872597893	0	0	0	9.28295971811533e-05	5.93299649514824e-05	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000162007195711605	0.000173507409359958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000105645455436238	0	0	0	0	0	0	0	0	0	0	0	0	9.28295971811533e-05	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000162007195711605	0.000173507409359958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000105645455436238	0	0	0	0	0	0	0	0	0	0	0	0	9.28295971811533e-05	0	0	0
