clade_name	reERR5005154_taxonomic_profile	reERR5005155_taxonomic_profile	reERR5005156_taxonomic_profile	reERR5005157_taxonomic_profile	reERR5005158_taxonomic_profile	reERR5005159_taxonomic_profile	reERR5005160_taxonomic_profile	reERR5005161_taxonomic_profile	reERR5005162_taxonomic_profile	reERR5005163_taxonomic_profile	reERR5005164_taxonomic_profile	reERR5005165_taxonomic_profile	reERR5005166_taxonomic_profile	reERR5005167_taxonomic_profile	reERR5005168_taxonomic_profile	reERR5005169_taxonomic_profile	reERR5005170_taxonomic_profile	reERR5005171_taxonomic_profile	reERR5005283_taxonomic_profile	reERR5005284_taxonomic_profile	reERR5005285_taxonomic_profile	reERR5005286_taxonomic_profile	reERR5005287_taxonomic_profile	reERR5005288_taxonomic_profile	reERR5005289_taxonomic_profile	reERR5005290_taxonomic_profile	reERR5005291_taxonomic_profile	reERR5005292_taxonomic_profile	reERR5005293_taxonomic_profile	reERR5005301_taxonomic_profile	reERR5005302_taxonomic_profile	reERR5005303_taxonomic_profile	reERR5005304_taxonomic_profile	reERR5005305_taxonomic_profile	reERR5005306_taxonomic_profile	reERR5005307_taxonomic_profile	reERR5005308_taxonomic_profile	reERR5005309_taxonomic_profile	reERR5005310_taxonomic_profile	reERR5005311_taxonomic_profile	reERR5005312_taxonomic_profile	reERR5005313_taxonomic_profile	reERR5005314_taxonomic_profile	reERR5005315_taxonomic_profile	reERR5005316_taxonomic_profile	reERR5005317_taxonomic_profile	reERR5005318_taxonomic_profile	reERR5005319_taxonomic_profile	reERR5005320_taxonomic_profile	reERR5005321_taxonomic_profile	reERR5005322_taxonomic_profile	reERR5005323_taxonomic_profile	reERR5005324_taxonomic_profile	reERR5005325_taxonomic_profile	reERR5005326_taxonomic_profile	reERR5005327_taxonomic_profile	reERR5005328_taxonomic_profile	reERR5005329_taxonomic_profile	reERR5005330_taxonomic_profile	reERR5005331_taxonomic_profile	reERR5005334_taxonomic_profile	reERR5005335_taxonomic_profile
k__Archaea	0.115272609610095	0	0	0.0260960334029228	0.358778104284836	0	0.0850581230507513	0.0123662894948371	0.0341051875785317	0.0668091929449492	3.61114745518775	0.788526369921719	0.00176171097369766	0.40520984081042	0.00880126738250308	0	0.650561848869478	0	0.0162999185004075	0.357251444207966	0.0267498885421311	0.00184983074048725	0.263585374076685	0	1.06034404295986	0	0	0	0	0	1.2843683906941	2.37573950715051	0	0.517740216232679	0.0872773435950331	0.0398830098378091	0.327013742602066	0	0.0142648265040476	0	0	0.0225963168003615	0	0	0	2.34555770388919	0	0	2.8143756404626	0	0	0.00799552250739586	0	0	0	0	0	0.0589699908268903	0	0	0.821068151198556	0.584458131306513
k__Archaea|p__Euryarchaeota	0.115272609610095	0	0	0.0260960334029228	0.358778104284836	0	0.0850581230507513	0.0123662894948371	0.0341051875785317	0.0668091929449492	3.61114745518775	0.788526369921719	0.00176171097369766	0.397973950795948	0.00880126738250308	0	0.650561848869478	0	0.0162999185004075	0.357251444207966	0.0267498885421311	0.00184983074048725	0.263585374076685	0	1.06034404295986	0	0	0	0	0	1.2843683906941	2.37573950715051	0	0.517740216232679	0.0872773435950331	0.0398830098378091	0.327013742602066	0	0.0142648265040476	0	0	0.0225963168003615	0	0	0	2.34555770388919	0	0	2.8143756404626	0	0	0.00799552250739586	0	0	0	0	0	0	0	0	0.821068151198556	0.584458131306513
k__Archaea|p__Euryarchaeota|c__Halobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00306494621019401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00306494621019401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00306494621019401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Unclassified_Halobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00306494621019401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Unclassified_Halobacteriaceae|s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00306494621019401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.00176171097369766	0.0723589001447178	0.00660095053687731	0	0.00909876711705564	0	0	0.338248707813925	0	0.00184983074048725	0.260520427866491	0	0.0910166560480568	0	0	0	0	0	0	2.26394000093166	0	0	0.0753758876502559	0	0.327013742602066	0	0	0	0	0	0	0	0	2.30435196044249	0	0	2.78875713658322	0	0	0.00799552250739586	0	0	0	0	0	0	0	0	0.821068151198556	0.571353688900537
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0.00176171097369766	0.0723589001447178	0.00660095053687731	0	0.00909876711705564	0	0	0.338248707813925	0	0.00184983074048725	0.260520427866491	0	0.0910166560480568	0	0	0	0	0	0	2.26394000093166	0	0	0.0753758876502559	0	0.327013742602066	0	0	0	0	0	0	0	0	2.30435196044249	0	0	2.78875713658322	0	0	0.00799552250739586	0	0	0	0	0	0	0	0	0.821068151198556	0.571353688900537
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.00176171097369766	0.0723589001447178	0.00660095053687731	0	0.00909876711705564	0	0	0.338248707813925	0	0.00184983074048725	0.260520427866491	0	0.0910166560480568	0	0	0	0	0	0	2.26394000093166	0	0	0.0753758876502559	0	0.327013742602066	0	0	0	0	0	0	0	0	2.30435196044249	0	0	2.78875713658322	0	0	0.00799552250739586	0	0	0	0	0	0	0	0	0.821068151198556	0.571353688900537
