;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61
ID0;0.000000;0.911298;0.953141;0.928045;0.819252;0.998431;0.974477;0.938232;0.978936;0.986211;0.977887;0.935752;0.997617;0.998163;0.996710;0.998101;0.996922;0.998287;0.991955;0.992169;0.991107;0.992369;0.994721;0.998639;0.993215;0.993264;0.990266;0.998336;0.993308;0.992981;0.994578;0.995384;0.993331;0.996962;0.994647;0.993266;0.994677;0.996779;0.992698;0.997708;0.997701;0.995009;0.997363;0.997306;0.996843;0.989870;0.998679;0.998512;0.991041;0.998325;0.996566;0.997866;0.987503;0.997488;0.996066;0.996564;0.997688;0.997747;0.998106;0.998024;0.995167;0.995281
ID1;0.911298;0.000000;0.860582;0.886196;0.911353;0.999295;0.970007;0.875626;0.983739;0.989964;0.987852;0.962210;0.997854;0.998638;0.997481;0.998538;0.998115;0.998158;0.994485;0.994033;0.992927;0.993732;0.996159;0.998646;0.995370;0.994803;0.990772;0.998639;0.995544;0.993598;0.996190;0.996257;0.995346;0.997829;0.995126;0.994878;0.996190;0.997810;0.995014;0.997845;0.998304;0.997060;0.998442;0.998173;0.998267;0.992225;0.998454;0.998805;0.993545;0.998352;0.995117;0.997995;0.988616;0.997913;0.995013;0.996187;0.996444;0.998052;0.998209;0.997809;0.996172;0.996174
ID2;0.953141;0.860582;0.000000;0.813025;0.966461;0.998730;0.960604;0.949903;0.989722;0.993193;0.989826;0.980104;0.998486;0.999012;0.997877;0.997244;0.998127;0.997225;0.995475;0.995954;0.995324;0.996468;0.997116;0.997930;0.996403;0.995606;0.994306;0.998793;0.996192;0.993905;0.995941;0.997072;0.996664;0.996987;0.996650;0.995377;0.994721;0.997410;0.996335;0.998080;0.998105;0.997521;0.995467;0.998040;0.996263;0.995373;0.998718;0.998772;0.995314;0.997827;0.997020;0.997384;0.994743;0.997204;0.997329;0.998089;0.998164;0.997373;0.998494;0.998434;0.996398;0.996453
ID3;0.928045;0.886196;0.813025;0.000000;0.970220;0.998190;0.966650;0.965004;0.991374;0.992724;0.988666;0.981721;0.998939;0.999418;0.998707;0.998091;0.998611;0.999059;0.996061;0.996566;0.996446;0.997011;0.997823;0.999284;0.996694;0.995761;0.995257;0.998899;0.996645;0.994865;0.997630;0.997708;0.997486;0.996398;0.996927;0.996359;0.997623;0.997581;0.996998;0.998833;0.998950;0.997982;0.997451;0.998908;0.997636;0.995989;0.999454;0.999064;0.995920;0.999262;0.998504;0.997656;0.995888;0.997092;0.998139;0.998863;0.999128;0.998023;0.998687;0.999231;0.997968;0.998012
ID4;0.819252;0.911353;0.966461;0.970220;0.000000;0.996454;0.925115;0.853387;0.974378;0.982262;0.971221;0.917544;0.997338;0.997446;0.996161;0.997847;0.996535;0.998488;0.990753;0.990355;0.988454;0.990969;0.993308;0.998645;0.991727;0.993012;0.990374;0.997979;0.992191;0.992974;0.993695;0.994666;0.991457;0.996413;0.994049;0.992402;0.994188;0.996839;0.990981;0.997789;0.997161;0.993561;0.996828;0.996727;0.996296;0.987685;0.998520;0.998192;0.989466;0.998241;0.997384;0.998106;0.984064;0.997152;0.996954;0.997699;0.998158;0.997630;0.998274;0.998292;0.994448;0.994535
ID5;0.998431;0.999295;0.998730;0.998190;0.996454;0.000000;0.990464;0.995690;0.998343;0.998356;0.998295;0.999102;0.999582;0.997987;0.998964;0.998975;0.999059;0.999521;0.999596;0.999421;0.999443;0.999713;0.999551;0.999827;0.999377;0.999627;0.999640;0.999064;0.999665;0.999443;0.999498;0.999404;0.999543;0.999005;0.999541;0.999511;0.999599;0.999265;0.999563;0.999484;0.998690;0.999554;0.999334;0.999120;0.999365;0.999494;0.999879;0.998407;0.999483;0.999686;0.999815;0.999492;0.999514;0.999390;0.999727;0.999840;0.999776;0.998896;0.999842;0.999910;0.999636;0.999661
ID6;0.974477;0.970007;0.960604;0.966650;0.925115;0.990464;0.000000;0.823769;0.989709;0.990914;0.986938;0.977306;0.998943;0.999342;0.998747;0.997984;0.998620;0.998989;0.997179;0.996280;0.995212;0.997760;0.997857;0.999232;0.996629;0.997776;0.996237;0.999128;0.997961;0.996403;0.997735;0.997454;0.997835;0.995955;0.997518;0.997056;0.998031;0.997742;0.997639;0.998936;0.998884;0.998239;0.997787;0.998969;0.998137;0.995736;0.999443;0.998711;0.995704;0.999231;0.998824;0.997740;0.995165;0.997297;0.998255;0.999209;0.999059;0.998102;0.999134;0.999316;0.997962;0.998044
ID7;0.938232;0.875626;0.949903;0.965004;0.853387;0.995690;0.823769;0.000000;0.978844;0.986851;0.986106;0.962064;0.997728;0.998664;0.997336;0.998385;0.997886;0.998603;0.994588;0.993803;0.992058;0.994287;0.996142;0.998367;0.995197;0.995142;0.991447;0.998572;0.995343;0.993389;0.996051;0.995503;0.995626;0.997218;0.995110;0.994630;0.995921;0.997683;0.995138;0.997585;0.998194;0.997104;0.998268;0.998198;0.998211;0.991754;0.998431;0.998393;0.992932;0.998266;0.996758;0.997523;0.987958;0.997543;0.996274;0.998164;0.997877;0.997890;0.998192;0.997719;0.995857;0.996309
ID8;0.978936;0.983739;0.989722;0.991374;0.974378;0.998343;0.989709;0.978844;0.000000;0.757073;0.907544;0.984844;0.997331;0.998145;0.996997;0.998253;0.995837;0.998539;0.994962;0.992705;0.993192;0.995006;0.995904;0.997398;0.993744;0.996092;0.993854;0.998603;0.996191;0.994641;0.995277;0.993995;0.995125;0.996617;0.995163;0.994798;0.994152;0.996966;0.995154;0.997052;0.997746;0.996614;0.998010;0.998005;0.998068;0.991681;0.998203;0.998465;0.992361;0.997964;0.994243;0.995155;0.990750;0.997745;0.991072;0.997245;0.997228;0.997705;0.998280;0.993243;0.994738;0.995181
ID9;0.986211;0.989964;0.993193;0.992724;0.982262;0.998356;0.990914;0.986851;0.757073;0.000000;0.908640;0.988171;0.998620;0.998687;0.998185;0.998318;0.998047;0.998830;0.996347;0.993985;0.994453;0.996837;0.996895;0.998480;0.994525;0.997305;0.996212;0.998920;0.997481;0.996223;0.996423;0.995470;0.996392;0.996567;0.996481;0.996082;0.996807;0.997623;0.996412;0.998483;0.998244;0.997379;0.998136;0.998465;0.998307;0.993668;0.999275;0.998704;0.993885;0.998869;0.997811;0.997231;0.993792;0.997873;0.996727;0.998594;0.998758;0.998167;0.998838;0.998395;0.996448;0.996411
ID10;0.977887;0.987852;0.989826;0.988666;0.971221;0.998295;0.986938;0.986106;0.907544;0.908640;0.000000;0.974742;0.998407;0.998352;0.997667;0.997781;0.995608;0.998758;0.995409;0.993624;0.993034;0.996057;0.996322;0.998966;0.993810;0.996639;0.995483;0.998787;0.996770;0.995665;0.995814;0.996136;0.995745;0.995802;0.996318;0.995423;0.996833;0.997110;0.995664;0.998676;0.997959;0.996578;0.997147;0.998063;0.997209;0.993051;0.999293;0.998605;0.993339;0.998971;0.998521;0.997592;0.993075;0.997491;0.997750;0.998690;0.998873;0.997894;0.998922;0.999077;0.996617;0.996667
ID11;0.935752;0.962210;0.980104;0.981721;0.917544;0.999102;0.977306;0.962064;0.984844;0.988171;0.974742;0.000000;0.998045;0.998188;0.997061;0.998102;0.997104;0.998689;0.993050;0.992975;0.991563;0.993577;0.995103;0.998967;0.993743;0.994711;0.993056;0.998542;0.993720;0.995213;0.995062;0.996125;0.994071;0.997054;0.996087;0.994481;0.995396;0.996935;0.993665;0.998352;0.997792;0.994938;0.997184;0.997380;0.996639;0.991770;0.999017;0.998601;0.992692;0.998710;0.998287;0.998283;0.990065;0.997833;0.997611;0.997568;0.998760;0.998043;0.998701;0.998874;0.995840;0.995842
ID12;0.997617;0.997854;0.998486;0.998939;0.997338;0.999582;0.998943;0.997728;0.997331;0.998620;0.998407;0.998045;0.000000;0.996737;0.947176;0.986240;0.994412;0.970696;0.997037;0.997054;0.997341;0.991793;0.998097;0.998014;0.997827;0.997964;0.997160;0.995772;0.996292;0.993313;0.997867;0.998380;0.998319;0.998900;0.998289;0.998132;0.997804;0.998630;0.998027;0.997617;0.997358;0.998581;0.998838;0.998004;0.998568;0.996061;0.997521;0.997412;0.996199;0.997448;0.997470;0.997972;0.995618;0.998646;0.996258;0.998669;0.996299;0.997874;0.999028;0.998384;0.997896;0.998051
