;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61
ID0;0.000000;0.953591;0.976008;0.962680;0.900647;0.999215;0.987074;0.968132;0.989356;0.993058;0.988820;0.966810;0.998807;0.999081;0.998353;0.999050;0.998459;0.999143;0.995961;0.996069;0.995534;0.996170;0.997354;0.999319;0.996596;0.996621;0.995109;0.999167;0.996643;0.996478;0.997281;0.997687;0.996654;0.998479;0.997316;0.996622;0.997332;0.998387;0.996336;0.998853;0.998849;0.997498;0.998680;0.998651;0.998419;0.994909;0.999339;0.999255;0.995500;0.999162;0.998280;0.998932;0.993712;0.998743;0.998029;0.998279;0.998842;0.998872;0.999052;0.999011;0.997578;0.997635
ID1;0.953591;0.000000;0.925067;0.939665;0.953621;0.999648;0.984775;0.933689;0.991803;0.994957;0.993889;0.980741;0.998926;0.999318;0.998739;0.999268;0.999056;0.999078;0.997235;0.997007;0.996451;0.996856;0.998076;0.999323;0.997679;0.997395;0.995365;0.999319;0.997767;0.996789;0.998091;0.998125;0.997668;0.998913;0.997557;0.997433;0.998091;0.998904;0.997501;0.998921;0.999151;0.998528;0.999221;0.999086;0.999133;0.996097;0.999227;0.999402;0.996762;0.999175;0.997553;0.998997;0.994276;0.998955;0.997500;0.998090;0.998219;0.999025;0.999104;0.998903;0.998082;0.998083
ID2;0.976008;0.925067;0.000000;0.896871;0.982945;0.999365;0.979906;0.974308;0.994834;0.996585;0.994887;0.989952;0.999242;0.999506;0.998937;0.998620;0.999062;0.998611;0.997733;0.997973;0.997656;0.998231;0.998556;0.998964;0.998198;0.997798;0.997145;0.999396;0.998092;0.996943;0.997966;0.998534;0.998329;0.998491;0.998322;0.997683;0.997354;0.998704;0.998164;0.999039;0.999052;0.998759;0.997729;0.999019;0.998128;0.997681;0.999359;0.999385;0.997652;0.998912;0.998508;0.998690;0.997365;0.998600;0.998663;0.999044;0.999081;0.998685;0.999246;0.999216;0.998196;0.998223
ID3;0.962680;0.939665;0.896871;0.000000;0.984885;0.999094;0.983042;0.982191;0.995668;0.996349;0.994301;0.990776;0.999469;0.999709;0.999353;0.999045;0.999305;0.999529;0.998026;0.998280;0.998220;0.998503;0.998910;0.999642;0.998344;0.997876;0.997623;0.999449;0.998320;0.997426;0.998814;0.998853;0.998741;0.998196;0.998461;0.998176;0.998810;0.998789;0.998497;0.999416;0.999475;0.998990;0.998724;0.999454;0.998817;0.997990;0.999727;0.999532;0.997956;0.999631;0.999251;0.998827;0.997940;0.998544;0.999069;0.999431;0.999564;0.999011;0.999343;0.999615;0.998983;0.999005
ID4;0.900647;0.953621;0.982945;0.984885;0.000000;0.998224;0.961101;0.920895;0.987023;0.991052;0.985400;0.956999;0.998667;0.998721;0.998077;0.998922;0.998264;0.999243;0.995355;0.995154;0.994194;0.995464;0.996643;0.999322;0.995846;0.996494;0.995164;0.998989;0.996080;0.996475;0.996837;0.997326;0.995710;0.998204;0.997016;0.996186;0.997086;0.998417;0.995470;0.998893;0.998578;0.996770;0.998412;0.998361;0.998145;0.993805;0.999259;0.999095;0.994705;0.999120;0.998690;0.999052;0.991968;0.998574;0.998475;0.998848;0.999078;0.998814;0.999136;0.999145;0.997216;0.997260
ID5;0.999215;0.999648;0.999365;0.999094;0.998224;0.000000;0.995209;0.997840;0.999171;0.999177;0.999147;0.999551;0.999791;0.998992;0.999482;0.999487;0.999529;0.999761;0.999798;0.999710;0.999721;0.999856;0.999775;0.999913;0.999688;0.999813;0.999820;0.999532;0.999833;0.999721;0.999749;0.999702;0.999771;0.999502;0.999771;0.999755;0.999799;0.999632;0.999781;0.999742;0.999344;0.999777;0.999667;0.999560;0.999683;0.999747;0.999940;0.999203;0.999741;0.999843;0.999907;0.999746;0.999757;0.999695;0.999864;0.999920;0.999888;0.999448;0.999921;0.999955;0.999818;0.999830
ID6;0.987074;0.984775;0.979906;0.983042;0.961101;0.995209;0.000000;0.903370;0.994828;0.995436;0.993426;0.988523;0.999471;0.999671;0.999373;0.998991;0.999310;0.999494;0.998587;0.998136;0.997600;0.998879;0.998927;0.999616;0.998312;0.998887;0.998115;0.999564;0.998980;0.998198;0.998866;0.998726;0.998916;0.997973;0.998757;0.998526;0.999015;0.998870;0.998818;0.999468;0.999442;0.999119;0.998892;0.999484;0.999068;0.997863;0.999722;0.999355;0.997847;0.999616;0.999411;0.998869;0.997576;0.998647;0.999127;0.999604;0.999529;0.999050;0.999567;0.999658;0.998980;0.999021
ID7;0.968132;0.933689;0.974308;0.982191;0.920895;0.997840;0.903370;0.000000;0.989309;0.993382;0.993004;0.980665;0.998863;0.999332;0.998666;0.999192;0.998942;0.999301;0.997287;0.996892;0.996013;0.997135;0.998067;0.999183;0.997593;0.997565;0.995705;0.999285;0.997666;0.996684;0.998022;0.997746;0.997808;0.998607;0.997549;0.997308;0.997956;0.998840;0.997563;0.998791;0.999096;0.998550;0.999133;0.999098;0.999105;0.995860;0.999215;0.999196;0.996454;0.999132;0.998376;0.998760;0.993942;0.998770;0.998134;0.999081;0.998937;0.998944;0.999095;0.998858;0.997924;0.998151
ID8;0.989356;0.991803;0.994834;0.995668;0.987023;0.999171;0.994828;0.989309;0.000000;0.861744;0.951531;0.992364;0.998664;0.999072;0.998496;0.999126;0.997914;0.999269;0.997475;0.996339;0.996584;0.997497;0.997948;0.998697;0.996862;0.998042;0.996917;0.999301;0.998092;0.997313;0.997633;0.996988;0.997556;0.998305;0.997576;0.997392;0.997068;0.998481;0.997571;0.998524;0.998872;0.998304;0.999004;0.999001;0.999033;0.995823;0.999100;0.999232;0.996166;0.998981;0.997113;0.997571;0.995354;0.998871;0.995516;0.998621;0.998612;0.998851;0.999139;0.996610;0.997362;0.997585
ID9;0.993058;0.994957;0.996585;0.996349;0.991052;0.999177;0.995436;0.993382;0.861744;0.000000;0.952133;0.994050;0.999309;0.999343;0.999092;0.999158;0.999023;0.999415;0.998170;0.996984;0.997219;0.998416;0.998445;0.999239;0.997255;0.998650;0.998102;0.999460;0.998739;0.998108;0.998208;0.997730;0.998193;0.998281;0.998237;0.998037;0.998401;0.998810;0.998203;0.999241;0.999121;0.998688;0.999067;0.999232;0.999153;0.996824;0.999638;0.999352;0.996933;0.999434;0.998904;0.998613;0.996886;0.998935;0.998361;0.999297;0.999378;0.999083;0.999418;0.999197;0.998221;0.998203
