Taxonomy	reERR5005154	reERR5005155	reERR5005156	reERR5005157	reERR5005158	reERR5005159	reERR5005160	reERR5005161	reERR5005162	reERR5005164	reERR5005165	reERR5005166	reERR5005168	reERR5005169	reERR5005170	reERR5005171	reERR5005283	reERR5005284	reERR5005285	reERR5005287	reERR5005288	reERR5005289	reERR5005290	reERR5005291	reERR5005292	reERR5005293	reERR5005301	reERR5005302	reERR5005303	reERR5005304	reERR5005305	reERR5005306	reERR5005307	reERR5005308	reERR5005309	reERR5005310	reERR5005311	reERR5005312	reERR5005313	reERR5005314	reERR5005315	reERR5005316	reERR5005317	reERR5005318	reERR5005319	reERR5005320	reERR5005321	reERR5005322	reERR5005323	reERR5005325	reERR5005326	reERR5005327	reERR5005328	reERR5005329	reERR5005330	reERR5005335
k__Archaea	0	0	0	0	0	0	0	0	0	0	0.607976440588176	0	0	0	0.628779937117849	0	0	0	0	0	0	0.68718409904464	0	0	6.18278772939582	0	0	1.88489672552674	2.25908450437286	0	0	0	0	1.37998991375218	0	0	0	0	0	0	0	0	2.18267234636302	0	0	3.14758753895541	0	0	0	0	0	0	0	0	0	0.408851043957149
k__Archaea|p__Asgardarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.18278772939582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Asgardarchaeota|c__Wukongarchaeia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.18278772939582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.628779937117849	0	0	0	0	0	0	0.68718409904464	0	0	0	0	0	1.06590612241609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.628779937117849	0	0	0	0	0	0	0.68718409904464	0	0	0	0	0	1.06590612241609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.628779937117849	0	0	0	0	0	0	0.68718409904464	0	0	0	0	0	1.06590612241609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.628779937117849	0	0	0	0	0	0	0.68718409904464	0	0	0	0	0	1.06590612241609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.628779937117849	0	0	0	0	0	0	0.68718409904464	0	0	0	0	0	1.06590612241609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum|s__Methanocorpusculum parvum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.628779937117849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25908450437286	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18267234636302	0	0	3.14758753895541	0	0	0	0	0	0	0	0	0	0.408851043957149
