Taxa	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__archaea	0.0200251064464435	0.0240085508723435	0.0123246338014573	0.0217180366014603	0.0271653993912696	0.0271427818316823	0.0163156853819086	0.0349390322141178	0.0385070691309689	0.0198108950122124	0.00844292815250829	0.0159169177692888	0.0269368312808313	0.0284920186576658	0.0270868205429839	0.0295983171058639
k__archaea|p__candidatus_lokiarchaeota	0.000123054730314073	4.10476438922456e-05	7.21105513695032e-05	0.000212217398287457	0.000129312571199685	0.000386888932900776	0.000236594560012413	0.000198079552709959	5.36310155027422e-05	0.000132228195998277	0	9.9628993488842e-05	4.53015942310534e-05	9.78643303413845e-05	0.000100345534994324	0.000228980953189589
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0.000123054730314073	4.10476438922456e-05	7.21105513695032e-05	0.000212217398287457	0.000129312571199685	0.000386888932900776	0.000236594560012413	0.000198079552709959	5.36310155027422e-05	0.000132228195998277	0	9.9628993488842e-05	4.53015942310534e-05	9.78643303413845e-05	0.000100345534994324	0.000228980953189589
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0.000123054730314073	4.10476438922456e-05	7.21105513695032e-05	0.000212217398287457	0.000129312571199685	0.000386888932900776	0.000236594560012413	0.000198079552709959	5.36310155027422e-05	0.000132228195998277	0	9.9628993488842e-05	4.53015942310534e-05	9.78643303413845e-05	0.000100345534994324	0.000228980953189589
k__archaea|p__candidatus_micrarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01156244380943e-05
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01156244380943e-05
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum|s__candidatus_mancarchaeum_acidiphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01156244380943e-05
k__archaea|p__candidatus_thermoplasmatota	0.000295331352753776	0.00042992005971352	0.000310388895025253	0.000624300917713366	0.000696579982594528	0.000915076432600096	0.000706670593721285	0.000667601455429863	0.00123887645811335	0.000167229777291939	0	0.000315491812714666	0.000148488558868453	0.000445451434657336	0.000767967037980753	0.00132054879028213
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata	0.000295331352753776	0.00042992005971352	0.000310388895025253	0.000592861303152262	0.000696579982594528	0.000915076432600096	0.000706670593721285	0.000667601455429863	0.000906364161996344	0.000167229777291939	0	0.000315491812714666	0.000148488558868453	0.000445451434657336	0.000758256179755496	0.00126997066809166
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales	0.000295331352753776	0.000349985174239147	9.40572409167433e-05	0.000474962748548119	0.000535549233553411	0.00052818749969932	0.00052299850108007	0.000513539581099895	0.000906364161996344	0.000167229777291939	0	0.000315491812714666	6.54356361115215e-05	0.000398206585527013	0.000565657491621229	0.00108513062154103
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae	0.000295331352753776	0.000280852300315365	5.95695859139374e-05	0.000268359567146573	0.00029766289974267	0.000302782643139738	0.000127636538954065	0.000337468867579931	0.000611393576731261	0.000120561002233723	0	0.000218234938118416	6.54356361115215e-05	0.000300342255185628	0.000279996412161581	0.000346690037560141
