Taxonomy	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__Bacteria	46.7367202195045	49.1333225962581	22.3416158412155	64.9791218597482	51.6567622095769	39.3084719390779	43.4276682246046	56.0266470919219	65.3092370233565	36.504469710754	59.6916440703817	27.8340170089352	41.1794251950903	44.8767947693618	23.3484283007912	23.0624917654281
k__Bacteria|p__Actinobacteriota	13.4761083403952	17.6665913583495	5.65088798825946	3.05296997892882	8.32507474575919	2.44312610053126	1.26432996819177	23.1446032781972	7.1547955352242	3.3859860970741	10.9260870310981	4.90335298071868	19.5234694082058	17.089953182015	1.41370553699185	1.32572718195822
k__Bacteria|p__Actinobacteriota|c__Actinomycetia	4.41494759977262	5.16442168818523	0.252318374384559	0.0912001215093474	0.48728678644349	0.0792994472595287	0.00654785706540094	6.29421198104307	0.786077766926112	0.43079995727938	3.17285639862427	2.18725518079512	14.4007096921281	5.22052381907938	0.0746017451875932	0.0110575289810745
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales	4.41494759977262	5.16442168818523	0.252318374384559	0.0912001215093474	0.48728678644349	0.0792994472595287	0.00654785706540094	6.29421198104307	0.786077766926112	0.43079995727938	3.17285639862427	2.18725518079512	14.4007096921281	5.22052381907938	0.0746017451875932	0.0110575289810745
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae	4.41494759977262	5.16442168818523	0.252318374384559	0.0912001215093474	0.48728678644349	0.0792994472595287	0.00654785706540094	6.29421198104307	0.786077766926112	0.43079995727938	3.17285639862427	2.18725518079512	14.4007096921281	5.22052381907938	0.0746017451875932	0.0110575289810745
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium	4.41494759977262	5.16442168818523	0.252318374384559	0.0912001215093474	0.48728678644349	0.0792994472595287	0.00654785706540094	6.29421198104307	0.786077766926112	0.43079995727938	3.17285639862427	2.18725518079512	14.4007096921281	5.22052381907938	0.0746017451875932	0.0110575289810745
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium adolescentis	1.5112646956624	1.31064301313956	0.0020648012711784	0.000620444128223136	0.0040857029188644	0.0010951882991348	0	0.0214429005790601	0.0315320089228865	0.0290014330356111	0.120431455530441	0.549310390921356	0.0276770836936955	2.34957450694182	0.000287343611701533	8.32755220019821e-05
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium longum	0.765010997370037	1.56645816907181	0.00393645310988962	0.00112869921515905	0.00377733323040365	0.000723098727230339	0.000616073526257472	0.0169509425298677	0.014684859958452	0.0159210480785083	2.71639709442412	0.24952767055124	0.0263148275312529	1.08061874121661	0.000541322298025364	6.65098485158163e-05
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudocatenulatum	0.00743050911140474	0.00938549129739193	0.00329038550779354	0.00127964786537377	0.189898782234396	0.0403079451541756	0.000386334476122767	0.773663084709811	0.00264307942939324	0.00190561017952351	0.00135750838711231	0.220753311003451	0.011338493256136	0.0101408837842101	0.000486654475445289	0.000121995752082916
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudolongum	0.00194742522115388	0.00484050981183147	0.00413871581716111	0.00387680982767018	0.0184472264487334	3.09952420015209e-05	0.00104623261170706	0.00205582281137605	0.000318387666920567	0.000532520948654154	0.000836954259017459	0.00113610050779903	10.4799788819379	0.00325571219870543	0.00643517675472156	0.00832675778294394
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pullorum_B	2.12929397240762	2.27309450486463	0.238888018678537	0.0842945204729212	0.271077741611093	0.0371422198369865	0.00449921645131364	5.48009923041295	0.73689943094846	0.383439345037083	0.33383338602358	1.16652770781127	3.85540040570917	1.77693397493804	0.0668512480476994	0.00245899007552988
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia	9.06116074062254	12.5021696701643	5.3985696138749	2.96176985741947	7.8377879593157	2.36382665327173	1.25778211112637	16.8503912971541	6.36871776829809	2.95518613979472	7.75323063247381	2.71609779992357	5.1227597160777	11.8694293629356	1.33910379180425	1.31466965297715
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales	9.06116074062254	12.5021696701643	5.3985696138749	2.96176985741947	7.8377879593157	2.36382665327173	1.25778211112637	16.8503912971541	6.36871776829809	2.95518613979472	7.75323063247381	2.71609779992357	5.1227597160777	11.8694293629356	1.33910379180425	1.31466965297715
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0.202720742254608	0.159773441209181	0.164170707021276	0.184708723180221	0.540315068344366	0.197703629923192	0.0770894968406071	2.24812681555419	0.139064686744297	0.0822912137416537	0.0217244413803975	0.193488834361045	0.774262492574511	0.200594909887755	0.152196629235836	0.0402137831847881
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella	0.128607864664999	0.0229007141151435	0.147031060718848	0.0861224496562391	0.108498104848402	0.0760392215449131	0.0392627114998907	0.242541082604683	0.0110598174181699	0.0128758820365612	0.00415599306075648	0.00397188138744088	0.00349835851341768	0.0183556970350437	0.0273273518985312	0.0170505643554731
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella|s__Parolsenella sp900544655	0.128607864664999	0.0229007141151435	0.147031060718848	0.0861224496562391	0.108498104848402	0.0760392215449131	0.0392627114998907	0.242541082604683	0.0110598174181699	0.0128758820365612	0.00415599306075648	0.00397188138744088	0.00349835851341768	0.0183556970350437	0.0273273518985312	0.0170505643554731
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter	0.0706318954918046	0.13490101114957	0.0137721681150586	0.040162548915417	0.352179842791945	0.10466488305145	0.0121743076957822	1.97672797311579	0.125704893787062	0.0552450831365222	0.0156233778398024	0.170587024709995	0.770741828950708	0.173827688466941	0.0102431082743961	0.0208643432717845
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter|s__Thermophilibacter provencensis	0.0538832890790573	0.109286586766454	0.00505735920666565	0.00331843351723687	0.017062003689941	0.00378358959875458	0.00234926672136507	0.0340790152383172	0.106564867210041	0.0495157042776517	0.0131941791455954	0.16609602672801	0.767188389401078	0.148924647134596	0.00178616405733589	0.00195739676077636
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	6.01787779475409	10.6146083649009	5.07072079287362	2.12574534634741	6.70642963670248	1.84162575194521	0.900259043555113	13.146045232228	5.52835692541114	2.51306080216249	6.83980226875939	1.94889756708108	2.4721209696158	9.30834394854153	0.981738498541918	1.09337878409924
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	5.65740118452772	10.2989276222053	5.06447011334525	2.08841422137942	6.66833386331466	1.824114506309	0.893963457750322	13.083453645784	5.31435803856707	2.26923826664399	6.77821839899887	1.76537431842643	2.46764702699393	8.29473254842154	0.976549349638234	1.08511555989995
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella bouchesdurhonensis	0.00409637705536748	0.0194024074065132	0.0110699079680378	0.0954764412850494	0.0626075040623812	0.0565526045048029	0.0316731932623656	0.156148890325107	0.00699316951272078	0.0295423984713966	0.0027079041953999	0.0178518908674621	0.00031850649732511	0.00647569519250501	0.0278540557048783	0.0329880572276474
