clade_name	NCBI_tax_id	reSRR16235409_taxonomic_profile	reSRR16235408_taxonomic_profile	reSRR16235407_taxonomic_profile	reSRR16235406_taxonomic_profile	reSRR16235405_taxonomic_profile	reSRR16235404_taxonomic_profile	reSRR16235403_taxonomic_profile	reSRR16235402_taxonomic_profile	reSRR16235401_taxonomic_profile	reSRR16235400_taxonomic_profile	reSRR16235399_taxonomic_profile	reSRR16235398_taxonomic_profile	reSRR16235397_taxonomic_profile	reSRR16235396_taxonomic_profile	reSRR16235395_taxonomic_profile	reSRR16235394_taxonomic_profile
UNCLASSIFIED	-1	40.96666	39.51829	36.55239	22.5376	36.70136	39.946509999999996	42.40723	27.00325	35.1099	37.04248	41.0991	35.904920000000004	36.20149	43.860890000000005	33.36792	40.74978
k__Bacteria	2	59.03334179995464	60.48170712282942	63.44760640157988	77.46239859924405	63.298643049444806	60.05349428854642	57.592770711922206	72.99675241779369	64.89009947011374	62.9575202032168	58.90089510337649	64.09508483805638	63.798506550030936	56.139106578932655	66.63207965085704	59.2502176810225
k__Bacteria|p__Actinobacteria	2|201174	7.699435410927443	4.218756324255871	25.853947894547783	49.278711880090896	15.178115762525566	7.6372731093987465	7.629769319096957	33.80881816573848	24.296118598550247	2.4399186954756678	7.395702410791137	17.345540049044494	6.196378909866514	15.750892993744554	24.68385390665999	22.114539397221304
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.012503261793230394	0.26027093026167186	8.882848894279748	20.820482927822297	7.544128504426286	1.5900063415306993	0.8735556276042936	2.4171487624856445	8.164336046120823	0.005955781411224309	0.3222762475581245	1.1034353425380434	0.2963440629248937	1.6081720748814208	7.830048954307617	11.25312721817704
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.0007438201066794285	0	0.007607368007549428	0.0031217346635495358	0	7.806954257511033e-05	0.000886928668963602	0.0008321629775628481	0	0	0	0.002275375511751002	0.0006379850655003095	0	0.0012460198894710265	0.003240986907151931
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.0007438201066794285	0	0.007607368007549428	0.0031217346635495358	0	7.806954257511033e-05	0.000886928668963602	0.0008321629775628481	0	0	0	0.002275375511751002	0.0006379850655003095	0	0.0012460198894710265	0.003240986907151931
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	7.084001015994558e-05	0	0	0.0008598326244516093	0	0	0	0	0	0	0	0.001999766646947359	0.0005997059615702907	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_bowdenii	2|201174|1760|2037|2049|1654|131109	7.084001015994558e-05	0	0	0.0008598326244516093	0	0	0	0	0	0	0	0.001999766646947359	0.0005997059615702907	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_bowdenii|t__SGB86824	2|201174|1760|2037|2049|1654|131109|SGB86824	7.084001015994558e-05	0	0	0.0008598326244516093	0	0	0	0	0	0	0	0.001999766646947359	0.0005997059615702907	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Gleimia	2|201174|1760|2037|2049|2692113	0	0	0	0.0017506502083429155	0	7.806954257511033e-05	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Gleimia|s__Gleimia_hominis	2|201174|1760|2037|2049|2692113|595468	0	0	0	0.0017506502083429155	0	7.806954257511033e-05	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Gleimia|s__Gleimia_hominis|t__SGB17193	2|201174|1760|2037|2049|2692113|595468|SGB17193	0	0	0	0.0017506502083429155	0	7.806954257511033e-05	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia	2|201174|1760|2037|2049|2529408	0.0006729800965194829	0	3.172380320078995e-05	0.0005112518307550108	0	0	0	0.0008321629775628481	0	0	0	0.00027560886480364243	3.827910393001857e-05	0	0.0012460198894710265	0.0009124533522877463
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_sp_Marseille_Q2122	2|201174|1760|2037|2049|2529408|2736604	0.0006729800965194829	0	3.172380320078995e-05	0.0005112518307550108	0	0	0	0.0008321629775628481	0	0	0	0.00027560886480364243	3.827910393001857e-05	0	0.0012460198894710265	0.0009124533522877463
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_sp_Marseille_Q2122|t__SGB86829	2|201174|1760|2037|2049|2529408|2736604|SGB86829	0.0006729800965194829	0	3.172380320078995e-05	0.0005112518307550108	0	0	0	0.0008321629775628481	0	0	0	0.00027560886480364243	3.827910393001857e-05	0	0.0012460198894710265	0.0009124533522877463
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella	2|201174|1760|2037|2049|1069494	0	0	0.007569299443708478	0	0	0	0.000886928668963602	0	0	0	0	0	0	0	0	0.0023285335548641844
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella|s__Trueperella_bernardiae	2|201174|1760|2037|2049|1069494|59561	0	0	0.007569299443708478	0	0	0	0.000886928668963602	0	0	0	0	0	0	0	0	0.0023285335548641844
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella|s__Trueperella_bernardiae|t__SGB17182	2|201174|1760|2037|2049|1069494|59561|SGB17182	0	0	0.007569299443708478	0	0	0	0.000886928668963602	0	0	0	0	0	0	0	0	0.0023285335548641844
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.0115823416611511	0.2601620631888507	8.84568763121034	20.802023638236093	7.544128504426286	1.5899222666386952	0.8506625012463046	2.4150610553664955	8.164336046120823	0.00584875362687884	0.32202297370918	1.090097155383244	0.29325621520787226	1.6072906909081317	7.814796871275536	11.249892156291654
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.0115823416611511	0.2601620631888507	8.84568763121034	20.802023638236093	7.544128504426286	1.5899222666386952	0.8506625012463046	2.4150610553664955	8.164336046120823	0.00584875362687884	0.32202297370918	1.090097155383244	0.29325621520787226	1.6072906909081317	7.814796871275536	11.249892156291654
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	0.0115823416611511	0.2601620631888507	8.84568763121034	20.802023638236093	7.544128504426286	1.5899222666386952	0.8506625012463046	2.4150610553664955	8.164336046120823	0.00584875362687884	0.32202297370918	1.090097155383244	0.29325621520787226	1.6072906909081317	7.814796871275536	11.249892156291654
