clade_name	reSRR16235394_taxonomic_profile	reSRR16235395_taxonomic_profile	reSRR16235396_taxonomic_profile	reSRR16235397_taxonomic_profile	reSRR16235398_taxonomic_profile	reSRR16235399_taxonomic_profile	reSRR16235400_taxonomic_profile	reSRR16235401_taxonomic_profile	reSRR16235402_taxonomic_profile	reSRR16235403_taxonomic_profile	reSRR16235404_taxonomic_profile	reSRR16235405_taxonomic_profile	reSRR16235406_taxonomic_profile	reSRR16235407_taxonomic_profile	reSRR16235408_taxonomic_profile	reSRR16235409_taxonomic_profile
k__Archaea	0.00196351783855956	0	0	0	0	0	0	0	0	0	0	0	0	0.000768994155644417	0	0
k__Archaea|p__Euryarchaeota	0.00196351783855956	0	0	0	0	0	0	0	0	0	0	0	0	0.000768994155644417	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.00196351783855956	0	0	0	0	0	0	0	0	0	0	0	0	0.000768994155644417	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.00196351783855956	0	0	0	0	0	0	0	0	0	0	0	0	0.000768994155644417	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.00196351783855956	0	0	0	0	0	0	0	0	0	0	0	0	0.000768994155644417	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.00196351783855956	0	0	0	0	0	0	0	0	0	0	0	0	0.000768994155644417	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Unclassified_Methanobrevibacter	0.00196351783855956	0	0	0	0	0	0	0	0	0	0	0	0	0.000768994155644417	0	0
k__Bacteria	99.8625537513008	99.9009277701524	99.9869142431695	99.9632577143554	99.9403481151054	99.9401770056832	99.9393945894922	99.9756315490212	99.9604285442101	99.8768651864995	99.9156533352077	99.8184583255705	99.9071175203581	99.8685019993848	99.9429825956919	99.9859601337999
k__Bacteria|p__Actinobacteria	14.8324137524789	20.3123871247381	15.8820476953275	4.87986339797536	12.9197935799878	8.36172970563568	2.69828159526312	30.9054441618815	23.3456933065615	4.83820391431041	6.46155699926699	8.76382684650413	29.8601157828151	14.7608428175946	3.56040599446371	4.74512377897039
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	0	0	0	0.000152457616782534	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	0	0	0	0.000152457616782534	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae	0	0	0	0.000152457616782534	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae|g__Ferrithrix	0	0	0	0.000152457616782534	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae|g__Ferrithrix|s__Unclassified_Ferrithrix	0	0	0	0.000152457616782534	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	7.05688311178307	5.77250539221251	0.712496897773165	0.126692279546286	0.799265284702178	0.354832466290916	0.0407611610494926	4.65000031241604	1.12998490422242	0.43823756606068	0.716946650734519	4.61653112421523	12.2308610045721	5.50984312519225	0.146488911514843	0.0606054224303242
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00785407135423825	0.00619201436547333	0.014439455813009	0.00869008415660446	0.0122452549637016	0.000586499944282505	0.00107266213288138	0.00249932830551789	0.00439682842109891	0.00382406253107051	0.00451857132815873	0.0030329158019246	0.00880782134535468	0.0046139649338665	0.000890896942314423	0.00374396432002003
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.00785407135423825	0.00619201436547333	0.014439455813009	0.00869008415660446	0.0122452549637016	0.000586499944282505	0.00107266213288138	0.00249932830551789	0.00439682842109891	0.00382406253107051	0.00451857132815873	0.0030329158019246	0.00880782134535468	0.0046139649338665	0.000890896942314423	0.00374396432002003
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.00785407135423825	0.00619201436547333	0.0139882228188525	0.0083851689230394	0.0118953905361672	0.000586499944282505	0.00107266213288138	0.00187449622913842	0.00146560947369964	0.0022944375186423	0.00451857132815873	0.00259964211593537	0.00880782134535468	0.00307597662257767	0.000890896942314423	0.00292497212501565
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_bowdenii	0	0	0	0	0.000174932213767165	0	0	0	0	0	0	0	0.00080071103139588	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_hongkongensis	0.00196351783855956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_hordeovulneris	0	0	0.000902465988313066	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	0	0	0	0.000152457616782534	0.00034986442753433	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp._2298/06	0	0	0	0.000152457616782534	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp._7894GR	0	0	0	0	0	0	0	0	0	0	0	0	0.00480426618837528	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp._canine_oral_taxon_374	0	0.000516001197122777	0.000451232994156533	0	0	0	0	0	0	0	0	0.000433273685989229	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_suimastitidis	0	0	0	0	0.00034986442753433	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Unclassified_Actinomyces	0.00589055351567869	0.00567601316835055	0.0112808248539133	0.00808025368947433	0.0106708650397971	0.000586499944282505	0.00107266213288138	0.00187449622913842	0.00146560947369964	0.0022944375186423	0.00451857132815873	0.00216636842994614	0.00320284412558352	0.00307597662257767	0.000890896942314423	0.00292497212501565
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium	0	0	0	0	0.000174932213767165	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium|s__Arcanobacterium_pluranimalium	0	0	0	0	0.000174932213767165	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella	0	0	0	0	0	0	0	0	0	0.0015296250124282	0	0	0	0.00153798831128883	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella|s__Unclassified_Trueperella	0	0	0	0	0	0	0	0	0	0.0015296250124282	0	0	0	0.00153798831128883	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Unclassified_Actinomycetaceae	0	0	0.000451232994156533	0.000304915233565069	0.000174932213767165	0	0	0.000624832076379473	0.00293121894739928	0	0	0.000433273685989229	0	0	0	0.000818992195004382
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Unclassified_Actinomycetaceae|s__	0	0	0.000451232994156533	0.000304915233565069	0.000174932213767165	0	0	0.000624832076379473	0.00293121894739928	0	0	0.000433273685989229	0	0	0	0.000818992195004382
