;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15
ID0;0.000000;0.681717;0.760733;0.866395;0.857582;0.747916;0.774932;0.759730;0.734369;0.578384;0.715706;0.644483;0.918745;0.517064;0.904970;0.902681
ID1;0.681717;0.000000;0.798419;0.728212;0.680076;0.777300;0.692290;0.711635;0.642452;0.538050;0.622888;0.518059;0.769385;0.399965;0.760533;0.786731
ID2;0.760733;0.798419;0.000000;0.729635;0.555624;0.652248;0.717100;0.665712;0.843629;0.723137;0.745434;0.749916;0.942937;0.725326;0.767858;0.783252
ID3;0.866395;0.728212;0.729635;0.000000;0.508704;0.629312;0.566770;0.711612;0.840026;0.722822;0.660543;0.644748;0.910331;0.775545;0.464009;0.573073
ID4;0.857582;0.680076;0.555624;0.508704;0.000000;0.668273;0.663765;0.646559;0.812069;0.735224;0.729835;0.700074;0.875206;0.752079;0.592653;0.627557
ID5;0.747916;0.777300;0.652248;0.629312;0.668273;0.000000;0.512283;0.600906;0.769049;0.718192;0.802362;0.737550;0.919432;0.712783;0.731597;0.723370
ID6;0.774932;0.692290;0.717100;0.566770;0.663765;0.512283;0.000000;0.696616;0.849887;0.571430;0.646707;0.609991;0.930019;0.715190;0.696642;0.736919
ID7;0.759730;0.711635;0.665712;0.711612;0.646559;0.600906;0.696616;0.000000;0.705818;0.782960;0.817588;0.753300;0.851159;0.722767;0.819321;0.777783
ID8;0.734369;0.642452;0.843629;0.840026;0.812069;0.769049;0.849887;0.705818;0.000000;0.760884;0.885571;0.802308;0.743386;0.607680;0.883157;0.850368
ID9;0.578384;0.538050;0.723137;0.722822;0.735224;0.718192;0.571430;0.782960;0.760884;0.000000;0.526015;0.438533;0.905328;0.459858;0.789960;0.834880
ID10;0.715706;0.622888;0.745434;0.660543;0.729835;0.802362;0.646707;0.817588;0.885571;0.526015;0.000000;0.461313;0.929559;0.685525;0.723763;0.847601
ID11;0.644483;0.518059;0.749916;0.644748;0.700074;0.737550;0.609991;0.753300;0.802308;0.438533;0.461313;0.000000;0.871236;0.520083;0.722148;0.815827
ID12;0.918745;0.769385;0.942937;0.910331;0.875206;0.919432;0.930019;0.851159;0.743386;0.905328;0.929559;0.871236;0.000000;0.820110;0.922865;0.895614
ID13;0.517064;0.399965;0.725326;0.775545;0.752079;0.712783;0.715190;0.722767;0.607680;0.459858;0.685525;0.520083;0.820110;0.000000;0.814307;0.823067
ID14;0.904970;0.760533;0.767858;0.464009;0.592653;0.731597;0.696642;0.819321;0.883157;0.789960;0.723763;0.722148;0.922865;0.814307;0.000000;0.520197
ID15;0.902681;0.786731;0.783252;0.573073;0.627557;0.723370;0.736919;0.777783;0.850368;0.834880;0.847601;0.815827;0.895614;0.823067;0.520197;0.000000
