;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15
ID0;0.000000;0.810739;0.864109;0.928415;0.923331;0.855780;0.873196;0.863462;0.846843;0.732881;0.834299;0.783812;0.957652;0.681664;0.950115;0.948852
ID1;0.810739;0.000000;0.887912;0.842735;0.809577;0.874697;0.818170;0.831527;0.782309;0.699652;0.767629;0.682528;0.869664;0.571393;0.863980;0.880637
ID2;0.864109;0.887912;0.000000;0.843687;0.714342;0.789528;0.835246;0.799312;0.915183;0.839326;0.854153;0.857088;0.970631;0.840798;0.868687;0.878454
ID3;0.928415;0.842735;0.843687;0.000000;0.674359;0.772488;0.723489;0.831511;0.913059;0.839114;0.795575;0.784009;0.953061;0.873585;0.633888;0.728603
ID4;0.923331;0.809577;0.714342;0.674359;0.000000;0.801156;0.797907;0.785346;0.896289;0.847411;0.843821;0.823581;0.933451;0.858499;0.744233;0.771164
ID5;0.855780;0.874697;0.789528;0.772488;0.801156;0.000000;0.677496;0.750707;0.869449;0.835985;0.890345;0.848954;0.958025;0.832309;0.844997;0.839483
ID6;0.873196;0.818170;0.835246;0.723489;0.797907;0.677496;0.000000;0.821183;0.918853;0.727274;0.785455;0.757757;0.963741;0.833948;0.821201;0.848536
ID7;0.863462;0.831527;0.799312;0.831511;0.785346;0.750707;0.821183;0.000000;0.827542;0.878270;0.899641;0.859294;0.919596;0.839077;0.900689;0.875004
ID8;0.846843;0.782309;0.915183;0.913059;0.896289;0.869449;0.918853;0.827542;0.000000;0.864207;0.939313;0.890311;0.852807;0.755972;0.937953;0.919134
ID9;0.732881;0.699652;0.839326;0.839114;0.847411;0.835985;0.727274;0.878270;0.864207;0.000000;0.689397;0.609694;0.950312;0.630004;0.882657;0.910011
ID10;0.834299;0.767629;0.854153;0.795575;0.843821;0.890345;0.785455;0.899641;0.939313;0.689397;0.000000;0.631368;0.963494;0.813426;0.839748;0.917515
ID11;0.783812;0.682528;0.857088;0.784009;0.823581;0.848954;0.757757;0.859294;0.890311;0.609694;0.631368;0.000000;0.931188;0.684282;0.838659;0.898574
ID12;0.957652;0.869664;0.970631;0.953061;0.933451;0.958025;0.963741;0.919596;0.852807;0.950312;0.963494;0.931188;0.000000;0.901165;0.959885;0.944933
ID13;0.681664;0.571393;0.840798;0.873585;0.858499;0.832309;0.833948;0.839077;0.755972;0.630004;0.813426;0.684282;0.901165;0.000000;0.897651;0.902947
ID14;0.950115;0.863980;0.868687;0.633888;0.744233;0.844997;0.821201;0.900689;0.937953;0.882657;0.839748;0.838659;0.959885;0.897651;0.000000;0.684381
ID15;0.948852;0.880637;0.878454;0.728603;0.771164;0.839483;0.848536;0.875004;0.919134;0.910011;0.917515;0.898574;0.944933;0.902947;0.684381;0.000000
