#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reSRR3584987_taxonomic_profile	reSRR3584986_taxonomic_profile	reSRR3584985_taxonomic_profile	reSRR3584984_taxonomic_profile	reSRR3584983_taxonomic_profile	reSRR3584982_taxonomic_profile	reSRR3584981_taxonomic_profile	reSRR3584980_taxonomic_profile	reSRR3584979_taxonomic_profile	reSRR3584978_taxonomic_profile	reSRR3584977_taxonomic_profile	reSRR3584976_taxonomic_profile
UNKNOWN	-1	99.82715	99.75862	99.90023000000001	99.88118	99.68477	99.72138000000001	99.84311	99.74746	99.75107	99.78912	99.89093000000001	99.89301
k__Bacteria	2	0	0	0	0	0	0.0321419760406577	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria	2|1224	0	0	0	0	0	0.0321419760406577	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0	0	0	0	0	0.0321419760406577	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	0	0	0	0	0	0.0321419760406577	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae	2|1224|28216|32003|2008790	0	0	0	0	0	0.0321419760406577	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Thiobacillus	2|1224|28216|32003|2008790|919	0	0	0	0	0	0.0321419760406577	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Thiobacillus|s__Thiobacillus_denitrificans	2|1224|28216|32003|2008790|919|36861	0	0	0	0	0	0.0321419760406577	0	0	0	0	0	0
k__Viruses	10239	0.17285470170454806	0.2413817153395453	0.0997670244902964	0.11882309838289998	0.315225440905752	0.24648101440974676	0.15689422818116874	0.2525405810654505	0.2489349790540181	0.2108753518040928	0.10906853150620813	0.10699241128898557
k__Viruses|p__Viruses_unclassified	10239|	0.17285470170454806	0.2413817153395453	0.0997670244902964	0.11882309838289998	0.315225440905752	0.24648101440974676	0.15689422818116874	0.2525405810654505	0.2489349790540181	0.2108753518040928	0.10906853150620813	0.10699241128898557
