clade_name	reSRR3584976_taxonomic_profile	reSRR3584977_taxonomic_profile	reSRR3584978_taxonomic_profile	reSRR3584979_taxonomic_profile	reSRR3584980_taxonomic_profile	reSRR3584981_taxonomic_profile	reSRR3584982_taxonomic_profile	reSRR3584983_taxonomic_profile	reSRR3584984_taxonomic_profile	reSRR3584985_taxonomic_profile	reSRR3584986_taxonomic_profile	reSRR3584987_taxonomic_profile
k__Archaea	4.7713717693837	4.55607476635514	2.10144927536232	1.34357005758157	1.69043845747491	1.83356840620592	1.90871369294606	1.75210902011681	6.3855421686747	2.44897959183673	1.71597633136095	1.23456790123457
k__Archaea|p__Crenarchaeota	0	0	0	0.191938579654511	0	0.0705218617771509	0	0.129785853341986	0.240963855421687	0.136054421768707	0	0.0649772579597141
k__Archaea|p__Crenarchaeota|c__Thermoprotei	0	0	0	0.191938579654511	0	0.0705218617771509	0	0.129785853341986	0.240963855421687	0.136054421768707	0	0.0649772579597141
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales	0	0	0	0	0	0.0705218617771509	0	0	0.240963855421687	0	0	0.0649772579597141
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae	0	0	0	0	0	0.0705218617771509	0	0	0.120481927710843	0	0	0.0649772579597141
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Unclassified_Desulfurococcaceae	0	0	0	0	0	0.0705218617771509	0	0	0.120481927710843	0	0	0.0649772579597141
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Unclassified_Desulfurococcaceae|s__	0	0	0	0	0	0.0705218617771509	0	0	0.120481927710843	0	0	0.0649772579597141
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Unclassified_Desulfurococcaceae|s__|t__	0	0	0	0	0	0.0705218617771509	0	0	0	0	0	0.0649772579597141
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Unclassified_Desulfurococcales	0	0	0	0	0	0	0	0	0.120481927710843	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Unclassified_Desulfurococcales|g__	0	0	0	0	0	0	0	0	0.120481927710843	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Unclassified_Desulfurococcales|g__|s__	0	0	0	0	0	0	0	0	0.120481927710843	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales	0	0	0	0.191938579654511	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae	0	0	0	0.191938579654511	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus	0	0	0	0.191938579654511	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Unclassified_Sulfolobus	0	0	0	0.191938579654511	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Unclassified_Sulfolobus|t__	0	0	0	0.191938579654511	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei	0	0	0	0	0	0	0	0.129785853341986	0	0.136054421768707	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__	0	0	0	0	0	0	0	0.129785853341986	0	0.136054421768707	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__|g__	0	0	0	0	0	0	0	0.129785853341986	0	0.136054421768707	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__|g__|s__	0	0	0	0	0	0	0	0.129785853341986	0	0.136054421768707	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__|g__|s__|t__	0	0	0	0	0	0	0	0.129785853341986	0	0	0	0
k__Archaea|p__Euryarchaeota	1.49105367793241	2.57009345794392	1.66666666666667	0.703774792066539	1.00369783412573	1.26939351198872	1.41078838174274	0.9085009733939	2.28915662650602	1.63265306122449	1.00591715976331	0.714749837556855
k__Archaea|p__Euryarchaeota|c__Archaeoglobi	0	0	0	0	0	0	0.0829875518672199	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales	0	0	0	0	0	0	0.0829875518672199	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae	0	0	0	0	0	0	0.0829875518672199	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus	0	0	0	0	0	0	0.0829875518672199	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Unclassified_Archaeoglobus	0	0	0	0	0	0	0.0829875518672199	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Unclassified_Archaeoglobus|t__	0	0	0	0	0	0	0.0829875518672199	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria	0.198807157057654	0	0.217391304347826	0.127959053103007	0.0528262017960909	0	0	0.0648929266709929	0.36144578313253	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	0.198807157057654	0	0.217391304347826	0.127959053103007	0.0528262017960909	0	0	0.0648929266709929	0.36144578313253	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae	0.198807157057654	0	0.072463768115942	0.127959053103007	0.0528262017960909	0	0	0.0648929266709929	0.240963855421687	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halogranum	0	0	0	0.0639795265515035	0	0	0	0.0648929266709929	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halogranum|s__Unclassified_Halogranum	0	0	0	0.0639795265515035	0	0	0	0.0648929266709929	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halogranum|s__Unclassified_Halogranum|t__	0	0	0	0.0639795265515035	0	0	0	0.0648929266709929	0	0	0	0
