;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11
ID0;0.000000;0.789847;0.898259;0.891876;0.831268;0.850430;0.903121;0.889654;0.670389;0.792330;0.843250;0.845094
ID1;0.789847;0.000000;0.878865;0.897412;0.836181;0.882157;0.885556;0.894476;0.805837;0.704450;0.847283;0.884561
ID2;0.898259;0.878865;0.000000;0.804519;0.889526;0.837982;0.702749;0.804322;0.891065;0.868634;0.885448;0.840947
ID3;0.891876;0.897412;0.804519;0.000000;0.842179;0.827917;0.813405;0.631555;0.881982;0.891512;0.833200;0.826422
ID4;0.831268;0.836181;0.889526;0.842179;0.000000;0.864624;0.895247;0.842103;0.827317;0.829954;0.753717;0.862903
ID5;0.850430;0.882157;0.837982;0.827917;0.864624;0.000000;0.844140;0.822741;0.841928;0.877772;0.865272;0.664170
ID6;0.903121;0.885556;0.702749;0.813405;0.895247;0.844140;0.000000;0.812283;0.895977;0.877681;0.891358;0.848104
ID7;0.889654;0.894476;0.804322;0.631555;0.842103;0.822741;0.812283;0.000000;0.882536;0.888245;0.839152;0.825332
ID8;0.670389;0.805837;0.891065;0.881982;0.827317;0.841928;0.895977;0.882536;0.000000;0.796777;0.831602;0.831754
ID9;0.792330;0.704450;0.868634;0.891512;0.829954;0.877772;0.877681;0.888245;0.796777;0.000000;0.839226;0.880381
ID10;0.843250;0.847283;0.885448;0.833200;0.753717;0.865272;0.891358;0.839152;0.831602;0.839226;0.000000;0.863281
ID11;0.845094;0.884561;0.840947;0.826422;0.862903;0.664170;0.848104;0.825332;0.831754;0.880381;0.863281;0.000000
