;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11
ID0;0.000000;0.882586;0.946403;0.942848;0.907860;0.919170;0.949095;0.941605;0.802674;0.884134;0.914960;0.916044
ID1;0.882586;0.000000;0.935527;0.945933;0.910783;0.937389;0.939305;0.944299;0.892480;0.826601;0.917329;0.938745
ID2;0.946403;0.935527;0.000000;0.891672;0.941534;0.911850;0.825429;0.891550;0.942395;0.929699;0.939244;0.913603
ID3;0.942848;0.945933;0.891672;0.000000;0.914329;0.905858;0.897102;0.774176;0.937290;0.942645;0.909012;0.904963
ID4;0.907860;0.910783;0.941534;0.914329;0.000000;0.927398;0.944729;0.914284;0.905499;0.907076;0.859565;0.926407
ID5;0.919170;0.937389;0.911850;0.905858;0.927398;0.000000;0.915484;0.902752;0.914181;0.934908;0.927770;0.798200
ID6;0.949095;0.939305;0.825429;0.897102;0.944729;0.915484;0.000000;0.896420;0.945135;0.934857;0.942559;0.917810
ID7;0.941605;0.944299;0.891550;0.774176;0.914284;0.902752;0.896420;0.000000;0.937604;0.940816;0.912542;0.904309
ID8;0.802674;0.892480;0.942395;0.937290;0.905499;0.914181;0.945135;0.937604;0.000000;0.886896;0.908060;0.908150
ID9;0.884134;0.826601;0.929699;0.942645;0.907076;0.934908;0.934857;0.940816;0.886896;0.000000;0.912586;0.936386
ID10;0.914960;0.917329;0.939244;0.909012;0.859565;0.927770;0.942559;0.912542;0.908060;0.912586;0.000000;0.926624
ID11;0.916044;0.938745;0.913603;0.904963;0.926407;0.798200;0.917810;0.904309;0.908150;0.936386;0.926624;0.000000
