X.mOTUs2_clade	reSRR3584976	reSRR3584977	reSRR3584978	reSRR3584979	reSRR3584980	reSRR3584981	reSRR3584982	reSRR3584983	reSRR3584984	reSRR3584985	reSRR3584986	reSRR3584987
k__Bacteria	0.8717948448	0.8479423612	0.8112046148	0.7365466633	0.7218790529	0.6747122423	0.7390066716	0.6146798337	0.812130242	0.8319051285	0.7601213867	0.7587100801
k__Bacteria|p__Actinobacteria	0	0	0.1030818745	0.2875578274	0	0	0.2456850441	0.1938603616	0.0399207391	0	0.0477583732	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	0	0	0.1030818745	0.2875578274	0	0	0.1270485667	0.1938603616	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiia order incertae sedis	0	0	0.1030818745	0.2875578274	0	0	0.1270485667	0.1938603616	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiia order incertae sedis|f__Acidimicrobiia fam. incertae sedis	0	0	0.1030818745	0.2875578274	0	0	0.1270485667	0.1938603616	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiia order incertae sedis|f__Acidimicrobiia fam. incertae sedis|g__Acidimicrobiia gen. incertae sedis	0	0	0.1030818745	0.2875578274	0	0	0.1270485667	0.1938603616	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiia order incertae sedis|f__Acidimicrobiia fam. incertae sedis|g__Acidimicrobiia gen. incertae sedis|s__Acidimicrobiia bacterium BACL6 MAG-120910-bin40	0	0	0.1030818745	0.2875578274	0	0	0.1270485667	0.1938603616	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0	0	0	0	0	0	0.1186364773	0	0.0399207391	0	0.0477583732	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis	0	0	0	0	0	0	0	0	0	0	0.0477583732	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	0.0477583732	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0.0477583732	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria bacterium IMCC26207	0	0	0	0	0	0	0	0	0	0	0.0477583732	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0	0	0	0	0	0	0.1186364773	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae	0	0	0	0	0	0	0.1186364773	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacteriaceae gen. incertae sedis	0	0	0	0	0	0	0.1186364773	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacteriaceae gen. incertae sedis|s__Microbacteriaceae bacterium BACL25 MAG-120322-bin65	0	0	0	0	0	0	0.1186364773	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	0	0	0	0	0	0	0	0	0.0399207391	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0.0399207391	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	0	0	0	0	0	0	0	0	0.0399207391	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium acnes	0	0	0	0	0	0	0	0	0.0399207391	0	0	0
k__Bacteria|p__Bacteria phylum incertae sedis	0.4287478368	0.5120949885	0.0935419644	0.0963603644	0.3080107649	0.4160111964	0	0.1066195651	0.45404269	0.6504087723	0.3129530271	0.3846045869
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis	0.4287478368	0.5120949885	0.0935419644	0.0963603644	0.3080107649	0.4160111964	0	0.1066195651	0.45404269	0.6504087723	0.3129530271	0.3846045869
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis	0.4287478368	0.5120949885	0.0935419644	0.0963603644	0.3080107649	0.4160111964	0	0.1066195651	0.45404269	0.6504087723	0.3129530271	0.3846045869
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis	0.4287478368	0.5120949885	0.0935419644	0.0963603644	0.3080107649	0.4160111964	0	0.1066195651	0.45404269	0.6504087723	0.3129530271	0.3846045869
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis	0.4287478368	0.5120949885	0.0935419644	0.0963603644	0.3080107649	0.4160111964	0	0.1066195651	0.45404269	0.6504087723	0.3129530271	0.3846045869
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_14582]	0.1611892521	0.1530684982	0	0	0	0.0545446308	0	0	0.1740911843	0.1324323678	0.0927106046	0.0936423573
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_22560]	0	0.0838166846	0.0935419644	0	0	0.10823318	0	0	0.0838252956	0.0611804757	0	0.0936423573
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_24579]	0.2675585847	0.2752098057	0	0	0.3080107649	0.2532333856	0	0	0.1961262101	0.4567959287	0.0963015083	0.1973198723
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_27853]	0	0	0	0.0963603644	0	0	0	0.1066195651	0	0	0.1239409141	0
