Taxa	reERR4183438	reERR4183439	reERR4183440	reERR4183441	reERR4183442	reERR4183443	reERR4183444	reERR4183445	reERR4183446	reERR4183447	reERR4183448	reERR4183449	reERR4183450	reERR4183451	reERR4183452	reERR4183453	reERR4183454	reERR4183455	reERR4183456	reERR4183457	reERR4183458	reERR4183459	reERR4183460	reERR4183461	reERR4183462	reERR4183463	reERR4183464	reERR4183465	reERR4183466	reERR4183467	reERR4183468	reERR4183469	reERR4183470	reERR4183471	reERR4183472	reERR4183473	reERR4183474	reERR4183475	reERR4183476	reERR4183477	reERR4183478	reERR4183479	reERR4183480	reERR4183481	reERR4183482	reERR4183483	reERR4183484	reERR4183485	reERR4183486	reERR4183487	reERR4183488	reERR4183489	reERR4183490	reERR4183491	reERR4183492	reERR4183493	reERR4183494	reERR4183495	reERR4183496	reERR4183497	reERR4183498	reERR4183499
k__archaea	0.0606324518929506	0.148178772581493	0.126022528836492	0.0929362345094486	0.0802498436782267	0.180779598854248	0.140107875197375	0.126719653297206	0.0816147566380721	0.155319473003501	0.150411410037713	0.116048155382161	0.161080370870488	0.114743581459991	0.13067702953268	0.125064478669656	0.135815508805893	0.131328481652773	0.129469175742295	0.108866122569142	0.10501356042417	0.151712465270684	0.0855591085021416	0.124245652173158	0.111778610365245	0.0670543960654606	0.0575647404252773	0.197584899641077	0.134986902677288	0.0630411665570376	0.143696499207294	0.147664829929449	0.13789962353872	0.12099802729573	0.120081707710379	0.126529309692525	0.148724749289922	0.125419166113173	0.128381240844191	0.105628861298626	0.121892231468985	0.123309185406574	0.119264993929036	0.123451227794116	0.116121563698613	0.1180352516672	0.148029367430805	0.151324230303064	0.12855413276577	0.133108399628425	0.124530978570615	0.131980730154212	0.103765010618002	0.118421496665759	0.123502189339638	0.120697860967301	0.125964367324598	0.115502748434562	0.119183488807128	0.136208890951535	0.125034037446511	0.136169596002191
k__archaea|p__candidatus_korarchaeota	3.47516315525207e-05	3.18949824390657e-05	4.18174303831497e-05	0.000118605951060372	5.71055264444272e-05	2.12196212667983e-05	7.32256545201904e-05	0.000149344381944136	8.12584695025609e-05	2.87143434480625e-05	3.25272467192748e-05	0.000133428692950894	0.000353761061512954	6.60516557481868e-05	0.000100425984200893	8.10309240341164e-05	0.000285282952169627	0.000356715980015373	4.67252065540853e-05	3.76707532841598e-05	5.92627316163488e-05	0.000212257320332524	6.49173563693163e-05	9.77303282314338e-05	4.45324660444718e-05	3.75823316138665e-05	2.5187359076726e-05	0.000114566237902521	0.000149620212892787	1.29504964313797e-05	0.000245238490344552	0.000317613417210379	3.23594094893159e-05	3.62554484574644e-05	2.77389022199998e-05	0.000280205722790275	2.96824188955113e-05	0.000249346785093696	0.000270013934796066	3.92437658078794e-05	8.81361037375161e-05	8.78757358982633e-05	0.000185109840988093	0.000200342790967407	3.76615266879658e-05	2.18280631839483e-05	7.84683981182772e-05	9.75577276512624e-05	8.89832717974461e-05	8.94268317917065e-05	0.000103084395747935	0.000126766405347582	0.000173970542409847	4.74468860282502e-05	5.24992882766942e-05	5.54981296733885e-05	3.47844321776868e-05	2.59457619414072e-05	3.59636357293686e-05	8.32892352343682e-05	7.47351101942823e-05	0.000102840516327661
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum	3.47516315525207e-05	3.18949824390657e-05	4.18174303831497e-05	0.000118605951060372	5.71055264444272e-05	2.12196212667983e-05	7.32256545201904e-05	0.000149344381944136	8.12584695025609e-05	2.87143434480625e-05	3.25272467192748e-05	0.000133428692950894	0.000353761061512954	6.60516557481868e-05	0.000100425984200893	8.10309240341164e-05	0.000285282952169627	0.000356715980015373	4.67252065540853e-05	3.76707532841598e-05	5.92627316163488e-05	0.000212257320332524	6.49173563693163e-05	9.77303282314338e-05	4.45324660444718e-05	3.75823316138665e-05	2.5187359076726e-05	0.000114566237902521	0.000149620212892787	1.29504964313797e-05	0.000245238490344552	0.000317613417210379	3.23594094893159e-05	3.62554484574644e-05	2.77389022199998e-05	0.000280205722790275	2.96824188955113e-05	0.000249346785093696	0.000270013934796066	3.92437658078794e-05	8.81361037375161e-05	8.78757358982633e-05	0.000185109840988093	0.000200342790967407	3.76615266879658e-05	2.18280631839483e-05	7.84683981182772e-05	9.75577276512624e-05	8.89832717974461e-05	8.94268317917065e-05	0.000103084395747935	0.000126766405347582	0.000173970542409847	4.74468860282502e-05	5.24992882766942e-05	5.54981296733885e-05	3.47844321776868e-05	2.59457619414072e-05	3.59636357293686e-05	8.32892352343682e-05	7.47351101942823e-05	0.000102840516327661
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum|s__candidatus_korarchaeum_cryptofilum	3.47516315525207e-05	3.18949824390657e-05	4.18174303831497e-05	0.000118605951060372	5.71055264444272e-05	2.12196212667983e-05	7.32256545201904e-05	0.000149344381944136	8.12584695025609e-05	2.87143434480625e-05	3.25272467192748e-05	0.000133428692950894	0.000353761061512954	6.60516557481868e-05	0.000100425984200893	8.10309240341164e-05	0.000285282952169627	0.000356715980015373	4.67252065540853e-05	3.76707532841598e-05	5.92627316163488e-05	0.000212257320332524	6.49173563693163e-05	9.77303282314338e-05	4.45324660444718e-05	3.75823316138665e-05	2.5187359076726e-05	0.000114566237902521	0.000149620212892787	1.29504964313797e-05	0.000245238490344552	0.000317613417210379	3.23594094893159e-05	3.62554484574644e-05	2.77389022199998e-05	0.000280205722790275	2.96824188955113e-05	0.000249346785093696	0.000270013934796066	3.92437658078794e-05	8.81361037375161e-05	8.78757358982633e-05	0.000185109840988093	0.000200342790967407	3.76615266879658e-05	2.18280631839483e-05	7.84683981182772e-05	9.75577276512624e-05	8.89832717974461e-05	8.94268317917065e-05	0.000103084395747935	0.000126766405347582	0.000173970542409847	4.74468860282502e-05	5.24992882766942e-05	5.54981296733885e-05	3.47844321776868e-05	2.59457619414072e-05	3.59636357293686e-05	8.32892352343682e-05	7.47351101942823e-05	0.000102840516327661
k__archaea|p__candidatus_lokiarchaeota	0.000459087343141195	0.00122795682390403	0.00106444368248018	0.000682831403961856	0.00063921347342633	0.000839139568277932	0.000943564862531596	0.0012042072316255	0.000277112216508733	0.000897323232751953	0.00133361711549027	0.000398352329679482	0.000285460658547582	0.000961983088845388	0.000960894076103998	0.000891340164375281	0.000395647889870285	0.000406362018471121	0.00147396787947887	0.00106655320235777	0.00112599190071063	0.000412150136568009	0.000446552724116206	0.00122705856557245	0.0011005880893848	0.000223614873102506	0.000257686058246504	0.00121616467927292	0.000793440522916296	0.00018870723371439	0.000194423307660546	0.000165158976949397	0.00141976909134374	0.0010695357294952	0.00128523580285999	0.000345909133651444	0.00090432436234991	0.00111752695501084	0.0010869791734098	0.000757575305160803	0.000818013212813822	0.000742061769807557	0.00084256893139408	0.00100171395483704	0.000906092024434001	0.000742154148254241	0.000830246276864352	0.000896311622795973	0.00127839300482331	0.00115566982623128	0.00100318716837624	0.00114934874181807	0.000976479818687527	0.000782873619466129	0.000801807311862238	0.000887970074774216	0.000859672395248546	0.000897723363172689	0.00109689088974574	0.00133069080479095	0.0011803751227744	0.00152072678399413
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0.000459087343141195	0.00122795682390403	0.00106444368248018	0.000682831403961856	0.00063921347342633	0.000839139568277932	0.000943564862531596	0.0012042072316255	0.000277112216508733	0.000897323232751953	0.00133361711549027	0.000398352329679482	0.000285460658547582	0.000961983088845388	0.000960894076103998	0.000891340164375281	0.000395647889870285	0.000406362018471121	0.00147396787947887	0.00106655320235777	0.00112599190071063	0.000412150136568009	0.000446552724116206	0.00122705856557245	0.0011005880893848	0.000223614873102506	0.000257686058246504	0.00121616467927292	0.000793440522916296	0.00018870723371439	0.000194423307660546	0.000165158976949397	0.00141976909134374	0.0010695357294952	0.00128523580285999	0.000345909133651444	0.00090432436234991	0.00111752695501084	0.0010869791734098	0.000757575305160803	0.000818013212813822	0.000742061769807557	0.00084256893139408	0.00100171395483704	0.000906092024434001	0.000742154148254241	0.000830246276864352	0.000896311622795973	0.00127839300482331	0.00115566982623128	0.00100318716837624	0.00114934874181807	0.000976479818687527	0.000782873619466129	0.000801807311862238	0.000887970074774216	0.000859672395248546	0.000897723363172689	0.00109689088974574	0.00133069080479095	0.0011803751227744	0.00152072678399413
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0.000459087343141195	0.00122795682390403	0.00106444368248018	0.000682831403961856	0.00063921347342633	0.000839139568277932	0.000943564862531596	0.0012042072316255	0.000277112216508733	0.000897323232751953	0.00133361711549027	0.000398352329679482	0.000285460658547582	0.000961983088845388	0.000960894076103998	0.000891340164375281	0.000395647889870285	0.000406362018471121	0.00147396787947887	0.00106655320235777	0.00112599190071063	0.000412150136568009	0.000446552724116206	0.00122705856557245	0.0011005880893848	0.000223614873102506	0.000257686058246504	0.00121616467927292	0.000793440522916296	0.00018870723371439	0.000194423307660546	0.000165158976949397	0.00141976909134374	0.0010695357294952	0.00128523580285999	0.000345909133651444	0.00090432436234991	0.00111752695501084	0.0010869791734098	0.000757575305160803	0.000818013212813822	0.000742061769807557	0.00084256893139408	0.00100171395483704	0.000906092024434001	0.000742154148254241	0.000830246276864352	0.000896311622795973	0.00127839300482331	0.00115566982623128	0.00100318716837624	0.00114934874181807	0.000976479818687527	0.000782873619466129	0.000801807311862238	0.000887970074774216	0.000859672395248546	0.000897723363172689	0.00109689088974574	0.00133069080479095	0.0011803751227744	0.00152072678399413
k__archaea|p__candidatus_micrarchaeota	5.48709971881906e-05	0.000551074418808301	0.000330737858484912	0.000167742702213955	0.000167632351820738	0.00036266261801437	0.000315916395215678	0.000319483551247581	6.45900655020356e-05	0.000398411515341867	0.000428275415137118	0.000168236178068519	0.000164621484070385	0.000323483749946248	0.000483870651149757	0.000519948429218914	0.000152012084002794	0.000132389435881994	0.000598932193102366	0.000390834065323158	0.000355576389698093	0.000239047079209445	0.000129834712738633	0.000490823426228978	0.000354139134734609	8.0802012969813e-05	8.71870121886668e-05	0.000365730682534972	0.000224430319339181	9.62036877759635e-05	0.000121514567287841	7.62272201304908e-05	0.000357975967475558	0.000348958691403094	0.000406837232559997	0.000181650606498523	0.000282972393470541	0.000272014674647668	0.000256167066344985	0.000245700098971071	0.000291950843630522	0.000229453310401021	0.00022979152674384	0.000213698977031901	0.000392122954339409	0.000414733200495017	0.000344248456260829	0.00035974412071403	0.000361865305309614	0.00041273922365403	0.000414851836546566	0.00034649484128339	0.000351682386807002	0.000311370189560392	0.000439084956495988	0.00031713216956222	0.000377659549357743	0.000316538295685168	0.00044355150732888	0.000360274366362616	0.000349496544732085	0.000389481104389863
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	2.5606465354489e-05	0.000125807986287426	5.51229764141519e-05	4.57480096947149e-05	4.05265026379806e-05	7.13750897155942e-05	7.11334929624706e-05	6.23843620779301e-05	2.08355050006566e-05	0.000120241313188762	8.49322553225508e-05	0.000108289953699277	5.77926486630074e-05	0.000106698828516302	0.000175745472351563	0.000162061848068233	7.49648633438435e-05	2.94198746404432e-05	0.000208139556468198	0.000136556480655079	0.00010370978032861	0.000127766542336083	2.75406966415281e-05	0.000225865647468202	9.33061193312742e-05	5.82526140014931e-05	3.8749783194963e-05	7.27054971304462e-05	9.52128627499556e-05	7.77029785882782e-05	7.73274519104443e-05	3.81136100652454e-05	4.24717249547272e-05	0.000135957931715491	0.000129448210359999	0.000115947195637355	8.31107729074315e-05	9.06715582158893e-06	1.38468684510803e-05	3.75375151205803e-05	9.91531167047057e-05	0.000117167647864351	6.06394306685133e-05	4.45206202149794e-05	0.000186092249517008	0.000152796442287638	9.36558300121373e-05	0.00014023923349869	0.00010381381709702	0.000123821767096209	0.000148340959734833	0.000152119686417098	0.000108497757631947	0.00011565178469386	0.000143179877118257	6.07836658327588e-05	7.95072735489985e-05	0.000124539657318755	0.000179818178646843	8.5226194193307e-05	0.000107706482338819	0.000135661957708829
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	2.5606465354489e-05	0.000125807986287426	5.51229764141519e-05	4.57480096947149e-05	4.05265026379806e-05	7.13750897155942e-05	7.11334929624706e-05	6.23843620779301e-05	2.08355050006566e-05	0.000120241313188762	8.49322553225508e-05	0.000108289953699277	5.77926486630074e-05	0.000106698828516302	0.000175745472351563	0.000162061848068233	7.49648633438435e-05	2.94198746404432e-05	0.000208139556468198	0.000136556480655079	0.00010370978032861	0.000127766542336083	2.75406966415281e-05	0.000225865647468202	9.33061193312742e-05	5.82526140014931e-05	3.8749783194963e-05	7.27054971304462e-05	9.52128627499556e-05	7.77029785882782e-05	7.73274519104443e-05	3.81136100652454e-05	4.24717249547272e-05	0.000135957931715491	0.000129448210359999	0.000115947195637355	8.31107729074315e-05	9.06715582158893e-06	1.38468684510803e-05	3.75375151205803e-05	9.91531167047057e-05	0.000117167647864351	6.06394306685133e-05	4.45206202149794e-05	0.000186092249517008	0.000152796442287638	9.36558300121373e-05	0.00014023923349869	0.00010381381709702	0.000123821767096209	0.000148340959734833	0.000152119686417098	0.000108497757631947	0.00011565178469386	0.000143179877118257	6.07836658327588e-05	7.95072735489985e-05	0.000124539657318755	0.000179818178646843	8.5226194193307e-05	0.000107706482338819	0.000135661957708829
