Taxonomy	reERR4183438	reERR4183439	reERR4183440	reERR4183441	reERR4183442	reERR4183443	reERR4183444	reERR4183445	reERR4183446	reERR4183447	reERR4183448	reERR4183449	reERR4183450	reERR4183451	reERR4183452	reERR4183453	reERR4183454	reERR4183455	reERR4183456	reERR4183457	reERR4183458	reERR4183459	reERR4183460	reERR4183461	reERR4183462	reERR4183463	reERR4183464	reERR4183465	reERR4183466	reERR4183467	reERR4183468	reERR4183469	reERR4183470	reERR4183471	reERR4183472	reERR4183473	reERR4183474	reERR4183475	reERR4183476	reERR4183477	reERR4183478	reERR4183479	reERR4183480	reERR4183481	reERR4183482	reERR4183483	reERR4183484	reERR4183485	reERR4183486	reERR4183487	reERR4183488	reERR4183489	reERR4183490	reERR4183491	reERR4183492	reERR4183493	reERR4183494	reERR4183495	reERR4183496	reERR4183497	reERR4183498	reERR4183499
k__Bacteria	28.9657854841139	24.431646591978	20.9206747839642	31.4435402364668	31.5916456706621	25.3391885588398	32.0664062078448	40.6951240670878	45.181749542749	26.0225922983356	21.6418538054832	41.8393606391225	45.2331636756175	26.087157103882	35.363861642643	35.7990273188336	33.8762757751642	26.7475768327512	30.2544824174295	38.8439768323007	36.7246182997693	40.9537806497637	32.5329243420479	20.6083311350095	17.9119084560037	27.6350126655427	33.454582853351	29.6078933153709	27.7919661673599	24.4122608549851	50.1371500847904	48.442126300047	23.20258403186	33.4206330850562	31.7656717782657	39.5037960868607	27.5071986154231	23.5624831971598	23.641324609786	33.4547005953542	28.2380774335485	28.4717518390155	22.9420775163797	23.1646167233985	24.3457406086707	24.4782299569669	29.7455460645129	29.801703350073	25.4729624965506	26.7028622491348	30.0435937818032	29.9541513535182	31.9464861442794	27.0401435857108	26.5069481267813	22.9069528310055	23.8029250226974	24.9524683774346	25.5523577797911	17.8381775551586	26.9019312203901	30.844451983799
k__Bacteria|p__Actinobacteriota	0.676366518897025	3.90462517210487	1.12224859267764	2.82133513975712	0.279308227978234	6.66441016965788	1.1386244781648	0.391053480561564	10.1438953119079	5.10602984034929	2.68553523867045	3.59735377907367	1.11076875694552	2.91175080410486	3.47986791624875	3.65692203593524	1.65296961565926	1.44083082011532	0.297045622090464	1.70667410914347	1.46789161220439	1.48279752142337	0.860741920038837	2.12631238474863	1.54447382213758	0.723966061949629	4.244410519427	8.2974558235433	2.88822426723416	0.601684860479182	1.09240554508534	1.00703033138061	2.32225409606704	0.908925679454207	0.837094091570255	1.78809790027574	3.93494000039113	0.895323532214843	0.839606442332255	1.59730175014888	4.96307965889833	4.65839295074715	2.53974368605627	2.35230668452112	1.32972596572957	1.22951121580006	6.04938536819989	5.62715853779638	0.840498121445105	0.84926857281478	2.37607131775016	2.25063263309924	0.397892742080352	2.24097463999462	2.20773129931452	0.839018512293016	0.832338584292455	0.809806235794495	0.833680530372458	0.285234718987064	0.729311044643181	1.70675937346233
k__Bacteria|p__Actinobacteriota|c__Actinomycetia	0.156069788854877	0.000151096453312671	0.000222044464581223	1.01194648279804	0.0851260351681106	0	0.000193019789105541	0.0572751555388029	0.274391425128246	0.00100009820374309	0.00661068645912592	0.832783531770887	0.135321756084443	0.00210056314752267	0.000172815906027081	0.0142185218503073	0.274542680677429	0.148821860317235	8.43653375159662e-05	0	0	0.465685038847399	0.210744941296985	0.00416921767114219	0.000586829568363636	0.221388069887218	3.28296246225409	0.00137548485670505	0.000648561229064529	0.0601124727144292	0.246391527169553	0.235401520574451	0.000164529099152357	8.23804965677176e-05	0	0.759907662463097	6.22566855029166e-05	0	0	8.43513083994701e-05	0.00152145168526003	0.00213346596420182	0	0.000195687213971428	0.000180604593263157	0.0039072542096217	0	0.00025278067277861	0.000338764905576305	0	0.000135072624421558	0	0	0	0.000239522458963289	0.000139770415040165	0	0.000104532875724488	0.00671876857186138	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales	0.156069788854877	0.000151096453312671	0.000222044464581223	1.01194648279804	0.0851260351681106	0	0.000193019789105541	0.0572751555388029	0.274391425128246	0.00100009820374309	0.00661068645912592	0.832783531770887	0.135321756084443	0.00210056314752267	0.000172815906027081	0.0142185218503073	0.274542680677429	0.148821860317235	8.43653375159662e-05	0	0	0.465685038847399	0.210744941296985	0.00416921767114219	0.000586829568363636	0.221388069887218	3.28296246225409	0.00137548485670505	0.000648561229064529	0.0601124727144292	0.246391527169553	0.235401520574451	0.000164529099152357	8.23804965677176e-05	0	0.759907662463097	6.22566855029166e-05	0	0	8.43513083994701e-05	0.00152145168526003	0.00213346596420182	0	0.000195687213971428	0.000180604593263157	0.0039072542096217	0	0.00025278067277861	0.000338764905576305	0	0.000135072624421558	0	0	0	0.000239522458963289	0.000139770415040165	0	0.000104532875724488	0.00671876857186138	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae	0.156069788854877	0.000151096453312671	0.000222044464581223	1.01194648279804	0.0851260351681106	0	0.000193019789105541	0.0572751555388029	0.274391425128246	0.00100009820374309	0.00661068645912592	0.832783531770887	0.135321756084443	0.00210056314752267	0.000172815906027081	0.0142185218503073	0.274542680677429	0.148821860317235	8.43653375159662e-05	0	0	0.465685038847399	0.210744941296985	0.00416921767114219	0.000586829568363636	0.221388069887218	3.28296246225409	0.00137548485670505	0.000648561229064529	0.0601124727144292	0.246391527169553	0.235401520574451	0.000164529099152357	8.23804965677176e-05	0	0.759907662463097	6.22566855029166e-05	0	0	8.43513083994701e-05	0.00152145168526003	0.00213346596420182	0	0.000195687213971428	0.000180604593263157	0.0039072542096217	0	0.00025278067277861	0.000338764905576305	0	0.000135072624421558	0	0	0	0.000239522458963289	0.000139770415040165	0	0.000104532875724488	0.00671876857186138	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium	0.156069788854877	0.000151096453312671	0.000222044464581223	1.01194648279804	0.0851260351681106	0	0.000193019789105541	0.0572751555388029	0.274391425128246	0.00100009820374309	0.00661068645912592	0.832783531770887	0.135321756084443	0.00210056314752267	0.000172815906027081	0.0142185218503073	0.274542680677429	0.148821860317235	8.43653375159662e-05	0	0	0.465685038847399	0.210744941296985	0.00416921767114219	0.000586829568363636	0.221388069887218	3.28296246225409	0.00137548485670505	0.000648561229064529	0.0601124727144292	0.246391527169553	0.235401520574451	0.000164529099152357	8.23804965677176e-05	0	0.759907662463097	6.22566855029166e-05	0	0	8.43513083994701e-05	0.00152145168526003	0.00213346596420182	0	0.000195687213971428	0.000180604593263157	0.0039072542096217	0	0.00025278067277861	0.000338764905576305	0	0.000135072624421558	0	0	0	0.000239522458963289	0.000139770415040165	0	0.000104532875724488	0.00671876857186138	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium adolescentis	0.00180930634067336	0	0.000157171955438045	0.00168292549661647	5.17258047323539e-05	0	5.34140443045645e-05	0.0013301099653862	0.00433276702070673	0.000962271879999236	0.00297475343792744	0.00218195734217838	0.00148869805562969	5.03559432008213e-05	9.74352252218875e-05	0.0135480661657164	0.000225814338613645	0.0020860223964143	8.43653375159662e-05	0	0	0.00296084504121725	0.00896111349020279	0.00349523102073013	0.000586829568363636	0.00186759270972159	3.05511799597237	0.00106515100835035	0.000648561229064529	0.0174413678390324	0.00351677041990552	0.00250553963389244	0	0	0	0.00221131269862594	0	0	0	4.62073048966318e-05	0.000836500880233037	0.000794971647619781	0	0	0	0.0030641147640653	0	0	0.000338764905576305	0	0	0	0	0	0.000239522458963289	0	0	0	0.00635686677243755	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium animalis	0.0133742916665452	0	0	0.0944408328044979	0.00510993795451256	0	0	0	0.00961363311116657	0	0	0.0580405429407	0.0116813527232994	5.99350695387258e-05	0	0	0.115213005882983	0.00732741449069757	0	0	0	0.0359075342526565	0.0149200954296088	0	0	0.0072706102359006	0.00287294976024347	0	0	0	0.0174089552780643	0.0168989305925514	0	8.23804965677176e-05	0	0.421461030193106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium globosum	0.0988938183260152	8.05421066979412e-05	6.48725091431781e-05	0.674393387503765	0.0573910656946293	0	0.000139605744800976	9.98183754167516e-05	0.138066095521523	3.78263237438574e-05	0.0021708386694344	0.558541072639668	0.058226927264455	0.00158921698125653	7.53806808051936e-05	0.00027959728685639	0.0989280664804882	0.108369474444339	0	0	0	0.231320671841846	0.151007605924953	0.000542645202825979	0	0.0751641139758714	0.168183299701755	0.000310333848354702	0	0.00106919068986716	0.147030886877905	0.147001168239931	0.000164529099152357	0	0	0.215684871406481	6.22566855029166e-05	0	0	3.81440035028383e-05	0.000390510911321783	0.000328123457744409	0	0.000195687213971428	9.47941073474177e-05	0.000843139445556402	0	0.00025278067277861	0	0	0.000135072624421558	0	0	0	0	0.000139770415040165	0	0.000104532875724488	0.00036190179942382	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudocatenulatum	0.000494507801691325	0	0	0.000215786618980055	0.00244733399258243	0	0	0.0557611665946332	0	0	0	0.000117114299630932	0	0	0	0.000390858397734502	0	0	0	0	0	0	0.000240233860986849	0	0	0.069092214388498	0.00108623252296385	0	0	0.0413239311388571	0	0.000481894707227248	0	0	0	0.00322518718563427	0	0	0	0	0.000294439893705211	0.00101037085883763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
