Taxonomy	reERR4183438	reERR4183439	reERR4183440	reERR4183441	reERR4183442	reERR4183443	reERR4183444	reERR4183445	reERR4183446	reERR4183447	reERR4183448	reERR4183449	reERR4183450	reERR4183451	reERR4183452	reERR4183453	reERR4183454	reERR4183455	reERR4183456	reERR4183457	reERR4183458	reERR4183459	reERR4183460	reERR4183461	reERR4183462	reERR4183463	reERR4183464	reERR4183465	reERR4183466	reERR4183467	reERR4183468	reERR4183469	reERR4183470	reERR4183471	reERR4183472	reERR4183473	reERR4183474	reERR4183475	reERR4183476	reERR4183477	reERR4183478	reERR4183479	reERR4183480	reERR4183481	reERR4183482	reERR4183483	reERR4183484	reERR4183485	reERR4183486	reERR4183487	reERR4183488	reERR4183489	reERR4183490	reERR4183491	reERR4183492	reERR4183493	reERR4183494	reERR4183495	reERR4183496	reERR4183497	reERR4183498	reERR4183499
k__Bacteria	24.9638329879696	21.8237756609915	11.2224307732301	0	0	23.3157415427953	16.4739209624868	20.5141809940751	25.8724162306447	19.7402608835379	20.5316554110569	24.2754070318048	51.5047234049133	38.6663742126018	24.2216675927021	22.9475238848053	38.1316511788958	29.0384138490612	20.1814541548656	38.1827391091398	23.0234380698027	44.5703009121935	19.8429485987791	21.7241555388755	11.2092643103421	16.06205619474	23.8325314927658	23.9986531408617	21.8042955621236	10.9004785092371	55.418576761931	42.4598312992894	16.5291869977543	27.6116698986253	37.6518286133011	34.2115521138295	16.0874594958645	6.43997570367135	6.11868638661854	16.8317031367841	23.8404000065785	28.2906378471097	32.0306888192337	25.6587028880636	12.3169061524455	12.7753730923432	17.6613487488872	26.2126414603164	32.4642335291018	22.2852302720226	16.8068738247192	24.522909124629	9.49508031939836	25.6441707069401	32.503811240223	15.8853269117157	22.6105562060764	18.6206025789026	24.6644047286808	17.2191422175088	25.3883529599788	16.5798208962798
k__Bacteria|p__Actinobacteriota	0.209831604121364	2.5572461608914	0.443540975817949	0	0	0.069973133443473	0	0.250675802469741	0.910933567309925	0.441265639235083	0.0624070293754503	1.44404705140816	0.42553505653757	1.65568242637444	4.43194982664192	4.45843133492907	1.9410651878013	1.00628785502562	0	0	1.14841068819926	1.15556716513844	0.541629759945704	1.07609939484979	0.16578744701157	0.195684582591783	0.811388952476649	0.621749204312084	1.08262065504985	0.18067236018908	0.737031665202439	0	2.17610637146325	0.214942960544985	0	1.34872505914883	3.08790793503383	0.133398491802348	0	1.58606346693638	2.52799675905975	2.88119330143935	3.35758998662545	3.28972821441893	1.5718002924733	1.86760776543868	5.69863791121373	8.53924333735304	0	0	0.899392612098191	0	0.0990499029674809	3.26662474139302	3.45795985474325	0.982537215601178	0.958426967269665	0.677177656794592	0.781466913176516	0.269660663030183	0.750084185063875	0.818553374587172
k__Bacteria|p__Actinobacteriota|c__Actinomycetia	0.209831604121364	0	0	0	0	0	0	0.144854614743925	0.356615428883001	0	0	0.509376137600169	0	0	0	0	0	0.191499278010871	0	0	0	0	0.312170019984377	0	0	0	0.723556979530598	0	0	0.18067236018908	0.271859278382692	0	0	0	0	0.3686293370707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales	0.209831604121364	0	0	0	0	0	0	0.144854614743925	0.356615428883001	0	0	0.509376137600169	0	0	0	0	0	0.191499278010871	0	0	0	0	0.312170019984377	0	0	0	0.723556979530598	0	0	0.18067236018908	0.271859278382692	0	0	0	0	0.3686293370707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae	0.209831604121364	0	0	0	0	0	0	0.144854614743925	0.356615428883001	0	0	0.509376137600169	0	0	0	0	0	0.191499278010871	0	0	0	0	0.312170019984377	0	0	0	0.723556979530598	0	0	0.18067236018908	0.271859278382692	0	0	0	0	0.3686293370707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium	0.209831604121364	0	0	0	0	0	0	0.144854614743925	0.356615428883001	0	0	0.509376137600169	0	0	0	0	0	0.191499278010871	0	0	0	0	0.312170019984377	0	0	0	0.723556979530598	0	0	0.18067236018908	0.271859278382692	0	0	0	0	0.3686293370707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170322929918103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3686293370707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium globosum	0.209831604121364	0	0	0	0	0	0	0	0	0	0	0.509376137600169	0	0	0	0	0	0.191499278010871	0	0	0	0	0.312170019984377	0	0	0	0.553234049612495	0	0	0	0.271859278382692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudocatenulatum	0	0	0	0	0	0	0	0.144854614743925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18067236018908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
