Taxonomy	reERR4183438	reERR4183439	reERR4183440	reERR4183441	reERR4183442	reERR4183443	reERR4183444	reERR4183445	reERR4183446	reERR4183447	reERR4183448	reERR4183449	reERR4183450	reERR4183451	reERR4183452	reERR4183453	reERR4183454	reERR4183455	reERR4183456	reERR4183457	reERR4183458	reERR4183459	reERR4183460	reERR4183461	reERR4183462	reERR4183463	reERR4183464	reERR4183465	reERR4183466	reERR4183467	reERR4183468	reERR4183469	reERR4183470	reERR4183471	reERR4183472	reERR4183473	reERR4183474	reERR4183475	reERR4183476	reERR4183477	reERR4183478	reERR4183479	reERR4183480	reERR4183481	reERR4183482	reERR4183483	reERR4183484	reERR4183485	reERR4183486	reERR4183487	reERR4183488	reERR4183489	reERR4183490	reERR4183491	reERR4183492	reERR4183493	reERR4183494	reERR4183495	reERR4183496	reERR4183497	reERR4183498	reERR4183499
k__Bacteria	21.0289807832371	21.2524951842281	11.3728617110137	0	0	24.2945458107346	17.9275104510772	19.5597161563244	26.4372821554446	25.0437980326558	21.4095885177664	27.1082987017237	51.7202541367782	38.5285574923645	27.6182888904963	25.8533111389991	47.2953640794119	48.1707261707842	21.3456968413355	37.4816305508692	24.2808163649096	46.7259318710849	21.7450921973323	24.6191830905296	11.6599605059957	18.4206293740919	23.9323121422213	26.1227835613579	26.5399039876984	11.5023101065999	55.8445741595609	53.4712119158117	17.6299879252502	28.8198744480092	37.1227370494455	34.9487511003026	18.8429935889077	8.52564950543982	8.06927132153049	19.0893644839184	25.4103453462876	28.9230338483943	42.6412093367029	28.3355099238813	15.8770823985335	16.573797382778	18.6246881272244	22.800092255445	33.392976503845	22.3878610479834	17.457340503452	30.2584119589635	9.85040657736565	28.877107672749	37.0948680117801	22.5706428481668	21.2728597982445	15.2633585111808	25.4774847188368	20.9992996534859	23.8676140168109	16.2276852600728
k__Bacteria|p__Actinobacteria	0.633453873110851	2.63100933360421	0.443540975817949	0	0	0.141612935013076	0	0.250675802469741	1.73445946097809	3.18102011057365	0.250357966191123	2.15747096345245	2.04031137120153	2.01623338725968	4.43194982664192	4.45843133492907	3.69586512033448	1.77532873076481	0	1.68472330293355	1.14841068819926	1.66395336564804	0.9787191957941	1.07609939484979	1.02842479634086	0.52083329464485	0.97456559666774	0.765559231444861	2.34039237536929	0.316987079546445	2.47315254958246	0	2.17610637146325	0.214942960544985	0.860344015155137	1.73030057204724	3.08790793503383	0.133398491802348	0	2.07539900910821	2.52799675905975	2.88119330143935	3.35758998662545	3.28972821441893	1.5718002924733	1.86760776543868	5.69863791121373	8.53924333735304	0	0	0	0	0.0990499029674809	3.26662474139302	3.45795985474325	0.982537215601178	0.958426967269665	0.770744240312207	1.30987204309255	0.269660663030183	0	0.818553374587172
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.352291658910771	0	0	0	0	0	0	0.144854614743925	0.356615428883001	0.0851910037560435	0.187950936815673	0.610158407786357	0.21360596162983	0	0	0	0.135685273530031	0.29928942185744	0	0.425874881379637	0	0.32371295445258	0.381825482409811	0	0	0	0.723556979530598	0	0	0.18067236018908	0.271859278382692	0	0	0	0.860344015155137	0.3686293370707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093566583517615	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.209831604121364	0	0	0	0	0	0	0.144854614743925	0.356615428883001	0	0	0.509376137600169	0.133096763727995	0	0	0	0	0.191499278010871	0	0	0	0.32371295445258	0.312170019984377	0	0	0	0.723556979530598	0	0	0.18067236018908	0.271859278382692	0	0	0	0	0.3686293370707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.209831604121364	0	0	0	0	0	0	0.144854614743925	0.356615428883001	0	0	0.509376137600169	0.133096763727995	0	0	0	0	0.191499278010871	0	0	0	0.32371295445258	0.312170019984377	0	0	0	0.723556979530598	0	0	0.18067236018908	0.271859278382692	0	0	0	0	0.3686293370707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.209831604121364	0	0	0	0	0	0	0.144854614743925	0.356615428883001	0	0	0.509376137600169	0.133096763727995	0	0	0	0	0.191499278010871	0	0	0	0.32371295445258	0.312170019984377	0	0	0	0.723556979530598	0	0	0.18067236018908	0.271859278382692	0	0	0	0	0.3686293370707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3686293370707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__SGB17278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3686293370707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0	0	0	0	0	0	0	0.144854614743925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18067236018908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__SGB17237	0	0	0	0	0	0	0	0.144854614743925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18067236018908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
