#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reERR4183499_taxonomic_profile	reERR4183498_taxonomic_profile	reERR4183497_taxonomic_profile	reERR4183496_taxonomic_profile	reERR4183495_taxonomic_profile	reERR4183494_taxonomic_profile	reERR4183493_taxonomic_profile	reERR4183492_taxonomic_profile	reERR4183491_taxonomic_profile	reERR4183490_taxonomic_profile	reERR4183489_taxonomic_profile	reERR4183488_taxonomic_profile	reERR4183487_taxonomic_profile	reERR4183486_taxonomic_profile	reERR4183485_taxonomic_profile	reERR4183484_taxonomic_profile	reERR4183483_taxonomic_profile	reERR4183482_taxonomic_profile	reERR4183481_taxonomic_profile	reERR4183480_taxonomic_profile	reERR4183479_taxonomic_profile	reERR4183478_taxonomic_profile	reERR4183477_taxonomic_profile	reERR4183476_taxonomic_profile	reERR4183475_taxonomic_profile	reERR4183474_taxonomic_profile	reERR4183473_taxonomic_profile	reERR4183472_taxonomic_profile	reERR4183471_taxonomic_profile	reERR4183470_taxonomic_profile	reERR4183469_taxonomic_profile	reERR4183468_taxonomic_profile	reERR4183467_taxonomic_profile	reERR4183466_taxonomic_profile	reERR4183465_taxonomic_profile	reERR4183464_taxonomic_profile	reERR4183463_taxonomic_profile	reERR4183462_taxonomic_profile	reERR4183461_taxonomic_profile	reERR4183460_taxonomic_profile	reERR4183459_taxonomic_profile	reERR4183458_taxonomic_profile	reERR4183457_taxonomic_profile	reERR4183456_taxonomic_profile	reERR4183455_taxonomic_profile	reERR4183454_taxonomic_profile	reERR4183453_taxonomic_profile	reERR4183452_taxonomic_profile	reERR4183451_taxonomic_profile	reERR4183450_taxonomic_profile	reERR4183449_taxonomic_profile	reERR4183448_taxonomic_profile	reERR4183447_taxonomic_profile	reERR4183446_taxonomic_profile	reERR4183445_taxonomic_profile	reERR4183444_taxonomic_profile	reERR4183443_taxonomic_profile	reERR4183442_taxonomic_profile	reERR4183441_taxonomic_profile	reERR4183440_taxonomic_profile	reERR4183439_taxonomic_profile	reERR4183438_taxonomic_profile
UNKNOWN	-1	88.93975999999999	86.03683000000001	89.15748	79.3415	78.76834000000001	86.04585	86.03735	84.85378	84.82536	79.27709	87.73806	87.8132	89.81829	89.93191999999999	82.66686	82.70344	73.31761999999999	73.32399000000001	84.37491999999999	75.53106	78.59366999999999	78.61644	80.72324	83.31863	87.40503000000001	68.11386	73.35545	79.63103000000001	79.47164000000001	87.69289	72.37865	72.68863	33.63228	75.34718000000001	73.3891	29.0073	36.87677	81.72994	84.90335	50.60156	83.88221999999999	83.29463	83.74019	84.56195	64.10545	75.06586999999999	82.03927	82.3442	70.36364	79.51948	70.65755	82.89524	71.77464	41.68978	91.14347	87.15201	74.02646	55.02321	72.92945999999999	82.07851	89.17361	39.17344
k__Archaea	2157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002413995879484185	0	0	0	0	0.006852423459198665	0	0	0	0	0	0	0	0.00047422506114889676	0.004558109037273808	0	0	0	0.008471114338881902	0.018418841288622385	0	0	0	0.0363693030978663	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	2157|28890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002413995879484185	0	0	0	0	0.006852423459198665	0	0	0	0	0	0	0	0.00047422506114889676	0.004558109037273808	0	0	0	0.008471114338881902	0.018418841288622385	0	0	0	0.0363693030978663	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002413995879484185	0	0	0	0	0.006852423459198665	0	0	0	0	0	0	0	0.00047422506114889676	0.004558109037273808	0	0	0	0.008471114338881902	0.018418841288622385	0	0	0	0.0363693030978663	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002413995879484185	0	0	0	0	0.006852423459198665	0	0	0	0	0	0	0	0.00047422506114889676	0.004558109037273808	0	0	0	0.008471114338881902	0.018418841288622385	0	0	0	0.0363693030978663	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002413995879484185	0	0	0	0	0.006852423459198665	0	0	0	0	0	0	0	0.00047422506114889676	0.004558109037273808	0	0	0	0.008471114338881902	0.018418841288622385	0	0	0	0.0363693030978663	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002413995879484185	0	0	0	0	0.006852423459198665	0	0	0	0	0	0	0	0.00047422506114889676	0.004558109037273808	0	0	0	0.008471114338881902	0.018418841288622385	0	0	0	0.0363693030978663	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	2157|28890|183925|2158|2159|2316|1077256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002413995879484185	0	0	0	0	0.006852423459198665	0	0	0	0	0	0	0	0.00047422506114889676	0.004558109037273808	0	0	0	0.008471114338881902	0.018418841288622385	0	0	0	0.0363693030978663	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	2	11.060240316595623	13.947923482433653	8.467425353822671	20.61596578310137	21.20508447161188	12.323997029496534	12.664414679067328	13.177879009191125	13.300839925860698	19.510703595651133	7.19258017512033	7.1584077358044205	1.2043722232959149	1.2777141102115892	16.466172197184132	16.469551866031793	24.7869816966352	25.223468026983877	7.4063582596700295	11.863825508906672	10.299596607056664	10.332487830907754	19.234580701677004	12.521317820129125	9.42577819144463	30.061123824464197	26.448772664018627	18.991694803958765	18.79256063589866	3.5810744224944284	27.56294291492452	27.251727587110878	53.539686544514296	24.39449237545025	21.93488681871037	70.78523483718442	62.98017314008602	14.721552847283215	15.09427371711226	48.962710075991104	16.102641971867723	16.53482521416324	16.196382412930554	15.437122929578784	35.875693285628195	24.764445035875077	17.960725592398678	17.648600752187892	18.816117301122297	20.32979939150737	29.311466257390624	15.972185908546042	27.99556079975483	58.26444075138947	8.834075018289203	12.84379534717215	25.89685042693852	44.94765013985783	27.07053809333748	16.59268971577796	10.813624330456488	60.167691365968935
k__Bacteria|p__Actinobacteria	2|201174	2.374571658627308	1.082944683294898	0.6399189853737725	2.039303784841461	2.0224387720219066	1.8771210763203048	1.8912587823421425	2.82237836923277	2.942884055049958	0.33178202375285515	3.5890132371782038	3.5251907452354403	0.5452622004246294	0.5791251381879212	8.695427757166675	8.697649055691905	3.265285678122433	3.3327641284384417	4.6401597117927595	7.461165383723597	3.633781864636272	3.653750695781447	6.893948434304693	2.8217711629645086	2.1209438016809847	9.165261767816805	1.5227997583071955	1.6610464796833118	1.7376212384984226	2.258580853537804	0.6964694643409327	0.8041970305613163	0.5741272777664587	5.3150300681588885	10.335329470756609	1.2961421924596548	1.55165103675299	4.450010225788248	2.3172346166714908	0.8853880688537642	1.0486181277663462	1.8046464412006105	1.7619571232354114	0.940399693043055	0.5435260790408959	2.307341986930952	5.1172208617638155	4.837371925205539	1.5138876039595848	0.3504830971470808	2.801455642203844	5.36108466143554	5.898724925039827	1.12465253925692	0.6750989341188596	4.956401508200313	7.222818077725937	0.2911932062594964	2.4925414513745228	1.3885566904117304	4.908958910004667	0.5183031579361861
