;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61
ID0;0.000000;0.774992;0.749852;0.768072;0.392282;0.796462;0.764133;0.741560;0.443921;0.766773;0.777879;0.722802;0.892192;0.782066;0.755175;0.820347;0.806051;0.668519;0.774049;0.752926;0.825084;0.795283;0.465052;0.733490;0.778089;0.364947;0.348747;0.782770;0.768171;0.366627;0.813957;0.918350;0.782481;0.796384;0.883559;0.749190;0.768113;0.765686;0.794104;0.783758;0.760116;0.781253;0.773870;0.777901;0.760590;0.838096;0.727552;0.786902;0.768433;0.813297;0.750899;0.824952;0.771690;0.755224;0.773067;0.711591;0.722325;0.774640;0.805941;0.771748;0.730383;0.736749
ID1;0.774992;0.000000;0.473737;0.707797;0.725634;0.436385;0.541788;0.662957;0.874690;0.479836;0.497416;0.825016;0.900094;0.577895;0.528284;0.749894;0.877881;0.855188;0.471269;0.562953;0.785659;0.764672;0.828688;0.456384;0.430984;0.852646;0.858852;0.557939;0.592723;0.809799;0.914535;0.975897;0.451180;0.608393;0.833572;0.829293;0.570352;0.519214;0.699377;0.514732;0.632444;0.716231;0.518732;0.569066;0.586488;0.820233;0.444559;0.655479;0.559819;0.700852;0.418625;0.725824;0.530087;0.508017;0.604560;0.538855;0.647258;0.586872;0.708376;0.583814;0.483796;0.529045
ID2;0.749852;0.473737;0.000000;0.628553;0.666615;0.540084;0.485597;0.609847;0.878677;0.517027;0.542817;0.822617;0.900857;0.594476;0.542810;0.725923;0.865913;0.838747;0.521633;0.540277;0.755126;0.757454;0.823396;0.420350;0.509370;0.839507;0.854482;0.524152;0.467806;0.781982;0.914674;0.975584;0.481995;0.606556;0.809283;0.825590;0.462379;0.394079;0.652035;0.499791;0.603946;0.688981;0.498971;0.546691;0.423927;0.751867;0.456334;0.659585;0.514004;0.667866;0.456187;0.721255;0.392721;0.490009;0.591847;0.500632;0.615107;0.485044;0.650130;0.461783;0.464320;0.458597
ID3;0.768072;0.707797;0.628553;0.000000;0.616151;0.683879;0.649463;0.498450;0.822959;0.716943;0.689772;0.682948;0.841110;0.766629;0.691224;0.821099;0.794157;0.807061;0.719450;0.707314;0.833640;0.779020;0.789127;0.648404;0.744181;0.825189;0.839694;0.749789;0.704508;0.791670;0.857193;0.928926;0.752261;0.733218;0.863779;0.749474;0.692661;0.716778;0.816337;0.753788;0.746637;0.792073;0.781362;0.800936;0.621581;0.831350;0.709065;0.794381;0.739870;0.819987;0.728727;0.841825;0.652318;0.738806;0.775971;0.655345;0.725024;0.732275;0.816058;0.703796;0.654080;0.702886
ID4;0.392282;0.725634;0.666615;0.616151;0.000000;0.736706;0.701225;0.578445;0.474013;0.699416;0.731792;0.639751;0.814908;0.732451;0.717815;0.802767;0.727599;0.585551;0.731963;0.724681;0.824253;0.701164;0.427851;0.636242;0.743402;0.503240;0.483289;0.728998;0.685989;0.490726;0.739810;0.862352;0.729379;0.734649;0.855089;0.670429;0.711861;0.682194;0.766199;0.762702;0.748745;0.780410;0.724595;0.740172;0.664622;0.800798;0.683840;0.766318;0.738064;0.788027;0.712546;0.817695;0.700356;0.708643;0.742206;0.644499;0.705527;0.705178;0.772835;0.722868;0.666848;0.684685
ID5;0.796462;0.436385;0.540084;0.683879;0.736706;0.000000;0.562377;0.683704;0.871420;0.424527;0.460624;0.829109;0.903821;0.601566;0.496137;0.722552;0.874278;0.846402;0.491390;0.588538;0.762328;0.800997;0.835606;0.480121;0.529249;0.835247;0.842901;0.465391;0.541645;0.784132;0.908834;0.973517;0.580716;0.584996;0.811276;0.838590;0.513052;0.579355;0.698878;0.579502;0.581674;0.673571;0.633469;0.667362;0.521164;0.763659;0.496246;0.651022;0.597032;0.690344;0.558973;0.736041;0.536725;0.575262;0.629007;0.562665;0.646192;0.603724;0.701511;0.626986;0.473174;0.570009
ID6;0.764133;0.541788;0.485597;0.649463;0.701225;0.562377;0.000000;0.663086;0.873309;0.593005;0.499993;0.828827;0.900490;0.654919;0.490130;0.680245;0.863372;0.853375;0.606165;0.563586;0.766058;0.824716;0.834426;0.487157;0.567031;0.854488;0.857370;0.623637;0.569121;0.812364;0.910314;0.972547;0.607987;0.614548;0.803352;0.814568;0.547044;0.514226;0.695458;0.480145;0.567769;0.648372;0.600146;0.634700;0.422103;0.753051;0.496226;0.665147;0.468907;0.655688;0.532172;0.757614;0.487184;0.537720;0.623742;0.527011;0.620416;0.543975;0.669325;0.464325;0.545415;0.551335
ID7;0.741560;0.662957;0.609847;0.498450;0.578445;0.683704;0.663086;0.000000;0.867539;0.704857;0.691079;0.825278;0.911571;0.740203;0.680178;0.799605;0.862427;0.844166;0.687962;0.668241;0.794971;0.811568;0.812450;0.596149;0.672438;0.822086;0.845972;0.695683;0.694031;0.761679;0.903433;0.965553;0.678926;0.726830;0.860592;0.812403;0.703895;0.660508;0.742588;0.713297;0.699466;0.752303;0.680463;0.696137;0.655659;0.802272;0.618600;0.729832;0.688686;0.760838;0.644694;0.762156;0.650273;0.654716;0.688837;0.584783;0.653543;0.685496;0.764104;0.661600;0.622109;0.637075
ID8;0.443921;0.874690;0.878677;0.822959;0.474013;0.871420;0.873309;0.867539;0.000000;0.868293;0.849824;0.518511;0.674224;0.838588;0.854073;0.847178;0.581179;0.461965;0.862609;0.850606;0.859327;0.645788;0.327077;0.859105;0.867552;0.442503;0.399293;0.877347;0.864854;0.523011;0.568457;0.805580;0.864555;0.847511;0.864880;0.571015;0.878564;0.875621;0.876022;0.895396;0.855597;0.858108;0.864541;0.864833;0.858930;0.873117;0.846171;0.837314;0.847583;0.854284;0.846815;0.859219;0.865106;0.848268;0.846944;0.847673;0.833809;0.848160;0.855151;0.861806;0.852364;0.855784
ID9;0.766773;0.479836;0.517027;0.716943;0.699416;0.424527;0.593005;0.704857;0.868293;0.000000;0.486365;0.821113;0.893729;0.465098;0.519552;0.719353;0.867352;0.824055;0.503310;0.562586;0.751086;0.749622;0.811600;0.486563;0.513667;0.829749;0.834170;0.463997;0.463622;0.774927;0.902153;0.966533;0.534916;0.535007;0.778738;0.827311;0.518817;0.588996;0.700490;0.617747;0.597272;0.682427;0.599035;0.632556;0.517342;0.772297;0.492255;0.642749;0.637581;0.725122;0.549186;0.729217;0.539031;0.587597;0.642947;0.554811;0.638447;0.553730;0.670266;0.657484;0.470953;0.540156
