;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61
ID0;0.000000;0.873235;0.857046;0.868824;0.563510;0.886701;0.866299;0.851604;0.614882;0.867992;0.875064;0.839100;0.943025;0.877707;0.860513;0.901309;0.892611;0.801332;0.872635;0.859051;0.904160;0.885970;0.634861;0.846258;0.875197;0.534742;0.517142;0.878150;0.868888;0.536543;0.897438;0.957437;0.877968;0.886652;0.938180;0.856614;0.868850;0.867296;0.885237;0.878771;0.863711;0.877195;0.872522;0.875078;0.864017;0.911918;0.842293;0.880745;0.869056;0.897037;0.857729;0.904081;0.871134;0.860544;0.872011;0.831496;0.838779;0.873011;0.892544;0.871172;0.844186;0.848423
ID1;0.873235;0.000000;0.642905;0.828901;0.841006;0.607615;0.702805;0.797323;0.933157;0.648499;0.664366;0.904119;0.947420;0.732489;0.691343;0.857074;0.934970;0.921942;0.640629;0.720371;0.879965;0.866645;0.906320;0.626736;0.602361;0.920463;0.924067;0.716253;0.744289;0.894905;0.955360;0.987802;0.621811;0.756523;0.909233;0.906682;0.726400;0.683530;0.823098;0.679635;0.774843;0.834655;0.683112;0.725356;0.739354;0.901239;0.615494;0.791891;0.717800;0.824119;0.590185;0.841133;0.692885;0.673755;0.753553;0.700333;0.785861;0.739659;0.829298;0.737226;0.652106;0.691994
ID2;0.857046;0.642905;0.000000;0.771916;0.799962;0.701370;0.653740;0.757646;0.935421;0.681632;0.703670;0.902677;0.947843;0.745670;0.703664;0.841200;0.928139;0.912303;0.685623;0.701532;0.860481;0.861990;0.903146;0.591896;0.674944;0.912752;0.921532;0.687795;0.637422;0.877654;0.955436;0.987641;0.650467;0.755101;0.894590;0.904464;0.632365;0.565361;0.789372;0.666481;0.753075;0.815854;0.665752;0.706917;0.595433;0.858361;0.626688;0.794879;0.679000;0.800863;0.626550;0.838057;0.563963;0.657727;0.743598;0.667228;0.761692;0.653239;0.787974;0.631808;0.634179;0.628819
ID3;0.868824;0.828901;0.771916;0.000000;0.762492;0.812266;0.787484;0.665288;0.902882;0.835139;0.816408;0.811609;0.913698;0.867900;0.817424;0.901762;0.885271;0.893230;0.836837;0.828569;0.909273;0.875786;0.882136;0.786705;0.853330;0.904223;0.912863;0.857005;0.826641;0.883723;0.923106;0.963153;0.858617;0.846077;0.926911;0.856799;0.818429;0.835027;0.898883;0.859612;0.854943;0.883974;0.877264;0.889467;0.766635;0.907909;0.829770;0.885410;0.850489;0.901091;0.843079;0.914120;0.789579;0.849785;0.873856;0.791793;0.840596;0.845449;0.898714;0.826151;0.790869;0.825523
ID4;0.563510;0.841006;0.799962;0.762492;0.000000;0.848395;0.824376;0.732930;0.643160;0.823125;0.845127;0.780302;0.898016;0.845566;0.835730;0.890594;0.842324;0.738609;0.845241;0.840365;0.903661;0.824335;0.599294;0.777687;0.852818;0.669541;0.651645;0.843261;0.813753;0.658372;0.850449;0.926089;0.843515;0.847029;0.921884;0.802703;0.831681;0.811077;0.867625;0.865378;0.856323;0.876663;0.840307;0.850688;0.798526;0.889381;0.812239;0.867701;0.849294;0.881449;0.832148;0.899705;0.823776;0.829480;0.852030;0.783824;0.827342;0.827102;0.871863;0.839145;0.800130;0.812834
ID5;0.886701;0.607615;0.701370;0.812266;0.848395;0.000000;0.719900;0.812143;0.931293;0.596025;0.630722;0.906571;0.949481;0.751222;0.663224;0.838932;0.932923;0.916812;0.658970;0.740981;0.865138;0.889504;0.910442;0.648759;0.692168;0.910228;0.914754;0.635177;0.702684;0.879007;0.952240;0.986581;0.734751;0.738167;0.895806;0.912210;0.678169;0.733661;0.822752;0.733778;0.735517;0.804951;0.775612;0.800500;0.685218;0.865994;0.663321;0.788629;0.747677;0.816809;0.717104;0.847954;0.698531;0.730370;0.772258;0.720135;0.785075;0.752903;0.824574;0.770733;0.642387;0.726122
ID6;0.866299;0.702805;0.653740;0.787484;0.824376;0.719900;0.000000;0.797416;0.932370;0.744511;0.666660;0.906403;0.947640;0.791481;0.657835;0.809697;0.926677;0.920888;0.754798;0.720889;0.867534;0.903939;0.909741;0.655152;0.723701;0.921535;0.923209;0.768198;0.725401;0.896469;0.953052;0.986082;0.756209;0.761263;0.890954;0.897809;0.707212;0.679193;0.820378;0.648781;0.724302;0.786681;0.750114;0.776534;0.593632;0.859132;0.663303;0.798905;0.638443;0.792043;0.694663;0.862094;0.655176;0.699373;0.768277;0.690252;0.765749;0.704642;0.801911;0.634183;0.705849;0.710788
ID7;0.851604;0.797323;0.757646;0.665288;0.732930;0.812143;0.797416;0.000000;0.929072;0.826881;0.817323;0.904277;0.953740;0.850709;0.809650;0.888645;0.926132;0.915499;0.815139;0.801133;0.885776;0.895984;0.896521;0.746984;0.804141;0.902357;0.916560;0.820534;0.819384;0.864720;0.949267;0.982475;0.808762;0.841808;0.925073;0.896493;0.826219;0.795549;0.852282;0.832660;0.823160;0.858645;0.809851;0.820850;0.792022;0.890290;0.764364;0.843819;0.815648;0.864177;0.783968;0.865026;0.788079;0.791334;0.815753;0.737998;0.790476;0.813406;0.866280;0.796341;0.767037;0.778309
ID8;0.614882;0.933157;0.935421;0.902882;0.643160;0.931293;0.932370;0.929072;0.000000;0.929504;0.918816;0.682920;0.805417;0.912209;0.921294;0.917268;0.735121;0.631978;0.926237;0.919273;0.924342;0.784777;0.492929;0.924213;0.929079;0.613521;0.570707;0.934667;0.927530;0.686812;0.724861;0.892323;0.927358;0.917462;0.927545;0.726938;0.935357;0.933687;0.933914;0.944812;0.922180;0.923636;0.927350;0.927518;0.924112;0.932261;0.916677;0.911454;0.917504;0.921417;0.917055;0.924280;0.927675;0.917906;0.917130;0.917557;0.909374;0.917843;0.921920;0.925774;0.920299;0.922288
ID9;0.867992;0.648499;0.681632;0.835139;0.823125;0.596025;0.744511;0.826881;0.929504;0.000000;0.654436;0.901771;0.943883;0.634904;0.683822;0.836772;0.928965;0.903542;0.669602;0.720071;0.857851;0.856896;0.896003;0.654614;0.678706;0.906954;0.909588;0.633877;0.633527;0.873193;0.948560;0.982982;0.696997;0.697075;0.875607;0.905495;0.683185;0.741344;0.823868;0.763713;0.747865;0.811241;0.749246;0.774927;0.681906;0.871521;0.659746;0.782528;0.778686;0.840662;0.709000;0.843407;0.700481;0.740234;0.782675;0.713670;0.779332;0.712775;0.802586;0.793352;0.640338;0.701430
