Taxonomy	reERR4183438	reERR4183440	reERR4183441	reERR4183442	reERR4183443	reERR4183444	reERR4183445	reERR4183446	reERR4183447	reERR4183448	reERR4183449	reERR4183450	reERR4183451	reERR4183452	reERR4183454	reERR4183455	reERR4183456	reERR4183457	reERR4183459	reERR4183460	reERR4183461	reERR4183462	reERR4183463	reERR4183464	reERR4183465	reERR4183466	reERR4183467	reERR4183468	reERR4183470	reERR4183471	reERR4183473	reERR4183474	reERR4183475	reERR4183477	reERR4183478	reERR4183480	reERR4183481	reERR4183482	reERR4183484	reERR4183486	reERR4183488	reERR4183490	reERR4183491	reERR4183492	reERR4183493	reERR4183494	reERR4183495	reERR4183497	reERR4183498	reERR4183499
k__Bacteria	9.57027317571917	12.6992516229636	18.6505227466352	42.7108924575233	28.8903556423546	15.8131023129955	24.2091055750427	33.9192909678106	24.831811517378	21.664816777402	57.3845357450797	44.2960199475216	34.1517638493263	31.3687702706609	54.8901690788311	55.7790195162538	18.9892081290955	24.9345424224004	49.008411442228	55.1423221203305	18.6364617436419	17.6641250915201	40.0564284053622	40.6132118279714	25.8376422777832	16.8505271073745	13.8318922398446	42.5709557426379	18.4666075502656	28.3732615140013	30.6169004830824	21.8478225403241	9.80047348707491	19.8450401697194	20.7663642563768	30.8156226260955	50.2498328809584	16.2800091746561	26.1699504126668	30.1496670459818	12.9710019037189	9.11453927054135	26.2180165465618	29.0869478556768	36.1086858483179	23.9610056213187	25.4198356282011	12.5912401170157	21.9094504163663	12.7617911415378
k__Bacteria|p__Actinobacteriota	0.134856401483689	0.470568056338069	0.876622537564372	0.1017685236536	7.72209046933016	0	0.106044430075714	0.584576608939571	4.77984590760781	0.0640517550843042	2.43238173661822	0.45003308244733	1.76889952041332	4.70771711674247	3.67634155057298	1.11321657593461	0	0.949874409840512	1.30081169548871	0.790966452969962	1.02656250215391	1.30431830725416	0.501439148476232	0.551640189337974	4.45684011319244	2.7555182381215	0.165933512942106	0.415775816558712	2.13382429618387	0.204692395893956	1.12729785041663	4.09900217337742	0.563814361910435	2.0015329548558	2.58445304774929	3.23894469770547	3.71412537542554	1.46842914693263	8.25333219241282	0	0	0.072743972411382	2.85213010628099	3.26803909192041	1.54147142561572	1.588062534056	0.690367192497773	0.287343310957214	0.758876471253498	0.778756344295952
k__Bacteria|p__Actinobacteriota|c__Actinomycetia	0.134856401483689	0	0.654011882567696	0.1017685236536	0	0	0	0	0	0	1.17522802497425	0.111157746921584	0	0	1.52863701497574	0.219835709810353	0	0	0.148781742425668	0.456820088620663	0	0	0.303519820374506	0.551640189337974	0	0	0.165933512942106	0	0	0	0.319656555482194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales	0.134856401483689	0	0.654011882567696	0.1017685236536	0	0	0	0	0	0	1.17522802497425	0.111157746921584	0	0	1.52863701497574	0.219835709810353	0	0	0.148781742425668	0.456820088620663	0	0	0.303519820374506	0.551640189337974	0	0	0.165933512942106	0	0	0	0.319656555482194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae	0.134856401483689	0	0.654011882567696	0.1017685236536	0	0	0	0	0	0	1.17522802497425	0.111157746921584	0	0	1.52863701497574	0.219835709810353	0	0	0.148781742425668	0.456820088620663	0	0	0.303519820374506	0.551640189337974	0	0	0.165933512942106	0	0	0	0.319656555482194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium	0.134856401483689	0	0.654011882567696	0.1017685236536	0	0	0	0	0	0	1.17522802497425	0.111157746921584	0	0	1.52863701497574	0.219835709810353	0	0	0.148781742425668	0.456820088620663	0	0	0.303519820374506	0.551640189337974	0	0	0.165933512942106	0	0	0	0.319656555482194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129732591372567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium animalis	0	0	0	0	0	0	0	0	0	0	0.31579919371847	0	0	0	1.37507195696529	0	0	0	0.148781742425668	0	0	0	0	0	0	0	0	0	0	0	0.319656555482194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium globosum	0.134856401483689	0	0.654011882567696	0.1017685236536	0	0	0	0	0	0	0.859428831255784	0	0	0	0	0.219835709810353	0	0	0	0.456820088620663	0	0	0	0.421907597965407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudocatenulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165933512942106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
