Taxa	reERR1346801	reERR1346802	reERR1346803	reERR1346804	reERR1346805	reERR1346806	reERR1346807	reERR1346808	reERR1346809	reERR1346810	reERR1346811	reERR1346812	reERR1346813	reERR1346814	reERR1346815	reERR1346816	reERR1346817	reERR1346818	reERR1346819	reERR1346820	reERR1346821	reERR1346822	reERR1346823	reERR1346824	reERR1346825	reERR1346826	reERR1346827	reERR1346828	reERR1346829	reERR1346830	reERR1346831	reERR1346832	reERR1346833	reERR1346834	reERR1346835	reERR1346836	reERR1346837	reERR1346838	reERR1346839	reERR1346840	reERR1346841	reERR1346842	reERR1346843	reERR1346844	reERR1346845	reERR1346846	reERR1346847	reERR1346848	reERR1346849	reERR1346850	reERR1346851	reERR1346852	reERR1346853	reERR1346854	reERR1346855	reERR1346856	reERR1346857	reERR1346858	reERR1346859	reERR1346860	reERR1346861	reERR1346862	reERR1346863	reERR1346864	reERR1346865	reERR1346866	reERR1346867	reERR1346868	reERR1346869	reERR1346870	reERR1346871	reERR1346872	reERR1346873	reERR1346874	reERR1346875	reERR1346876	reERR1346877	reERR1346878	reERR1346879	reERR1346880	reERR1346881	reERR1346882	reERR1346883	reERR1346884	reERR1346887	reERR1346888	reERR1346889	reERR1346890	reERR1346891	reERR1346892
k__archaea	0.0735866406369026	0.0762022950356385	0.113305866944135	0.0436328244764317	0.104189576591036	0.0760499621835654	0.0600488242172159	0.0690602641920633	0.0712594312489754	0.0423311678469668	0.0822876280966163	0.0992732055449757	0.0374162633751986	0.0619496696993509	0.0938444833950397	0.144937696616408	0.11513957025894	0.0896735421437536	0.0499967272108717	0.084914178510081	0.0702437881138872	0.137393494865306	0.0423114588517776	0.0859903194570519	0.0573806555310495	0.0981782681984158	0.0684480688153068	0.161696904060363	0.0462607733187496	0.187256303461554	0.0700927148988154	0.0790654276829571	0.0968363280322371	0.159831282220565	0.0665474389042021	0.167496765934997	0.0643903592344983	0.0544743354965284	0.063948544676321	0.0592199116087108	0.0547832826820583	0.0710958454262719	0.0459384973151254	0.0652429307300816	0.0513031184380024	0.0554167611423102	0.0819900323702325	0.0942035589019296	0.0539808243162953	0.0676902962306589	0.0728344003261723	0	0	0.0601749935111264	0.0762785239730225	0.0711553701638479	0.0781274263094631	0.0908759131497626	0.0612094873770574	0.067035285694126	0.0500958898136554	0.0385472824318246	0.0790826854123522	0.065157291760911	0.0525445629243083	0.05317500875577	0.0677624852741678	0.0523712474337739	0.0651172989235162	0.0409803065794976	0.0665615143055268	0.0604033231920686	0.0672175449421632	0.0534324824224479	0	0.0363759293301406	0.0542739552612776	0	0.0447219472079492	0.0367211270372412	0.0461554766764729	0.0646374601508595	0.134372368984685	0.120075525128166	0.0642672842182161	0.0696836162046556	0.0674890431122017	0.0643245124608602	0.0533432520402239	0.0532027635110791
k__archaea|p__candidatus_korarchaeota	3.69311967864541e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14191778497411e-05	0	2.87266757347206e-05	2.60752889636361e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.28424465804656e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.38879364081357e-05	0	0	0	0	0	0	0	0	0	2.90733325874408e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum	3.69311967864541e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14191778497411e-05	0	2.87266757347206e-05	2.60752889636361e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.28424465804656e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.38879364081357e-05	0	0	0	0	0	0	0	0	0	2.90733325874408e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum|s__candidatus_korarchaeum_cryptofilum	3.69311967864541e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14191778497411e-05	0	2.87266757347206e-05	2.60752889636361e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.28424465804656e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.38879364081357e-05	0	0	0	0	0	0	0	0	0	2.90733325874408e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_lokiarchaeota	2.95449574291633e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.88987302676466e-05	4.55519714589568e-05	1.71287667746117e-05	0	2.35969122106634e-05	2.60752889636361e-05	0	0	0	0	3.99441033630139e-05	0	0	2.99879274601631e-05	0	1.96929479494314e-05	0	0	1.28424465804656e-05	0	0	0	0	0	0	2.56825077032706e-05	0	0	3.55989732939667e-05	0	0	0	0	2.36697315024007e-05	4.53845735070316e-05	0	0	0	0	2.99095350221812e-05	0	0	0	0	0	2.02213989746187e-05	0	0	0	0	0	0	0	2.28558168932514e-05	0	0	6.38953361864731e-05	0	0	0	0	2.38135093594077e-05	0	0	0	0	0	0	0	0	3.0029610893667e-05	0	0	1.48067390099706e-05	0	0
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	2.95449574291633e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.88987302676466e-05	4.55519714589568e-05	1.71287667746117e-05	0	2.35969122106634e-05	2.60752889636361e-05	0	0	0	0	3.99441033630139e-05	0	0	2.99879274601631e-05	0	1.96929479494314e-05	0	0	1.28424465804656e-05	0	0	0	0	0	0	2.56825077032706e-05	0	0	3.55989732939667e-05	0	0	0	0	2.36697315024007e-05	4.53845735070316e-05	0	0	0	0	2.99095350221812e-05	0	0	0	0	0	2.02213989746187e-05	0	0	0	0	0	0	0	2.28558168932514e-05	0	0	6.38953361864731e-05	0	0	0	0	2.38135093594077e-05	0	0	0	0	0	0	0	0	3.0029610893667e-05	0	0	1.48067390099706e-05	0	0
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	2.95449574291633e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.88987302676466e-05	4.55519714589568e-05	1.71287667746117e-05	0	2.35969122106634e-05	2.60752889636361e-05	0	0	0	0	3.99441033630139e-05	0	0	2.99879274601631e-05	0	1.96929479494314e-05	0	0	1.28424465804656e-05	0	0	0	0	0	0	2.56825077032706e-05	0	0	3.55989732939667e-05	0	0	0	0	2.36697315024007e-05	4.53845735070316e-05	0	0	0	0	2.99095350221812e-05	0	0	0	0	0	2.02213989746187e-05	0	0	0	0	0	0	0	2.28558168932514e-05	0	0	6.38953361864731e-05	0	0	0	0	2.38135093594077e-05	0	0	0	0	0	0	0	0	3.0029610893667e-05	0	0	1.48067390099706e-05	0	0
k__archaea|p__candidatus_micrarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64150681590029e-05	0	1.33373851625489e-05	0	0	0	0	0	2.09231017615787e-05	0	0	0	0	0	2.04769836105216e-05	0	1.81934659889929e-05	0	0	0	0	0	0	0	0	0	0	0	0	9.20544205021764e-05	0	0	2.47552219129264e-05	0	0	0	0	0	0	0	0	0	0	1.75252124446695e-05	0	0	5.73919168414082e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36516795681149e-05	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85068477169702e-06	0	1.33373851625489e-05	0	0	0	0	0	2.09231017615787e-05	0	0	0	0	0	2.04769836105216e-05	0	1.07020388170546e-05	0	0	0	0	0	0	0	0	0	0	0	0	9.20544205021764e-05	0	0	2.47552219129264e-05	0	0	0	0	0	0	0	0	0	0	1.75252124446695e-05	0	0	3.03839559748632e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36516795681149e-05	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85068477169702e-06	0	1.33373851625489e-05	0	0	0	0	0	2.09231017615787e-05	0	0	0	0	0	2.04769836105216e-05	0	1.07020388170546e-05	0	0	0	0	0	0	0	0	0	0	0	0	9.20544205021764e-05	0	0	2.47552219129264e-05	0	0	0	0	0	0	0	0	0	0	1.75252124446695e-05	0	0	3.03839559748632e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36516795681149e-05	0	0
