;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61;ID62;ID63;ID64;ID65;ID66;ID67;ID68;ID69;ID70;ID71;ID72;ID73;ID74;ID75;ID76;ID77;ID78;ID79;ID80;ID81;ID82;ID83;ID84;ID85;ID86;ID87;ID88;ID89
ID0;0.000000;0.989833;0.978551;0.904000;0.912693;0.987966;0.950801;0.988837;0.982868;0.988700;0.991009;0.991437;0.990686;0.991912;0.986352;0.976532;0.982615;0.981449;0.909862;0.906649;0.988264;0.977978;0.917901;0.990300;0.959360;0.993333;0.980676;0.976438;0.992021;0.977639;0.983467;0.988024;0.983046;0.981883;0.989269;0.970694;0.987755;0.988633;0.989586;0.988809;0.995464;0.992519;0.990425;0.995562;0.982858;0.994229;0.994887;0.986164;0.981085;0.982631;0.985665;0.999808;0.999345;0.990371;0.994789;0.984287;0.991581;0.991498;0.993054;0.991357;0.990514;0.998534;0.989134;0.993819;0.991978;0.991173;0.990013;0.990019;0.994308;0.989957;0.995069;0.993297;0.988255;0.993860;0.999488;0.985256;0.993951;0.999896;0.991266;0.998626;0.998647;0.989483;0.997165;0.997854;0.988219;0.991647;0.989357;0.987926;0.992767;0.990856
ID1;0.989833;0.000000;0.949966;0.990096;0.985324;0.737051;0.975181;0.948907;0.956925;0.965335;0.990303;0.983130;0.982116;0.977709;0.978949;0.976014;0.973139;0.978327;0.987854;0.987125;0.845983;0.958804;0.988811;0.850437;0.989564;0.848549;0.966214;0.972756;0.984400;0.974177;0.978113;0.960398;0.973452;0.968612;0.969088;0.959661;0.968330;0.964512;0.986639;0.984446;0.993484;0.990523;0.990755;0.997164;0.988300;0.992287;0.993925;0.984848;0.988557;0.986700;0.992251;0.999728;0.999223;0.987343;0.994165;0.988612;0.990721;0.991835;0.991940;0.990628;0.990254;0.998510;0.990004;0.993470;0.991106;0.990910;0.989110;0.990011;0.994797;0.990063;0.994953;0.993046;0.987721;0.993102;0.999566;0.988258;0.994421;0.999902;0.990966;0.998649;0.998586;0.989468;0.997339;0.997422;0.985792;0.989556;0.988678;0.988915;0.993572;0.991395
ID2;0.978551;0.949966;0.000000;0.983562;0.956170;0.958735;0.977670;0.967835;0.964384;0.971267;0.979060;0.975660;0.978480;0.977046;0.974847;0.953266;0.970604;0.939492;0.983746;0.963118;0.968562;0.911906;0.976338;0.970542;0.977657;0.980593;0.965554;0.952241;0.983836;0.945374;0.970893;0.974415;0.976467;0.953017;0.981019;0.950873;0.973166;0.978858;0.974385;0.967972;0.977335;0.982330;0.984748;0.992493;0.980277;0.971722;0.983687;0.966627;0.972822;0.971222;0.974465;0.998866;0.997880;0.977087;0.987296;0.970935;0.982919;0.979377;0.987650;0.983938;0.980439;0.995932;0.977926;0.986941;0.985257;0.983856;0.981001;0.984209;0.988176;0.983756;0.986708;0.984026;0.973139;0.985001;0.998670;0.978596;0.989633;0.999709;0.986515;0.996314;0.996711;0.980547;0.991045;0.990437;0.970495;0.977946;0.977609;0.977190;0.988914;0.981180
ID3;0.904000;0.990096;0.983562;0.000000;0.923354;0.988130;0.941443;0.988793;0.979865;0.989061;0.992805;0.992998;0.988107;0.992263;0.986990;0.980316;0.982701;0.986146;0.851004;0.931535;0.989181;0.982078;0.893729;0.987350;0.963903;0.992152;0.978591;0.979451;0.988206;0.980527;0.984064;0.988836;0.981993;0.986028;0.986108;0.976441;0.986945;0.985994;0.990357;0.988984;0.996170;0.993197;0.990623;0.997158;0.985216;0.995150;0.995751;0.986010;0.985322;0.983648;0.990345;0.999839;0.999487;0.990366;0.995480;0.988149;0.992353;0.992370;0.993000;0.991343;0.990968;0.998795;0.989772;0.994364;0.992108;0.991543;0.990678;0.989545;0.995143;0.989973;0.995644;0.994137;0.989530;0.994609;0.999608;0.986050;0.994892;0.999919;0.991286;0.998872;0.998880;0.990526;0.997805;0.998253;0.981560;0.991613;0.990434;0.988638;0.992802;0.991887
ID4;0.912693;0.985324;0.956170;0.923354;0.000000;0.983673;0.970798;0.984548;0.973783;0.985624;0.987036;0.987171;0.985749;0.988550;0.980461;0.954869;0.968834;0.966995;0.944492;0.838577;0.985803;0.955282;0.940063;0.985781;0.961894;0.990023;0.969828;0.954594;0.988295;0.953507;0.973742;0.981353;0.969520;0.966793;0.985441;0.936931;0.982839;0.984893;0.983369;0.981166;0.992794;0.987897;0.984760;0.992266;0.969101;0.989737;0.992002;0.975806;0.961852;0.970039;0.967670;0.999696;0.999086;0.984430;0.991440;0.970165;0.987027;0.984208;0.989120;0.985197;0.986263;0.997663;0.979709;0.990166;0.987260;0.984905;0.984462;0.984470;0.989482;0.984118;0.991821;0.989201;0.980302;0.990723;0.999273;0.978196;0.990664;0.999851;0.986414;0.997943;0.998069;0.984363;0.994887;0.996164;0.979896;0.985024;0.983698;0.977943;0.990505;0.986603
ID5;0.987966;0.737051;0.958735;0.988130;0.983673;0.000000;0.971477;0.935762;0.955983;0.965191;0.988808;0.983465;0.980598;0.977155;0.977410;0.973910;0.973478;0.977131;0.985597;0.985143;0.718938;0.948489;0.986409;0.726650;0.987064;0.803839;0.964785;0.970955;0.982950;0.973010;0.976825;0.962055;0.973576;0.969512;0.969330;0.959338;0.968045;0.964033;0.986013;0.984420;0.993610;0.990006;0.990006;0.996922;0.987302;0.991744;0.993185;0.984678;0.987431;0.985225;0.991502;0.999737;0.999161;0.986699;0.993472;0.987603;0.990416;0.991658;0.991631;0.990292;0.988956;0.998352;0.989676;0.993075;0.990641;0.990199;0.987779;0.989069;0.994279;0.988941;0.994811;0.992713;0.987084;0.992541;0.999519;0.987038;0.993830;0.999895;0.990327;0.998551;0.998453;0.988212;0.997243;0.997303;0.983823;0.988405;0.987158;0.988397;0.992654;0.990268
ID6;0.950801;0.975181;0.977670;0.941443;0.970798;0.971477;0.000000;0.967728;0.966333;0.976467;0.987275;0.986249;0.981356;0.983084;0.978699;0.973473;0.981047;0.978394;0.937544;0.966494;0.976073;0.976206;0.923360;0.974702;0.923216;0.973588;0.967135;0.972277;0.986711;0.976537;0.978948;0.981197;0.981049;0.974270;0.969935;0.963368;0.967946;0.960730;0.987069;0.986842;0.994699;0.990424;0.989869;0.996110;0.985776;0.994148;0.993352;0.986014;0.985441;0.982732;0.987962;0.999765;0.999102;0.987857;0.993537;0.985555;0.990727;0.992075;0.992144;0.990934;0.987719;0.998071;0.990318;0.993106;0.990782;0.990310;0.986741;0.988340;0.993341;0.987558;0.994985;0.992822;0.987406;0.992466;0.999363;0.985165;0.993092;0.999870;0.990253;0.998319;0.998250;0.986736;0.997147;0.997767;0.987445;0.990539;0.986688;0.988981;0.990065;0.988582
ID7;0.988837;0.948907;0.967835;0.988793;0.984548;0.935762;0.967728;0.000000;0.945831;0.936907;0.980971;0.974591;0.970452;0.959668;0.970914;0.968704;0.973386;0.967064;0.989033;0.985724;0.971271;0.972530;0.984734;0.966425;0.986932;0.962518;0.958541;0.965302;0.975532;0.968354;0.971807;0.969976;0.978755;0.960788;0.968372;0.959879;0.957724;0.963385;0.983290;0.983941;0.991331;0.987475;0.988824;0.995523;0.987033;0.992458;0.990806;0.984652;0.986031;0.982329;0.988155;0.999619;0.998644;0.984327;0.991163;0.983553;0.989112;0.990758;0.991209;0.990219;0.984892;0.997200;0.988800;0.991394;0.990349;0.989449;0.984680;0.988035;0.991619;0.987074;0.993366;0.991011;0.985182;0.990172;0.999136;0.985188;0.991863;0.999810;0.989281;0.997520;0.997450;0.984338;0.995963;0.996786;0.986309;0.989431;0.983056;0.987905;0.989426;0.986647
ID8;0.982868;0.956925;0.964384;0.979865;0.973783;0.955983;0.966333;0.945831;0.000000;0.928817;0.968313;0.967393;0.939807;0.954623;0.928855;0.941142;0.956587;0.962733;0.982791;0.977190;0.968055;0.964989;0.976149;0.962767;0.981803;0.960311;0.843304;0.938637;0.967130;0.952046;0.941974;0.953581;0.966178;0.954098;0.952509;0.939885;0.942368;0.948833;0.982290;0.981992;0.992089;0.988263;0.985364;0.994751;0.981314;0.991506;0.991486;0.982145;0.980476;0.978354;0.985947;0.999674;0.998848;0.984910;0.992042;0.979997;0.985614;0.986484;0.988874;0.986348;0.977359;0.996427;0.983048;0.989929;0.988262;0.987080;0.980061;0.980715;0.987769;0.979736;0.991730;0.988876;0.980844;0.989292;0.998974;0.975778;0.991594;0.999811;0.986386;0.997367;0.997454;0.980621;0.995415;0.996754;0.983618;0.988223;0.981699;0.982323;0.988986;0.984734
ID9;0.988700;0.965335;0.971267;0.989061;0.985624;0.965191;0.976467;0.936907;0.928817;0.000000;0.975603;0.964387;0.942831;0.861239;0.965703;0.966625;0.973061;0.966049;0.989696;0.986243;0.973568;0.974480;0.984758;0.969768;0.988086;0.973556;0.948361;0.964376;0.936802;0.962157;0.964377;0.962954;0.976166;0.963450;0.957382;0.965522;0.958109;0.959517;0.985240;0.984857;0.992286;0.989091;0.989680;0.995687;0.987865;0.993240;0.990932;0.986295;0.987266;0.983429;0.988663;0.999616;0.998578;0.986746;0.992110;0.984231;0.988632;0.990312;0.991408;0.990200;0.983367;0.996841;0.987495;0.990978;0.990380;0.989577;0.985089;0.987798;0.991345;0.987019;0.992728;0.990112;0.984348;0.989442;0.998965;0.984121;0.992292;0.999804;0.990026;0.997398;0.997307;0.984247;0.995586;0.997150;0.987879;0.991105;0.981405;0.987311;0.989727;0.986533
