Taxonomy	reERR1346803	reERR1346806	reERR1346807	reERR1346808	reERR1346810	reERR1346811	reERR1346812	reERR1346813	reERR1346814	reERR1346818	reERR1346821	reERR1346823	reERR1346824	reERR1346829	reERR1346834	reERR1346837	reERR1346839	reERR1346841	reERR1346842	reERR1346846	reERR1346847	reERR1346850	reERR1346851	reERR1346854	reERR1346855	reERR1346856	reERR1346857	reERR1346861	reERR1346862	reERR1346864	reERR1346867	reERR1346869	reERR1346871	reERR1346874	reERR1346877	reERR1346878	reERR1346880	reERR1346881	reERR1346882	reERR1346883	reERR1346884	reERR1346889	reERR1346891	reERR1346892	reERR1346862.1	reERR1346869.1	reERR1346871.1	reERR1346878.1	reERR1346880.1	reERR1346881.1	reERR1346884
k__Bacteria	3.22976315691664	12.6412784661456	32.3447969600792	25.0826616482083	8.65949724726891	1.87643655732181	1.97494342657378	0	27.0523054592296	1.98868158217705	33.7771091064655	9.81491422222995	26.5912937215094	22.0848812282357	2.61074567417271	10.7359321158714	26.0291150137798	0	0	0	0	0.927792723305172	0	25.9257616064252	0	1.66062643867153	3.94683540869026	1.08005212060453	0	0	4.12009749930672	0	0	0	0	0	0	0	7.77354377185962	0	0	13.0288433769737	37.4876426593763	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria	1.7782618611309	4.54938243972678	1.33138373364028	5.53539829214801	0	0	0	0	6.68154171990589	1.11164189422023	0.983010546022942	3.04785965425672	5.59468620020034	17.4099158195378	0	0	4.04229766710167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.68188417823578	11.1332770273297	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0	0	0	5.53539829214801	0	0	0	0	6.68154171990589	0	0.55441902788907	3.04785965425672	4.98755922881252	17.4099158195378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.06990079202846	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.06990079202846	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.06990079202846	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Nocardia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.06990079202846	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0	0	0	5.53539829214801	0	0	0	0	0	0	0.55441902788907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae	0	0	0	5.53539829214801	0	0	0	0	0	0	0.55441902788907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales	0	0	0	0	0	0	0	0	6.68154171990589	0	0	3.04785965425672	4.98755922881252	17.4099158195378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae	0	0	0	0	0	0	0	0	6.68154171990589	0	0	3.04785965425672	4.98755922881252	17.4099158195378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
