Taxa	reSRR9697535	reSRR9697536	reSRR9697537	reSRR9697538	reSRR9697539	reSRR9697540	reSRR9697541	reSRR9697542	reSRR9697543	reSRR9697544	reSRR9697545	reSRR9697546	reSRR9697547	reSRR9697548	reSRR9697549	reSRR9697550	reSRR9697551	reSRR9697552	reSRR9697553	reSRR9697554	reSRR9697555	reSRR9697556	reSRR9697557	reSRR9697558	reSRR9697559	reSRR9697560	reSRR9697561	reSRR9697562	reSRR9697563	reSRR9697564	reSRR9697566	reSRR9697567	reSRR9697568	reSRR9697569
k__archaea	0.126298086707758	0.149424150375329	0.124672497284944	0.153961129157381	0.236923454542691	0.151436969646304	0.272411774484625	0.176397788095723	0.16503493592871	0.0726474359102053	0.217446171115615	0.106498826232047	0.129557775809665	0.0945291010439838	0.0959317447061749	0.164461488001053	0.131115011031555	0.134094483346366	0.180427881092933	0.228562642413068	0.155583537064143	0.117004812244454	0.0878811691887332	0.109478288967915	0.173914910519705	0.250700542674839	0.15049251967435	0.0922173909250619	0.0919859758641805	0.155877975473914	0.240296660402222	0.206859152015939	0.0924033991772858	0.106502662917706
k__archaea|p__candidatus_korarchaeota	1.27599602654837e-05	8.18852205037972e-05	2.1025211751916e-05	4.30660501139528e-05	0	0	1.42571714285144e-05	0	7.85319704633406e-05	0	2.14493313170962e-05	3.8989136456909e-05	0	0.00016945037319024	2.71492131615042e-05	1.16227200000744e-05	2.30592703185992e-05	8.23676187631239e-05	3.08687563888679e-05	4.67822833621616e-05	0	2.70875824156625e-05	1.95334894840483e-05	0	1.2483125934518e-05	1.89939042862974e-05	4.7634767092188e-05	2.29567814102718e-05	0	2.7515970957443e-05	5.42063298899666e-05	0	1.74148886500727e-05	3.12118581339897e-05
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum	1.27599602654837e-05	8.18852205037972e-05	2.1025211751916e-05	4.30660501139528e-05	0	0	1.42571714285144e-05	0	7.85319704633406e-05	0	2.14493313170962e-05	3.8989136456909e-05	0	0.00016945037319024	2.71492131615042e-05	1.16227200000744e-05	2.30592703185992e-05	8.23676187631239e-05	3.08687563888679e-05	4.67822833621616e-05	0	2.70875824156625e-05	1.95334894840483e-05	0	1.2483125934518e-05	1.89939042862974e-05	4.7634767092188e-05	2.29567814102718e-05	0	2.7515970957443e-05	5.42063298899666e-05	0	1.74148886500727e-05	3.12118581339897e-05
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum|s__candidatus_korarchaeum_cryptofilum	1.27599602654837e-05	8.18852205037972e-05	2.1025211751916e-05	4.30660501139528e-05	0	0	1.42571714285144e-05	0	7.85319704633406e-05	0	2.14493313170962e-05	3.8989136456909e-05	0	0.00016945037319024	2.71492131615042e-05	1.16227200000744e-05	2.30592703185992e-05	8.23676187631239e-05	3.08687563888679e-05	4.67822833621616e-05	0	2.70875824156625e-05	1.95334894840483e-05	0	1.2483125934518e-05	1.89939042862974e-05	4.7634767092188e-05	2.29567814102718e-05	0	2.7515970957443e-05	5.42063298899666e-05	0	1.74148886500727e-05	3.12118581339897e-05
k__archaea|p__candidatus_lokiarchaeota	0.000191399403982256	0.000131016352806075	0.000651781564309395	8.61321002279055e-05	0.00016330019135014	0.000192178895490234	5.70286857140576e-05	0.000150285655459615	0.000117797955695011	0.000214525227323956	0.000157295096325372	0.000341154943997954	0.000236678435896356	0.000702008688930993	0.000135746065807521	0.000220831680001413	0.000215219856306926	0.000192191110447289	0.000169778160138774	0.000109158661178377	6.67568596344902e-05	0.000135437912078312	0.000214868384324531	8.64757416808175e-05	8.11403185743671e-05	5.69817128588922e-05	0.000109559964312032	0.000206611032692446	0.000270945437007895	8.25479128723289e-05	8.13094948349498e-05	0.000128375731558276	0.000278638218401163	0.000351133404007384
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0.000191399403982256	0.000131016352806075	0.000651781564309395	8.61321002279055e-05	0.00016330019135014	0.000192178895490234	5.70286857140576e-05	0.000150285655459615	0.000117797955695011	0.000214525227323956	0.000157295096325372	0.000341154943997954	0.000236678435896356	0.000702008688930993	0.000135746065807521	0.000220831680001413	0.000215219856306926	0.000192191110447289	0.000169778160138774	0.000109158661178377	6.67568596344902e-05	0.000135437912078312	0.000214868384324531	8.64757416808175e-05	8.11403185743671e-05	5.69817128588922e-05	0.000109559964312032	0.000206611032692446	0.000270945437007895	8.25479128723289e-05	8.13094948349498e-05	0.000128375731558276	0.000278638218401163	0.000351133404007384
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0.000191399403982256	0.000131016352806075	0.000651781564309395	8.61321002279055e-05	0.00016330019135014	0.000192178895490234	5.70286857140576e-05	0.000150285655459615	0.000117797955695011	0.000214525227323956	0.000157295096325372	0.000341154943997954	0.000236678435896356	0.000702008688930993	0.000135746065807521	0.000220831680001413	0.000215219856306926	0.000192191110447289	0.000169778160138774	0.000109158661178377	6.67568596344902e-05	0.000135437912078312	0.000214868384324531	8.64757416808175e-05	8.11403185743671e-05	5.69817128588922e-05	0.000109559964312032	0.000206611032692446	0.000270945437007895	8.25479128723289e-05	8.13094948349498e-05	0.000128375731558276	0.000278638218401163	0.000351133404007384
k__archaea|p__candidatus_micrarchaeota	8.93197218583861e-05	8.18852205037972e-05	6.30756352557479e-05	4.30660501139528e-05	2.51231063615599e-05	3.2029815915039e-05	1.42571714285144e-05	7.51428277298074e-05	5.88989778475054e-05	3.06464610462794e-05	3.57488855284936e-05	9.74728411422725e-05	0.000142007061537813	0.000121035980850171	5.42984263230083e-05	3.48681600002232e-05	3.84321171976653e-05	0	3.08687563888679e-05	7.79704722702694e-05	1.3351371926898e-05	0	5.86004684521448e-05	2.88252472269392e-05	1.2483125934518e-05	3.79878085725948e-05	4.28712903829692e-05	9.94793861111779e-05	6.77363592519738e-05	0	2.71031649449833e-05	2.75090853339163e-05	5.22446659502181e-05	2.34088936004923e-05
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	3.82798807964512e-05	1.63770441007594e-05	2.1025211751916e-05	2.87107000759685e-05	0	0	1.42571714285144e-05	0	1.96329926158351e-05	3.06464610462794e-05	2.14493313170962e-05	4.87364205711363e-05	0.000142007061537813	2.42071961700343e-05	4.07238197422562e-05	3.48681600002232e-05	2.30592703185992e-05	0	1.5434378194434e-05	4.67822833621616e-05	0	0	1.95334894840483e-05	2.88252472269392e-05	6.24156296725901e-06	0	1.42904301276564e-05	8.80009954060419e-05	0	0	2.71031649449833e-05	1.83393902226109e-05	3.48297773001454e-05	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	3.82798807964512e-05	1.63770441007594e-05	2.1025211751916e-05	2.87107000759685e-05	0	0	1.42571714285144e-05	0	1.96329926158351e-05	3.06464610462794e-05	2.14493313170962e-05	4.87364205711363e-05	0.000142007061537813	2.42071961700343e-05	4.07238197422562e-05	3.48681600002232e-05	2.30592703185992e-05	0	1.5434378194434e-05	4.67822833621616e-05	0	0	1.95334894840483e-05	2.88252472269392e-05	6.24156296725901e-06	0	1.42904301276564e-05	8.80009954060419e-05	0	0	2.71031649449833e-05	1.83393902226109e-05	3.48297773001454e-05	0
