Taxa	reSRR9697535	reSRR9697536	reSRR9697537	reSRR9697538	reSRR9697539	reSRR9697540	reSRR9697541	reSRR9697542	reSRR9697543	reSRR9697544	reSRR9697545	reSRR9697546	reSRR9697547	reSRR9697548	reSRR9697549	reSRR9697550	reSRR9697551	reSRR9697552	reSRR9697553	reSRR9697554	reSRR9697555	reSRR9697556	reSRR9697557	reSRR9697558	reSRR9697559	reSRR9697560	reSRR9697561	reSRR9697562	reSRR9697563	reSRR9697564	reSRR9697566	reSRR9697567	reSRR9697568	reSRR9697569
k__archaea	0.0147760339874302	0.0167373390709761	0.0224619345549635	0.0169967344449734	0.0413651946243084	0.00835978195382518	0.0502565292855133	0.0191989924849658	0.0243252778510197	0.00543974683571459	0.061774074193237	0.0106147924003935	0.00350284085126606	0.000847251865951199	0.00571490937049662	0.0179571024001149	0.0136203423348526	0.0063148507718395	0.0329369630669221	0.0535813085441291	0.0123900731481614	0.00709694659290357	0.0033988271702244	0.00524619499530293	0.0380298431595091	0.0530689685759149	0.0204972402797685	0.0111665610909797	0.00697986928895913	0.00775950380999892	0.0402481999433002	0.0340012294727205	0.00405766905546694	0.0132806456360126
k__archaea|p__candidatus_lokiarchaeota	0	0	7.00840391730532e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0	0	7.00840391730532e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0	0	7.00840391730532e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota	0	0	0.000168201694015328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.19251972198444e-05	0.000118610037286404	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei	0	0	0.000168201694015328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.19251972198444e-05	0.000118610037286404	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.93050186432022e-05	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.93050186432022e-05	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__staphylothermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.93050186432022e-05	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__staphylothermus|s__staphylothermus_hellenicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.93050186432022e-05	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__fervidicoccales	0	0	7.70924430903585e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__fervidicoccales|f__fervidicoccaceae	0	0	7.70924430903585e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__fervidicoccales|f__fervidicoccaceae|g__fervidicoccus	0	0	7.70924430903585e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__fervidicoccales|f__fervidicoccaceae|g__fervidicoccus|s__fervidicoccus_fontis	0	0	7.70924430903585e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales	0	0	9.11092509249692e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25221069978851e-05	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae	0	0	9.11092509249692e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25221069978851e-05	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae|g__acidianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25221069978851e-05	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae|g__acidianus|s__acidianus_manzaensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25221069978851e-05	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae|g__saccharolobus	0	0	9.11092509249692e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae|g__saccharolobus|s__saccharolobus_caldissimus	0	0	9.11092509249692e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.19251972198444e-05	2.67829116453171e-05	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.19251972198444e-05	2.67829116453171e-05	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__pyrobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67829116453171e-05	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__pyrobaculum|s__pyrobaculum_neutrophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67829116453171e-05	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__thermoproteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.19251972198444e-05	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__thermoproteus|s__thermoproteus_uzoniensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.19251972198444e-05	0	0	0	0	0	0	0
