#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reSRR9697569_taxonomic_profile	reSRR9697568_taxonomic_profile	reSRR9697567_taxonomic_profile	reSRR9697566_taxonomic_profile	reSRR9697564_taxonomic_profile	reSRR9697563_taxonomic_profile	reSRR9697562_taxonomic_profile	reSRR9697561_taxonomic_profile	reSRR9697560_taxonomic_profile	reSRR9697559_taxonomic_profile	reSRR9697558_taxonomic_profile	reSRR9697557_taxonomic_profile	reSRR9697556_taxonomic_profile	reSRR9697555_taxonomic_profile	reSRR9697554_taxonomic_profile	reSRR9697553_taxonomic_profile	reSRR9697552_taxonomic_profile	reSRR9697551_taxonomic_profile	reSRR9697550_taxonomic_profile	reSRR9697549_taxonomic_profile	reSRR9697548_taxonomic_profile	reSRR9697547_taxonomic_profile	reSRR9697546_taxonomic_profile	reSRR9697545_taxonomic_profile	reSRR9697544_taxonomic_profile	reSRR9697543_taxonomic_profile	reSRR9697542_taxonomic_profile	reSRR9697541_taxonomic_profile	reSRR9697540_taxonomic_profile	reSRR9697539_taxonomic_profile	reSRR9697538_taxonomic_profile	reSRR9697537_taxonomic_profile	reSRR9697536_taxonomic_profile	reSRR9697535_taxonomic_profile
UNKNOWN	-1	91.03299999999999	90.96724	95.2506	96.59062	90.57242	77.35188000000001	83.17538	94.69125	94.87063	91.38566999999999	75.28191	82.61145	87.0483	94.39381	95.22375	94.40526	86.34541999999999	95.13065	94.1458	73.88923	95.74339	93.00718	86.83622	93.23784	74.10878000000001	92.86946	93.0072	91.81869	91.19105	91.44115	90.31571	90.26083	81.20456999999999	91.67749
k__Archaea	2157	0	0	0	0	0	0	0	0	0	0.02855132395440348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota	2157|651137	0	0	0	0	0	0	0	0	0	0.02855132395440348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	0	0	0	0	0	0	0	0	0	0.02855132395440348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	2157|651137|1643678|1033996	0	0	0	0	0	0	0	0	0	0.02855132395440348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae	2157|651137|1643678|1033996|1033997	0	0	0	0	0	0	0	0	0	0.02855132395440348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Candidatus_Nitrosocosmicus	2157|651137|1643678|1033996|1033997|1826864	0	0	0	0	0	0	0	0	0	0.02855132395440348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Candidatus_Nitrosocosmicus|s__Candidatus_Nitrosocosmicus_oleophilus	2157|651137|1643678|1033996|1033997|1826864|1353260	0	0	0	0	0	0	0	0	0	0.02855132395440348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	2	7.774076606976882	5.661220571792144	1.0614019351771644	0.8253069319030839	4.581662822266477	20.774310500128	8.900951181309564	4.131982233285656	2.8650644604140987	6.466457080834171	19.08612625518716	14.524784963491273	11.293333074792885	3.8296958250787	1.5741071875892891	1.8321692760346933	8.514545907371643	3.219046311498183	2.8829339627526367	25.4402602821442	0.448507125476492	2.71408016456428	11.933398971799425	5.7640195788497115	25.599701780798377	5.449570595597062	5.291958648526403	6.514244965986494	6.67411072216948	7.454816230054607	7.532422903455753	8.690070280023056	13.901548328797483	6.8900061054423665
k__Bacteria|p__Actinobacteria	2|201174	0.6912876001764138	0.07259090290955092	0.2287138712714597	0.08219872212594387	0.018388500002429628	0.23671360423079565	0.16513362109406424	0.4476138012449156	1.1788418750999614	0.7219899677749314	1.3047615932045944	0.4570092542764729	0.06977726667557384	0.1358251220376819	0.21562168686726166	0.07172619767915496	5.1201446836771085	0.4172671982613643	0.6359339631286044	0.10576169222447268	0	0	1.9185879151681493	0.4610588675710614	0.004574978358498921	0.18043980443201774	0.040555415399325466	0.8288555305002038	0	1.0763269415257553	1.95517163571872	0.04806959858500799	0.2526838306727749	0.07717627903421813
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.6651174088071625	0.02880638699776627	0.07216946513662703	0	0.018388500002429628	0.23671360423079565	0.1594721372939468	0.3098968094332	0.2333957319646066	0.6624641098044621	1.3047615932045944	0.4450807114439223	0.04891726375999534	0.1283044163490053	0	0	5.104131959488204	0.378851883262694	0.5242733242815065	0.09299613455787728	0	0	1.8750882066608123	0.34397343940624103	0.004574978358498921	0.06823786575302797	0	0.28793809597537945	0	0.833779357867639	1.8977050399499396	0.03142536494402927	0.21320967650776612	0.05336724881152356
k__Bacteria|p__Actinobacteria|c__Actinobacteria_unclassified	2|201174|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017707915837212953	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria_unclassified|o__Actinobacteria_unclassified	2|201174||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017707915837212953	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria_unclassified|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified	2|201174|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017707915837212953	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria_unclassified|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__Actinobacteria_unclassified	2|201174||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017707915837212953	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria_unclassified|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__Actinobacteria_unclassified|s__Actinobacteria_bacterium_HGW_Actinobacteria_11	2|201174|||||2013646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017707915837212953	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales	2|201174|1760|414714	0	0	0	0	0	0	0	0.0028189473489204945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Actinospicaceae	2|201174|1760|414714|414713	0	0	0	0	0	0	0	0.0028189473489204945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Actinospicaceae|g__Actinospica	2|201174|1760|414714|414713|414715	0	0	0	0	0	0	0	0.0028189473489204945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Actinospicaceae|g__Actinospica|s__Actinospica_robiniae	2|201174|1760|414714|414713|414715|304901	0	0	0	0	0	0	0	0.0028189473489204945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.0868462979031472	0	0.04611332222375393	0	0.018388500002429628	0.2220648012287789	0.002072792880161866	0.04587982801050017	0.21998908816950635	0.6382604364654905	0.043276428983277736	0	0	0	0	0	0	0.0160542632396968	0	0.03288652051764556	0	0	0.7426859447131533	0.06003579875787812	0	0	0	0.060071302691299885	0	0.21479293969695565	0.22520726962309	0	0	0.025166431239655368
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae	2|201174|1760|85007|85026	0	0	0	0	0	0	0	0	0	0.003733449131619137	0	0	0	0	0	0	0	0	0	0	0	0	0.01706420703224736	0	0	0	0	0	0	0.010921950523879708	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia	2|201174|1760|85007|85026|2053	0	0	0	0	0	0	0	0	0	0.003733449131619137	0	0	0	0	0	0	0	0	0	0	0	0	0.01706420703224736	0	0	0	0	0	0	0.010921950523879708	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia|s__Gordonia_iterans	2|201174|1760|85007|85026|2053|1004901	0	0	0	0	0	0	0	0	0	0.003733449131619137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia|s__Gordonia_terrae	2|201174|1760|85007|85026|2053|2055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01706420703224736	0	0	0	0	0	0	0.010921950523879708	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae	2|201174|1760|85007|1762	0.01769727246405833	0	0.04611332222375393	0	0.018388500002429628	0.027700913654555785	0.002072792880161866	0.04587982801050017	0.21998908816950635	0.5294830278140815	0.043276428983277736	0	0	0	0	0	0	0.0160542632396968	0	0.019758023085115043	0	0	0.5214831146975848	0.03533430867175109	0	0	0	0.060071302691299885	0	0.20387098917307594	0.16247435521948247	0	0	0.025166431239655368
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium	2|201174|1760|85007|1762|1763	0	0	0	0	0	0	0	0.0008026833129129543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_sp_ENV421	2|201174|1760|85007|1762|1763|1213407	0	0	0	0	0	0	0	0.0008026833129129543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacter	2|201174|1760|85007|1762|1073531	0	0	0	0	0	0	0	0	0	0.375172873258198	0	0	0	0	0	0	0	0	0	0	0	0	0.14403280696138065	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium	2|201174|1760|85007|1762|1866885	0.01769727246405833	0	0.04611332222375393	0	0.018388500002429628	0.027700913654555785	0.002072792880161866	0.045076613822380256	0.21998908816950635	0.15431015455588354	0.043276428983277736	0	0	0	0	0	0	0.0160542632396968	0	0.019758023085115043	0	0	0.3774503077362042	0.03533430867175109	0	0	0	0.060071302691299885	0	0.20387098917307594	0.16247435521948247	0	0	0.025166431239655368
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_chubuense	2|201174|1760|85007|1762|1866885|1800	0	0	0	0	0	0	0.0002035778721587547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_fortuitum	2|201174|1760|85007|1762|1866885|1766	0	0	0	0	0	0	0	0	0	0.08310413120109862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_neoaurum	2|201174|1760|85007|1762|1866885|1795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22004441744221528	0	0	0	0	0	0	0	0.11027988866144067	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_obuense	2|201174|1760|85007|1762|1866885|1807	0.01769727246405833	0	0.04611332222375393	0	0	0	0.001425045105111283	0	0.21998908816950635	0.001919271957832819	0	0	0	0	0	0	0	0	0	0	0	0	0.03754704753381096	0	0	0	0	0	0	0.14447341496990004	0	0	0	0
