clade_name	NCBI_tax_id	reSRR9697569_taxonomic_profile	reSRR9697568_taxonomic_profile	reSRR9697567_taxonomic_profile	reSRR9697566_taxonomic_profile	reSRR9697564_taxonomic_profile	reSRR9697563_taxonomic_profile	reSRR9697562_taxonomic_profile	reSRR9697561_taxonomic_profile	reSRR9697560_taxonomic_profile	reSRR9697559_taxonomic_profile	reSRR9697558_taxonomic_profile	reSRR9697557_taxonomic_profile	reSRR9697556_taxonomic_profile	reSRR9697555_taxonomic_profile	reSRR9697554_taxonomic_profile	reSRR9697553_taxonomic_profile	reSRR9697552_taxonomic_profile	reSRR9697551_taxonomic_profile	reSRR9697550_taxonomic_profile	reSRR9697549_taxonomic_profile	reSRR9697548_taxonomic_profile	reSRR9697547_taxonomic_profile	reSRR9697546_taxonomic_profile	reSRR9697545_taxonomic_profile	reSRR9697544_taxonomic_profile	reSRR9697543_taxonomic_profile	reSRR9697542_taxonomic_profile	reSRR9697541_taxonomic_profile	reSRR9697540_taxonomic_profile	reSRR9697539_taxonomic_profile	reSRR9697538_taxonomic_profile	reSRR9697537_taxonomic_profile	reSRR9697536_taxonomic_profile	reSRR9697535_taxonomic_profile
UNCLASSIFIED	-1	85.07765	77.36282	94.58064	97.2974	88.22158	51.41386	70.53936999999999	90.70891	96.08545	85.73051	65.65595	59.08275	79.55588	92.58783000000001	94.8591	91.89211	75.38276	89.67121	92.59921	64.86368	96.72099	85.41141	77.15432	90.14497	66.44683	84.29001	87.27348	90.03365	87.14065	89.5019	82.35426	84.90342	85.6001	80.22748
k__Archaea	2157	0	0	0.5698322487610992	0.1396488476317653	0	0	0	0	0.0508684426046842	0.03646569304458305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007416961216391636	0	0.0007831585188954584	0	0	0	0
k__Archaea|p__Thaumarchaeota	2157|651137	0	0	0.5698322487610992	0.1396488476317653	0	0	0	0	0.0508684426046842	0.03646569304458305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007416961216391636	0	0.0007831585188954584	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	0	0	0.5698322487610992	0.1396488476317653	0	0	0	0	0.0508684426046842	0.03646569304458305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007416961216391636	0	0.0007831585188954584	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	2157|651137|1643678|1033996	0	0	0.5698322487610992	0.1396488476317653	0	0	0	0	0.0508684426046842	0.03646569304458305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007416961216391636	0	0.0007831585188954584	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae	2157|651137|1643678|1033996|1033997	0	0	0	0	0	0	0	0	0	0.017639949028258096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007416961216391636	0	0.0007831585188954584	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Candidatus_Nitrosocosmicus	2157|651137|1643678|1033996|1033997|1826864	0	0	0	0	0	0	0	0	0	0.017639949028258096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007416961216391636	0	0.0007831585188954584	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Candidatus_Nitrosocosmicus|s__Candidatus_Nitrosocosmicus_oleophilus	2157|651137|1643678|1033996|1033997|1826864|1353260	0	0	0	0	0	0	0	0	0	0.017639949028258096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007416961216391636	0	0.0007831585188954584	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Candidatus_Nitrosocosmicus|s__Candidatus_Nitrosocosmicus_oleophilus|t__SGB855	2157|651137|1643678|1033996|1033997|1826864|1353260|SGB855	0	0	0	0	0	0	0	0	0	0.017639949028258096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007416961216391636	0	0.0007831585188954584	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified	2157|651137|1643678|1033996|36797867	0	0	0.5698322487610992	0.1396488476317653	0	0	0	0	0.0508684426046842	0.018825744016324957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
