;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33
ID0;0.000000;0.991378;0.992252;0.963303;0.981544;0.987341;0.984728;0.983673;0.982408;0.990267;0.983682;0.956204;0.991644;0.994807;0.940994;0.983618;0.952897;0.990974;0.973653;0.977333;0.972866;0.980457;0.937324;0.992850;0.977742;0.989060;0.965142;0.990270;0.969547;0.990338;0.992447;0.983977;0.977880;0.989498
ID1;0.991378;0.000000;0.971236;0.986324;0.965507;0.991284;0.981679;0.991257;0.966013;0.996495;0.935454;0.983881;0.994414;0.986630;0.991729;0.969934;0.987071;0.971895;0.992401;0.983919;0.981294;0.933043;0.980838;0.830168;0.990011;0.985077;0.989590;0.978474;0.993869;0.943517;0.992156;0.982384;0.986163;0.924687
ID2;0.992252;0.971236;0.000000;0.989243;0.980728;0.996318;0.988048;0.995385;0.976188;0.996327;0.867716;0.981964;0.997658;0.993035;0.991437;0.976876;0.987365;0.987253;0.990966;0.990597;0.990666;0.975409;0.978382;0.981307;0.990415;0.993187;0.983855;0.979548;0.997262;0.989715;0.997150;0.986336;0.992152;0.924763
ID3;0.963303;0.986324;0.989243;0.000000;0.968439;0.983566;0.973620;0.982681;0.971758;0.992543;0.977287;0.971908;0.989484;0.991818;0.970961;0.972726;0.955065;0.975535;0.984639;0.971456;0.969963;0.978646;0.971943;0.988419;0.977620;0.981249;0.968482;0.993533;0.990726;0.983821;0.988571;0.975882;0.974021;0.986361
ID4;0.981544;0.965507;0.980728;0.968439;0.000000;0.981883;0.947993;0.983205;0.957654;0.994051;0.955010;0.977137;0.989988;0.982922;0.981871;0.939789;0.966059;0.967171;0.983770;0.962116;0.965248;0.968001;0.979157;0.976016;0.975348;0.966875;0.968081;0.988273;0.992809;0.968880;0.984650;0.955075;0.983421;0.968174
ID5;0.987341;0.991284;0.996318;0.983566;0.981883;0.000000;0.984940;0.983388;0.979638;0.995986;0.991275;0.990445;0.987775;0.991960;0.989871;0.987312;0.983210;0.985526;0.993694;0.979127;0.980619;0.985515;0.986857;0.991688;0.990126;0.984161;0.991558;0.998156;0.987510;0.985131;0.982956;0.988800;0.987036;0.993731
ID6;0.984728;0.981679;0.988048;0.973620;0.947993;0.984940;0.000000;0.982535;0.972477;0.994970;0.970026;0.981939;0.991416;0.990292;0.985902;0.964236;0.973308;0.976675;0.987200;0.969760;0.972470;0.979202;0.984699;0.988563;0.977497;0.968372;0.977060;0.993704;0.993772;0.979613;0.983954;0.960236;0.987477;0.982700
ID7;0.983673;0.991257;0.995385;0.982681;0.983205;0.983388;0.982535;0.000000;0.984326;0.991905;0.988637;0.988452;0.992318;0.994758;0.986788;0.986964;0.980896;0.988861;0.991074;0.980162;0.979805;0.986474;0.987478;0.993281;0.982629;0.985728;0.988105;0.997240;0.992436;0.989431;0.987801;0.986535;0.988236;0.991971
ID8;0.982408;0.966013;0.976188;0.971758;0.957654;0.979638;0.972477;0.984326;0.000000;0.994362;0.960435;0.972240;0.987638;0.981472;0.983357;0.961041;0.975102;0.965802;0.989423;0.969487;0.973026;0.958559;0.948433;0.972178;0.985524;0.976221;0.981244;0.991319;0.986655;0.968665;0.984862;0.974800;0.980800;0.974719
ID9;0.990267;0.996495;0.996327;0.992543;0.994051;0.995986;0.994970;0.991905;0.994362;0.000000;0.993619;0.986925;0.997562;0.998050;0.982907;0.994467;0.990932;0.996597;0.995421;0.994133;0.993233;0.993041;0.978677;0.996742;0.985035;0.996141;0.992403;0.997147;0.996629;0.996542;0.997433;0.994464;0.994136;0.994836
ID10;0.983682;0.935454;0.867716;0.977287;0.955010;0.991275;0.970026;0.988637;0.960435;0.993619;0.000000;0.976769;0.994946;0.987551;0.983729;0.953463;0.971280;0.975051;0.982028;0.973893;0.975682;0.945213;0.974532;0.940467;0.977782;0.982201;0.965269;0.964837;0.995611;0.973397;0.992632;0.965456;0.984474;0.876994
ID11;0.956204;0.983881;0.981964;0.971908;0.977137;0.990445;0.981939;0.988452;0.972240;0.986925;0.976769;0.000000;0.993073;0.993545;0.907730;0.978883;0.965224;0.984659;0.987583;0.984685;0.980901;0.972630;0.931043;0.989983;0.974580;0.989140;0.970787;0.988742;0.986809;0.989443;0.994260;0.982718;0.983616;0.985231
ID12;0.991644;0.994414;0.997658;0.989484;0.989988;0.987775;0.991416;0.992318;0.987638;0.997562;0.994946;0.993073;0.000000;0.994639;0.991765;0.991931;0.990724;0.990912;0.996204;0.988392;0.989694;0.991872;0.988488;0.995011;0.995058;0.990457;0.994255;0.998875;0.989736;0.990603;0.990269;0.993779;0.992123;0.996238
ID13;0.994807;0.986630;0.993035;0.991818;0.982922;0.991960;0.990292;0.994758;0.981472;0.998050;0.987551;0.993545;0.994639;0.000000;0.994611;0.978232;0.992155;0.985929;0.996018;0.989342;0.991010;0.987116;0.991299;0.988891;0.993290;0.990263;0.993663;0.997163;0.995648;0.987259;0.994089;0.990109;0.992587;0.990085
ID14;0.940994;0.991729;0.991437;0.970961;0.981871;0.989871;0.985902;0.986788;0.983357;0.982907;0.983729;0.907730;0.991765;0.994611;0.000000;0.981879;0.967530;0.989662;0.983877;0.981981;0.977486;0.977013;0.909278;0.992074;0.971856;0.990230;0.968166;0.987165;0.965881;0.990194;0.993935;0.984827;0.982186;0.988774
ID15;0.983618;0.969934;0.976876;0.972726;0.939789;0.987312;0.964236;0.986964;0.961041;0.994467;0.953463;0.978883;0.991931;0.978232;0.981879;0.000000;0.970981;0.969887;0.984882;0.969679;0.972276;0.969839;0.977047;0.974919;0.979059;0.975195;0.966834;0.986891;0.993671;0.974553;0.989273;0.962025;0.984827;0.968704
ID16;0.952897;0.987071;0.987365;0.955065;0.966059;0.983210;0.973308;0.980896;0.975102;0.990932;0.971280;0.965224;0.990724;0.992155;0.967530;0.970981;0.000000;0.985196;0.977310;0.969535;0.961557;0.976588;0.973568;0.988552;0.968521;0.983384;0.950108;0.988245;0.993588;0.984882;0.990299;0.971354;0.976758;0.984018
ID17;0.990974;0.971895;0.987253;0.975535;0.967171;0.985526;0.976675;0.988861;0.965802;0.996597;0.975051;0.984659;0.990912;0.985929;0.989662;0.969887;0.985196;0.000000;0.994096;0.982174;0.984224;0.976413;0.983453;0.978269;0.989543;0.980020;0.989959;0.995240;0.988309;0.977447;0.987187;0.982382;0.986058;0.976233
ID18;0.973653;0.992401;0.990966;0.984639;0.983770;0.993694;0.987200;0.991074;0.989423;0.995421;0.982028;0.987583;0.996204;0.996018;0.983877;0.984882;0.977310;0.994096;0.000000;0.977753;0.981497;0.986702;0.984902;0.993497;0.984836;0.991615;0.969754;0.990334;0.995621;0.992401;0.995442;0.984960;0.990270;0.990806
ID19;0.977333;0.983919;0.990597;0.971456;0.962116;0.979127;0.969760;0.980162;0.969487;0.994133;0.973893;0.984685;0.988392;0.989342;0.981981;0.969679;0.969535;0.982174;0.977753;0.000000;0.960497;0.972182;0.980511;0.986346;0.980338;0.974083;0.974318;0.994091;0.990760;0.977073;0.982819;0.972597;0.985346;0.986923
ID20;0.972866;0.981294;0.990666;0.969963;0.965248;0.980619;0.972470;0.979805;0.973026;0.993233;0.975682;0.980901;0.989694;0.991010;0.977486;0.972276;0.961557;0.984224;0.981497;0.960497;0.000000;0.969376;0.976927;0.987716;0.976638;0.977347;0.971226;0.993508;0.991805;0.980017;0.985308;0.972168;0.983728;0.986605
ID21;0.980457;0.933043;0.975409;0.978646;0.968001;0.985515;0.979202;0.986474;0.958559;0.993041;0.945213;0.972630;0.991872;0.987116;0.977013;0.969839;0.976588;0.976413;0.986702;0.972182;0.969376;0.000000;0.952294;0.942213;0.983517;0.982240;0.978662;0.972304;0.988850;0.971601;0.989848;0.977381;0.982952;0.959555
ID22;0.937324;0.980838;0.978382;0.971943;0.979157;0.986857;0.984699;0.987478;0.948433;0.978677;0.974532;0.931043;0.988488;0.991299;0.909278;0.977047;0.973568;0.983453;0.984902;0.980511;0.976927;0.952294;0.000000;0.969631;0.983363;0.988128;0.976305;0.986858;0.957666;0.981455;0.992165;0.985059;0.977355;0.985561
ID23;0.992850;0.830168;0.981307;0.988419;0.976016;0.991688;0.988563;0.993281;0.972178;0.996742;0.940467;0.989983;0.995011;0.988891;0.992074;0.974919;0.988552;0.978269;0.993497;0.986346;0.987716;0.942213;0.969631;0.000000;0.992519;0.990043;0.990513;0.963314;0.993834;0.941326;0.994497;0.986124;0.989565;0.940762
ID24;0.977742;0.990011;0.990415;0.977620;0.975348;0.990126;0.977497;0.982629;0.985524;0.985035;0.977782;0.974580;0.995058;0.993290;0.971856;0.979059;0.968521;0.989543;0.984836;0.980338;0.976638;0.983517;0.983363;0.992519;0.000000;0.983515;0.970928;0.990721;0.989086;0.990527;0.990362;0.973173;0.987414;0.986578
ID25;0.989060;0.985077;0.993187;0.981249;0.966875;0.984161;0.968372;0.985728;0.976221;0.996141;0.982201;0.989140;0.990457;0.990263;0.990230;0.975195;0.983384;0.980020;0.991615;0.974083;0.977347;0.982240;0.988128;0.990043;0.983515;0.000000;0.987254;0.996919;0.992684;0.981007;0.980640;0.971056;0.989443;0.988990
ID26;0.965142;0.989590;0.983855;0.968482;0.968081;0.991558;0.977060;0.988105;0.981244;0.992403;0.965269;0.970787;0.994255;0.993663;0.968166;0.966834;0.950108;0.989959;0.969754;0.974318;0.971226;0.978662;0.976305;0.990513;0.970928;0.987254;0.000000;0.976484;0.996036;0.989240;0.994237;0.971084;0.973379;0.983993
ID27;0.990270;0.978474;0.979548;0.993533;0.988273;0.998156;0.993704;0.997240;0.991319;0.997147;0.964837;0.988742;0.998875;0.997163;0.987165;0.986891;0.988245;0.995240;0.990334;0.994091;0.993508;0.972304;0.986858;0.963314;0.990721;0.996919;0.976484;0.000000;0.996689;0.992908;0.998825;0.990166;0.995977;0.977223
ID28;0.969547;0.993869;0.997262;0.990726;0.992809;0.987510;0.993772;0.992436;0.986655;0.996629;0.995611;0.986809;0.989736;0.995648;0.965881;0.993671;0.993588;0.988309;0.995621;0.990760;0.991805;0.988850;0.957666;0.993834;0.989086;0.992684;0.996036;0.996689;0.000000;0.990643;0.991404;0.995681;0.993016;0.995759
ID29;0.990338;0.943517;0.989715;0.983821;0.968880;0.985131;0.979613;0.989431;0.968665;0.996542;0.973397;0.989443;0.990603;0.987259;0.990194;0.974553;0.984882;0.977447;0.992401;0.977073;0.980017;0.971601;0.981455;0.941326;0.990527;0.981007;0.989240;0.992908;0.990643;0.000000;0.988013;0.981381;0.988588;0.978094
ID30;0.992447;0.992156;0.997150;0.988571;0.984650;0.982956;0.983954;0.987801;0.984862;0.997433;0.992632;0.994260;0.990269;0.994089;0.993935;0.989273;0.990299;0.987187;0.995442;0.982819;0.985308;0.989848;0.992165;0.994497;0.990362;0.980640;0.994237;0.998825;0.991404;0.988013;0.000000;0.987980;0.992807;0.995218
ID31;0.983977;0.982384;0.986336;0.975882;0.955075;0.988800;0.960236;0.986535;0.974800;0.994464;0.965456;0.982718;0.993779;0.990109;0.984827;0.962025;0.971354;0.982382;0.984960;0.972597;0.972168;0.977381;0.985059;0.986124;0.973173;0.971056;0.971084;0.990166;0.995681;0.981381;0.987980;0.000000;0.987311;0.980648
ID32;0.977880;0.986163;0.992152;0.974021;0.983421;0.987036;0.987477;0.988236;0.980800;0.994136;0.984474;0.983616;0.992123;0.992587;0.982186;0.984827;0.976758;0.986058;0.990270;0.985346;0.983728;0.982952;0.977355;0.989565;0.987414;0.989443;0.973379;0.995977;0.993016;0.988588;0.992807;0.987311;0.000000;0.979567
ID33;0.989498;0.924687;0.924763;0.986361;0.968174;0.993731;0.982700;0.991971;0.974719;0.994836;0.876994;0.985231;0.996238;0.990085;0.988774;0.968704;0.984018;0.976233;0.990806;0.986923;0.986605;0.959555;0.985561;0.940762;0.986578;0.988990;0.983993;0.977223;0.995759;0.978094;0.995218;0.980648;0.979567;0.000000
