;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33
ID0;0.000000;0.995670;0.996111;0.981309;0.990686;0.993630;0.992305;0.991770;0.991126;0.995109;0.991774;0.977612;0.995804;0.997397;0.969600;0.991742;0.975881;0.995467;0.986651;0.988536;0.986247;0.990132;0.967648;0.996412;0.988746;0.994500;0.982262;0.995111;0.984538;0.995145;0.996209;0.991924;0.988816;0.994721
ID1;0.995670;0.000000;0.985408;0.993115;0.982451;0.995623;0.990755;0.995609;0.982713;0.998245;0.966650;0.991875;0.997199;0.993270;0.995847;0.984738;0.993493;0.985747;0.996186;0.991894;0.990559;0.965362;0.990326;0.907204;0.994980;0.992483;0.994768;0.989120;0.996925;0.970938;0.996063;0.991114;0.993033;0.960870
ID2;0.996111;0.985408;0.000000;0.994592;0.990270;0.998156;0.993988;0.997687;0.987950;0.998160;0.929173;0.990900;0.998828;0.996505;0.995700;0.988303;0.993642;0.993586;0.995462;0.995276;0.995311;0.987552;0.989073;0.990565;0.995184;0.996582;0.991862;0.989669;0.998629;0.994831;0.998573;0.993121;0.996060;0.960911
ID3;0.981309;0.993115;0.994592;0.000000;0.983966;0.991715;0.986634;0.991265;0.985677;0.996257;0.988513;0.985754;0.994714;0.995892;0.985267;0.986174;0.977016;0.987616;0.992260;0.985521;0.984752;0.989208;0.985772;0.994176;0.988683;0.990536;0.983988;0.996756;0.995342;0.991845;0.994252;0.987794;0.986840;0.993134
ID4;0.990686;0.982451;0.990270;0.983966;0.000000;0.990859;0.973302;0.991532;0.978369;0.997017;0.976987;0.988437;0.994969;0.991387;0.990853;0.968960;0.982737;0.983312;0.991819;0.980692;0.982317;0.983741;0.989469;0.987862;0.987520;0.983159;0.983782;0.994102;0.996392;0.984194;0.992265;0.977022;0.991641;0.983830
ID5;0.993630;0.995623;0.998156;0.991715;0.990859;0.000000;0.992413;0.991624;0.989714;0.997989;0.995618;0.995200;0.993850;0.995964;0.994909;0.993615;0.991534;0.992710;0.996837;0.989453;0.990215;0.992705;0.993385;0.995827;0.995039;0.992017;0.995761;0.999077;0.993716;0.992510;0.991405;0.994369;0.993476;0.996855
ID6;0.992305;0.990755;0.993988;0.986634;0.973302;0.992413;0.000000;0.991191;0.986047;0.997479;0.984785;0.990887;0.995690;0.995122;0.992901;0.981792;0.986474;0.988200;0.993559;0.984648;0.986043;0.989492;0.992290;0.994249;0.988620;0.983932;0.988397;0.996842;0.996876;0.989702;0.991912;0.979714;0.993699;0.991275
ID7;0.991770;0.995609;0.997687;0.991265;0.991532;0.991624;0.991191;0.000000;0.992101;0.995936;0.994286;0.994193;0.996144;0.997372;0.993350;0.993439;0.990356;0.994399;0.995517;0.989982;0.989800;0.993191;0.993699;0.996629;0.991239;0.992813;0.994017;0.998618;0.996204;0.994687;0.993863;0.993222;0.994083;0.995969
ID8;0.991126;0.982713;0.987950;0.985677;0.978369;0.989714;0.986047;0.992101;0.000000;0.997173;0.979818;0.985925;0.993781;0.990649;0.991609;0.980133;0.987394;0.982603;0.994683;0.984507;0.986329;0.978841;0.973534;0.985893;0.992709;0.987967;0.990533;0.995641;0.993283;0.984083;0.992373;0.987239;0.990307;0.987198
ID9;0.995109;0.998245;0.998160;0.996257;0.997017;0.997989;0.997479;0.995936;0.997173;0.000000;0.996799;0.993419;0.998779;0.999024;0.991380;0.997226;0.995445;0.998296;0.997705;0.997058;0.996605;0.996509;0.989223;0.998368;0.992461;0.998067;0.996187;0.998572;0.998311;0.998268;0.998715;0.997224;0.997060;0.997411
