X.mOTUs2_clade	reSRR9697535	reSRR9697536	reSRR9697537	reSRR9697538	reSRR9697539	reSRR9697540	reSRR9697541	reSRR9697542	reSRR9697543	reSRR9697544	reSRR9697545	reSRR9697546	reSRR9697547	reSRR9697548	reSRR9697549	reSRR9697550	reSRR9697551	reSRR9697552	reSRR9697553	reSRR9697554	reSRR9697555	reSRR9697556	reSRR9697557	reSRR9697558	reSRR9697559	reSRR9697560	reSRR9697561	reSRR9697562	reSRR9697563	reSRR9697564	reSRR9697566	reSRR9697567	reSRR9697568	reSRR9697569
k__Archaea	0	0	0	0	0.0033075205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028786833	0.0135116612	0	0	0	0	0.0289590892	0.0065964433	0	0
k__Archaea|p__Thaumarchaeota	0	0	0	0	0.0033075205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028786833	0.0135116612	0	0	0	0	0.0289590892	0.0065964433	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	0	0	0	0	0.0033075205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028786833	0.0135116612	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	0	0	0	0	0.0033075205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028786833	0.0135116612	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae	0	0	0	0	0.0033075205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028786833	0.0135116612	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Candidatus Nitrosocosmicus	0	0	0	0	0.0033075205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028786833	0.0135116612	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Candidatus Nitrosocosmicus|s__Candidatus Nitrosocosmicus oleophilus	0	0	0	0	0.0033075205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028786833	0.0135116612	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota class incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0289590892	0.0065964433	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota class incertae sedis|o__Thaumarchaeota order incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0289590892	0.0065964433	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota class incertae sedis|o__Thaumarchaeota order incertae sedis|f__Thaumarchaeota fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0289590892	0.0065964433	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota class incertae sedis|o__Thaumarchaeota order incertae sedis|f__Thaumarchaeota fam. incertae sedis|g__Thaumarchaeota gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0289590892	0.0065964433	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota class incertae sedis|o__Thaumarchaeota order incertae sedis|f__Thaumarchaeota fam. incertae sedis|g__Thaumarchaeota gen. incertae sedis|s__Thaumarchaeota species incertae sedis [ext_mOTU_v3_24438]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0289590892	0.0065964433	0	0
k__Bacteria	0.7858390345	0.9742563475	0.9507951139	0.8513038111	0.8683769091	0.7961613819	0.8002750623	0.8777672032	0.8528340785	0.9618935601	0.848073354	0.9188203336	0.7710585095	0.8417169482	0.928750317	0.7833566045	0.7855891675	0.960759475	0.7399265031	0.7048043238	0.7651446846	0.9131273154	0.9210645019	0.9531453466	0.8842557836	0.689456687	0.8019957316	0.9464797581	0.8851125072	0.916518438	0.7999733816	0.8138490428	0.9344252506	0.9492798969
k__Bacteria|p__Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119657922	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119657922	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119657922	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119657922	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119657922	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteria class incertae sedis|o__Acidobacteria order incertae sedis|f__Acidobacteria fam. incertae sedis|g__Acidobacteria gen. incertae sedis|s__Acidobacteria species incertae sedis [ext_mOTU_v3_32024]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119657922	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria	0.0264479498	0.1313914771	0.1006227368	0.3017083371	0.4313993355	0	0.4551428766	0.0154753472	0.1538383154	0.0112976437	0.2026811832	0.2860249066	0.0449456008	0.2413720937	0.0331877642	0.3383519694	0.0829462633	0.4454638702	0.0225847632	0.0875557865	0.1218396417	0.0682946031	0.0884973643	0.1951434108	0.1085416315	0.2819066745	0.1322821709	0.0633066931	0.0683219826	0.1665232787	0.1949488224	0.3972892659	0.065194888	0.1947117749
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0264479498	0.128819936	0.0974532395	0.2990595466	0.4228838192	0	0.4050518252	0.0154753472	0.1538383154	0.0112976437	0.1931265283	0.2860249066	0.0449456008	0.2413720937	0.0319340005	0.3316866635	0.0829462633	0.4454638702	0.0225847632	0.0875557865	0.1218396417	0.0682946031	0.0884973643	0.1951434108	0.1029873103	0.2601768765	0.1261702917	0.0628345125	0.0683219826	0.1665232787	0.1307495677	0.3851525377	0.065194888	0.1940496098
