Taxonomy	CSM67UH7	CSM7KOON	CSM7KOOP	CSMAHYLR	HSM5MD5D	HSM5MD6Q	HSM5MD6W	HSM67VF3	HSM67VFX	HSM67VFZ	HSM67VGK	HSM67VI7	HSM67VI9	HSM67VIB	HSM6XRRJ	HSM6XRTG	HSM6XRUL	HSM6XRUN	HSM6XRVC	HSM6XRVK	HSM7CYXI	HSM7CYXO	HSM7CYZJ	HSM7CZ1A	HSM7CZ1C	HSM7CZ1E	HSM7CZ24	HSM7CZ28	HSM7CZ2A	HSM7J4HC	HSM7J4HW	HSM7J4HY	HSM7J4KO	HSM7J4LD	HSM7J4LN	HSM7J4NY	HSM7J4O5	HSM7J4R2	HSMA33NY	HSMA33SE	HSMA33SG	MSM6J2JR	MSM6J2JZ	MSM6J2K6	MSM6J2KA	MSM6J2QF	MSM6J2QH	MSM6J2RM	MSM6J2RU	MSM79H58	MSM79H5E	MSM79H5M	MSM79H5S	MSM79H5U	MSM79H6D	MSM79H6L	MSM79H83	MSM79H8H	MSM79H9A	MSM79HA7	MSM79HBL	MSM79HC8	MSM79HCP	MSM9VZGO	MSM9VZHB	MSM9VZHN	MSM9VZHP	MSM9VZHR	MSM9VZJZ	MSM9VZKE	MSM9VZL7	MSM9VZLJ	MSM9VZMI	MSM9VZMS	MSM9VZMW	MSM9VZNL	MSM9VZOI	MSM9VZOO	MSM9VZPT	MSMA26BB	MSMA26BF	MSMA26BH	MSMA26BJ	MSMA26BN	MSMA26BR	MSMA26BV	MSMA26DI	MSMAPC5H	MSMAPC6M	MSMAPC7T	MSMB4LZX	MSMB4LZZ	PSM6XBTR	PSM7J154	PSM7J15M	PSM7J17V	PSM7J19P	PSM7J19R	PSM7J1DL	PSMA265L
k__Bacteria	62.98847779424	41.9972186127903	34.6133616744634	48.9115849291378	49.2194810060711	34.318125748001	74.0756235987782	70.3345880072242	43.345973890482	51.4045679799632	59.3461925947377	29.641899674907	57.4493289018975	28.3307471931515	49.7867210070589	55.0205569027211	24.2974511082143	43.5703640761041	18.5819447523162	25.1074074672155	20.3573580645305	82.1570521895659	26.7126244475841	25.9269709321948	44.4268126957545	57.0976954690148	40.1115184962335	32.8009301314963	26.8686684335027	33.5577027552689	38.7378411466753	24.7976171336848	71.8056545649503	49.5773125815082	45.6234063334326	47.3948254766664	22.260610687717	60.6636886062023	49.9144151900176	37.3315743679262	21.2423899868606	60.7226646141667	55.2036734950071	40.83580073444	36.001578088572	67.3251237944915	32.9910576691203	26.9168428315964	47.0813677349471	35.8707301055721	34.6585691145631	43.0343721789991	50.9402984576749	38.8535420385227	36.209276510288	32.1670273832657	59.6568867539527	30.797790977668	44.1678589336806	43.7870636160789	35.125779807339	49.7618278159984	44.5540977292061	34.7273758554752	45.8980804979912	57.4547164627675	27.178760719334	51.818067191982	40.2332790103076	35.1034642458292	41.6297427524059	34.1864865369293	68.4289433164161	44.5187555995308	26.0546741127162	35.9989554106993	73.6829104468071	71.8695476254468	22.2593245596528	42.7399762385801	20.6881431796577	33.4921242628792	34.2540432006849	18.8872428740928	26.6782002105191	32.157810562333	31.0678547343418	45.291437938953	39.0539250738787	62.6402862074424	20.5727908926949	44.4284718941345	40.1002029436008	38.4507113002823	43.0213808162181	41.7885628524028	65.6219041367441	38.7089381810208	26.3835514349531	28.7716120302792
k__Bacteria|p__Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05297042481654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05297042481654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05297042481654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05297042481654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05297042481654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05297042481654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota	7.80580922163791	33.4929858623693	26.5210282247313	44.7216269697731	19.3686440541684	34.318125748001	65.3330694396616	68.5871192962537	11.0985319899463	40.703937041138	49.0244483341782	25.7917211380955	52.3079355457261	25.3837143796304	39.3642808429425	46.282359669252	22.8242932618445	39.8417340627064	0	0	20.3573580645305	82.1570521895659	7.01347518367182	16.0645122943499	24.4850536968814	57.0976954690148	37.5168047540474	27.2122681028238	26.8686684335027	26.4904491537615	24.5459473952858	23.3072597031125	66.274132473562	47.2012184515744	32.2724357338434	30.0680173119784	19.9836907843646	51.3761455465578	35.899647865427	14.1491565722288	18.4434825881054	32.2856094467285	48.99823537285	38.507797709925	27.0689780353633	67.3251237944915	27.5995668769405	23.3720565836657	30.75348325711	17.8299621527996	17.3774146289097	13.8944082374359	45.2132170227503	30.4149915823566	13.6335238269742	25.9442921540707	49.9123205256506	18.8703801728125	30.6985328738427	21.8933627305281	35.125779807339	1.57539697303274	33.9177553817972	4.23093920552329	7.56908486754597	44.3358179987872	10.6076937483304	32.2462481730953	18.0104143992602	29.9614269112355	16.1816822444485	3.03105356385839	68.4289433164161	35.9054913579588	4.0443514109943	1.92301033591639	66.556807642642	67.4660396296851	8.52211330976552	11.8406494601986	10.3570471836685	14.0521748176715	2.65267626330938	6.53866565931894	18.5367524912141	11.4971197335413	11.6579164514619	45.291437938953	5.90366814299958	55.9650106797982	0	23.0756769201756	36.7625245107831	22.4380756499918	0	6.90965606962054	53.5007835254462	18.0498860050337	20.8533773765337	4.77180181202415
k__Bacteria|p__Bacteroidota|c__Bacteroidia	7.80580922163791	33.4929858623693	26.5210282247313	44.7216269697731	19.3686440541684	34.318125748001	65.3330694396616	68.5871192962537	11.0985319899463	40.703937041138	49.0244483341782	25.7917211380955	52.3079355457261	25.3837143796304	39.3642808429425	46.282359669252	22.8242932618445	39.8417340627064	0	0	20.3573580645305	82.1570521895659	7.01347518367182	16.0645122943499	24.4850536968814	57.0976954690148	37.5168047540474	27.2122681028238	26.8686684335027	26.4904491537615	24.5459473952858	23.3072597031125	66.274132473562	47.2012184515744	32.2724357338434	30.0680173119784	19.9836907843646	51.3761455465578	35.899647865427	14.1491565722288	18.4434825881054	32.2856094467285	48.99823537285	38.507797709925	27.0689780353633	67.3251237944915	27.5995668769405	23.3720565836657	30.75348325711	17.8299621527996	17.3774146289097	13.8944082374359	45.2132170227503	30.4149915823566	13.6335238269742	25.9442921540707	49.9123205256506	18.8703801728125	30.6985328738427	21.8933627305281	35.125779807339	1.57539697303274	33.9177553817972	4.23093920552329	7.56908486754597	44.3358179987872	10.6076937483304	32.2462481730953	18.0104143992602	29.9614269112355	16.1816822444485	3.03105356385839	68.4289433164161	35.9054913579588	4.0443514109943	1.92301033591639	66.556807642642	67.4660396296851	8.52211330976552	11.8406494601986	10.3570471836685	14.0521748176715	2.65267626330938	6.53866565931894	18.5367524912141	11.4971197335413	11.6579164514619	45.291437938953	5.90366814299958	55.9650106797982	0	23.0756769201756	36.7625245107831	22.4380756499918	0	6.90965606962054	53.5007835254462	18.0498860050337	20.8533773765337	4.77180181202415
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	7.80580922163791	33.4929858623693	26.5210282247313	44.7216269697731	19.3686440541684	34.318125748001	65.3330694396616	68.5871192962537	11.0985319899463	40.703937041138	49.0244483341782	25.7917211380955	52.3079355457261	25.3837143796304	39.3642808429425	46.282359669252	22.8242932618445	39.8417340627064	0	0	20.3573580645305	82.1570521895659	7.01347518367182	16.0645122943499	24.4850536968814	57.0976954690148	37.5168047540474	27.2122681028238	26.8686684335027	26.4904491537615	24.5459473952858	23.3072597031125	66.274132473562	47.2012184515744	32.2724357338434	30.0680173119784	19.9836907843646	51.3761455465578	35.899647865427	14.1491565722288	18.4434825881054	32.2856094467285	48.99823537285	38.507797709925	27.0689780353633	67.3251237944915	27.5995668769405	23.3720565836657	30.75348325711	17.8299621527996	17.3774146289097	13.8944082374359	45.2132170227503	30.4149915823566	13.6335238269742	25.9442921540707	49.9123205256506	18.8703801728125	30.6985328738427	21.8933627305281	35.125779807339	1.57539697303274	33.9177553817972	4.23093920552329	7.56908486754597	44.3358179987872	10.6076937483304	32.2462481730953	18.0104143992602	29.9614269112355	16.1816822444485	3.03105356385839	68.4289433164161	35.9054913579588	4.0443514109943	1.92301033591639	66.556807642642	67.4660396296851	8.52211330976552	11.8406494601986	10.3570471836685	14.0521748176715	2.65267626330938	6.53866565931894	18.5367524912141	11.4971197335413	11.6579164514619	45.291437938953	5.90366814299958	55.9650106797982	0	23.0756769201756	36.7625245107831	22.4380756499918	0	6.90965606962054	53.5007835254462	18.0498860050337	20.8533773765337	4.77180181202415
