Taxonomy	CSM67UH7	CSM7KOON	CSM7KOOP	CSMAHYLR	HSM5MD5D	HSM5MD6Q	HSM5MD6W	HSM67VF3	HSM67VFX	HSM67VFZ	HSM67VGK	HSM67VI7	HSM67VI9	HSM67VIB	HSM6XRRJ	HSM6XRTG	HSM6XRUL	HSM6XRUN	HSM6XRVC	HSM6XRVK	HSM7CYXI	HSM7CYXO	HSM7CYZJ	HSM7CZ1A	HSM7CZ1C	HSM7CZ1E	HSM7CZ24	HSM7CZ28	HSM7CZ2A	HSM7J4HC	HSM7J4HW	HSM7J4HY	HSM7J4KO	HSM7J4LD	HSM7J4LN	HSM7J4NY	HSM7J4O5	HSM7J4R2	HSMA33NY	HSMA33SE	HSMA33SG	MSM6J2JR	MSM6J2JZ	MSM6J2K6	MSM6J2KA	MSM6J2QF	MSM6J2QH	MSM6J2RM	MSM6J2RU	MSM79H58	MSM79H5E	MSM79H5M	MSM79H5S	MSM79H5U	MSM79H6D	MSM79H6L	MSM79H83	MSM79H8H	MSM79H9A	MSM79HA7	MSM79HBL	MSM79HC8	MSM79HCP	MSM9VZGO	MSM9VZHB	MSM9VZHN	MSM9VZHP	MSM9VZHR	MSM9VZJZ	MSM9VZKE	MSM9VZL7	MSM9VZLJ	MSM9VZMI	MSM9VZMS	MSM9VZMW	MSM9VZNL	MSM9VZOI	MSM9VZOO	MSM9VZPT	MSMA26BB	MSMA26BF	MSMA26BH	MSMA26BJ	MSMA26BN	MSMA26BR	MSMA26BV	MSMA26DI	MSMAPC5H	MSMAPC6M	MSMAPC7T	MSMB4LZX	MSMB4LZZ	PSM6XBTR	PSM7J154	PSM7J15M	PSM7J17V	PSM7J19P	PSM7J19R	PSM7J1DL	PSMA265L
k__Bacteria	37.3735542855499	28.278279924796	32.1584548861482	22.3174615982456	44.2086625671316	74.1416326029146	29.652691742968	26.371345124666	50.0776322810301	37.7180938865149	37.4596315195683	21.8562437416079	16.6800175295694	24.9113161702684	40.9362995217826	32.1024271451157	32.6335509194483	40.6634775632934	53.777828760021	37.3146713380824	19.9096124085054	23.6932457324965	29.6641170673676	16.008018130914	41.9555483571628	28.0191958005338	25.3774316391059	21.1527770522044	20.3681388021349	25.6312496189338	25.0789207788202	31.3370088083802	17.246744098268	24.6624214234739	25.4338268946577	38.4957087601861	22.8222956604744	34.761989660705	22.2609292475422	32.3728945817495	24.1322766869109	30.1372953217364	32.6799652664355	25.2364422098161	27.4650939931187	23.4826755073089	24.6227691937734	41.2881268441918	25.4200862485917	28.5212904432683	36.1945740931194	32.0602986374896	24.1420769192078	17.0096630136943	26.1975515891461	38.0640473025142	31.839886262528	16.3539825114887	24.9330881142874	28.9999217725575	38.2041713360353	22.8777861355061	46.6328341898156	33.2332431576162	37.0828248948248	24.3794093352647	22.7565191362106	19.9741472537006	21.858384740878	28.7957978539475	47.7101313036325	26.0843970557725	30.4585021246781	28.8152772905031	32.0915098303746	16.9724829522346	20.5931714579535	28.9466263244699	19.8733866446574	47.508788064724	37.8249225203563	43.8895115372542	45.8032462068934	28.2553195196075	21.6928091379529	40.6352744467329	41.1811100078477	28.7348178126775	36.6026944551888	24.0867691156644	26.2406335049889	32.6529981943331	27.8498685706159	26.9039542773178	49.8180779284212	36.9711743718891	33.2328349889492	20.6380922331746	33.8846024443552	37.4267499470153
k__Bacteria|p__Actinobacteria	0	0	0.000225827408147741	0.000235744782073764	0.251155002257993	0.0736599580631919	0.0258052977575315	0.211144187783056	0.262378145335407	0.0820570593591807	0.492736210821825	0.677375364520408	0.15431972275699	0.829705783408736	0.000986052277641091	0.197062316643042	0.0101826858824792	0.0966892435606433	0.000432249614259827	0.0015122700418332	0.588952487686286	0.696439622402346	0.00594438669649171	0.500076224758918	0.751150208947812	0.16164516803906	0.745817847454078	2.05613660834206	2.98854653411607	0.082378818663098	1.64907716520937	0.786945768382656	1.70725763241331	0.071422763907493	0.00144551934515752	0.435414271834204	0.245395707830859	0	1.4827155953026	15.7602346374329	1.9313197178184	2.73689526640649	0.00849600458858525	0.0995598873664069	0.0386304449541223	0.129287460567524	0.00180605634084688	0.0519432100052299	0.0905621416368918	0.00369480768261548	0.00826751115754779	0.00293195270960534	0.0883106982782646	0.0434408155872376	0.0506285089331182	0.00908100926146629	0.000881246533605625	0.350607964396566	0.00295251741022265	0.0594031660468745	0	0.643190336641883	0.00170694414362205	0.0817182358260279	0	0.00453707882640953	0.000743490586800112	0.00938329024816645	0.71841764851305	0.0339487062268668	0.0649858187216672	0.133964155253691	0	0.0660288648990734	0.24702380821434	1.47411653462912	0.0292041946161514	0.021824460951628	0.00120819310258182	0.100163780683147	0.0177796777583134	0.020645420502671	0.172343525296707	0.191557284208348	0.181286656117341	0.042183410380904	0.197424417605897	0.112060187907973	0.0306015889992171	0	0.139979745158339	0.105034185699185	2.58468742730955	0.492367912090297	0.0223772175017388	0.00362592373601822	0.00295285383255468	0.0370146098952165	0.590595818475862	0.00708805675577402
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0	0	0.000225827408147741	0.000235744782073764	0.251155002257993	0.0736599580631919	0.0258052977575315	0.211144187783056	0.262378145335407	0.0820570593591807	0.492736210821825	0.677375364520408	0.15431972275699	0.829705783408736	0.000986052277641091	0.197062316643042	0.0101826858824792	0.0966892435606433	0.000432249614259827	0.0015122700418332	0.588952487686286	0.696439622402346	0.00594438669649171	0.500076224758918	0.751150208947812	0.16164516803906	0.745817847454078	2.05613660834206	2.98854653411607	0.082378818663098	1.64907716520937	0.786945768382656	1.70725763241331	0.071422763907493	0.00144551934515752	0.435414271834204	0.245395707830859	0	1.4827155953026	15.7602346374329	1.9313197178184	2.73689526640649	0.00849600458858525	0.0995598873664069	0.0386304449541223	0.129287460567524	0.00180605634084688	0.0519432100052299	0.0905621416368918	0.00369480768261548	0.00826751115754779	0.00293195270960534	0.0883106982782646	0.0434408155872376	0.0506285089331182	0.00908100926146629	0.000881246533605625	0.350607964396566	0.00295251741022265	0.0594031660468745	0	0.643190336641883	0.00170694414362205	0.0817182358260279	0	0.00453707882640953	0.000743490586800112	0.00938329024816645	0.71841764851305	0.0339487062268668	0.0649858187216672	0.133964155253691	0	0.0660288648990734	0.24702380821434	1.47411653462912	0.0292041946161514	0.021824460951628	0.00120819310258182	0.100163780683147	0.0177796777583134	0.020645420502671	0.172343525296707	0.191557284208348	0.181286656117341	0.042183410380904	0.197424417605897	0.112060187907973	0.0306015889992171	0	0.139979745158339	0.105034185699185	2.58468742730955	0.492367912090297	0.0223772175017388	0.00362592373601822	0.00295285383255468	0.0370146098952165	0.590595818475862	0.00708805675577402
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0	0	0.000225827408147741	0.000235744782073764	0.251155002257993	0.0736599580631919	0.0258052977575315	0.211144187783056	0.262378145335407	0.0820570593591807	0.492736210821825	0.677375364520408	0.15431972275699	0.829705783408736	0.000986052277641091	0.197062316643042	0.0101826858824792	0.0966892435606433	0.000432249614259827	0.0015122700418332	0.588952487686286	0.696439622402346	0.00594438669649171	0.500076224758918	0.751150208947812	0.16164516803906	0.745817847454078	2.05613660834206	2.98854653411607	0.082378818663098	1.64907716520937	0.786945768382656	1.70725763241331	0.071422763907493	0.00144551934515752	0.435414271834204	0.245395707830859	0	1.4827155953026	15.7602346374329	1.9313197178184	2.73689526640649	0.00849600458858525	0.0995598873664069	0.0386304449541223	0.129287460567524	0.00180605634084688	0.0519432100052299	0.0905621416368918	0.00369480768261548	0.00826751115754779	0.00293195270960534	0.0883106982782646	0.0434408155872376	0.0506285089331182	0.00908100926146629	0.000881246533605625	0.350607964396566	0.00295251741022265	0.0594031660468745	0	0.643190336641883	0.00170694414362205	0.0817182358260279	0	0.00453707882640953	0.000743490586800112	0.00938329024816645	0.71841764851305	0.0339487062268668	0.0649858187216672	0.133964155253691	0	0.0660288648990734	0.24702380821434	1.47411653462912	0.0292041946161514	0.021824460951628	0.00120819310258182	0.100163780683147	0.0177796777583134	0.020645420502671	0.172343525296707	0.191557284208348	0.181286656117341	0.042183410380904	0.197424417605897	0.112060187907973	0.0306015889992171	0	0.139979745158339	0.105034185699185	2.58468742730955	0.492367912090297	0.0223772175017388	0.00362592373601822	0.00295285383255468	0.0370146098952165	0.590595818475862	0.00708805675577402
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0	0	0.000225827408147741	0.000235744782073764	0.251155002257993	0.0736599580631919	0.0258052977575315	0.211144187783056	0.262378145335407	0.0820570593591807	0.492736210821825	0.677375364520408	0.15431972275699	0.829705783408736	0.000986052277641091	0.197062316643042	0.0101826858824792	0.0966892435606433	0.000432249614259827	0.0015122700418332	0.588952487686286	0.696439622402346	0.00594438669649171	0.500076224758918	0.751150208947812	0.16164516803906	0.745817847454078	2.05613660834206	2.98854653411607	0.082378818663098	1.64907716520937	0.786945768382656	1.70725763241331	0.071422763907493	0.00144551934515752	0.435414271834204	0.245395707830859	0	1.4827155953026	15.7602346374329	1.9313197178184	2.73689526640649	0.00849600458858525	0.0995598873664069	0.0386304449541223	0.129287460567524	0.00180605634084688	0.0519432100052299	0.0905621416368918	0.00369480768261548	0.00826751115754779	0.00293195270960534	0.0883106982782646	0.0434408155872376	0.0506285089331182	0.00908100926146629	0.000881246533605625	0.350607964396566	0.00295251741022265	0.0594031660468745	0	0.643190336641883	0.00170694414362205	0.0817182358260279	0	0.00453707882640953	0.000743490586800112	0.00938329024816645	0.71841764851305	0.0339487062268668	0.0649858187216672	0.133964155253691	0	0.0660288648990734	0.24702380821434	1.47411653462912	0.0292041946161514	0.021824460951628	0.00120819310258182	0.100163780683147	0.0177796777583134	0.020645420502671	0.172343525296707	0.191557284208348	0.181286656117341	0.042183410380904	0.197424417605897	0.112060187907973	0.0306015889992171	0	0.139979745158339	0.105034185699185	2.58468742730955	0.492367912090297	0.0223772175017388	0.00362592373601822	0.00295285383255468	0.0370146098952165	0.590595818475862	0.00708805675577402
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0	0	0.000225827408147741	0.000235744782073764	0.251155002257993	0.0736599580631919	0.0258052977575315	0.211144187783056	0.262378145335407	0.0820570593591807	0.492736210821825	0.677375364520408	0.15431972275699	0.829705783408736	0.000986052277641091	0.197062316643042	0.0101826858824792	0.0966892435606433	0.000432249614259827	0.0015122700418332	0.588952487686286	0.696439622402346	0.00594438669649171	0.500076224758918	0.751150208947812	0.16164516803906	0.745817847454078	2.05613660834206	2.98854653411607	0.082378818663098	1.64907716520937	0.786945768382656	1.70725763241331	0.071422763907493	0.00144551934515752	0.435414271834204	0.245395707830859	0	1.4827155953026	15.7602346374329	1.9313197178184	2.73689526640649	0.00849600458858525	0.0995598873664069	0.0386304449541223	0.129287460567524	0.00180605634084688	0.0519432100052299	0.0905621416368918	0.00369480768261548	0.00826751115754779	0.00293195270960534	0.0883106982782646	0.0434408155872376	0.0506285089331182	0.00908100926146629	0.000881246533605625	0.350607964396566	0.00295251741022265	0.0594031660468745	0	0.643190336641883	0.00170694414362205	0.0817182358260279	0	0.00453707882640953	0.000743490586800112	0.00938329024816645	0.71841764851305	0.0339487062268668	0.0649858187216672	0.133964155253691	0	0.0660288648990734	0.24702380821434	1.47411653462912	0.0292041946161514	0.021824460951628	0.00120819310258182	0.100163780683147	0.0177796777583134	0.020645420502671	0.172343525296707	0.191557284208348	0.181286656117341	0.042183410380904	0.197424417605897	0.112060187907973	0.0306015889992171	0	0.139979745158339	0.105034185699185	2.58468742730955	0.492367912090297	0.0223772175017388	0.00362592373601822	0.00295285383255468	0.0370146098952165	0.590595818475862	0.00708805675577402
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0	0	0.000225827408147741	0.000235744782073764	0.251155002257993	0.0736599580631919	0.0258052977575315	0.211144187783056	0.262378145335407	0.0820570593591807	0.492736210821825	0.677375364520408	0.15431972275699	0.829705783408736	0.000986052277641091	0.197062316643042	0.0101826858824792	0.0966892435606433	0.000432249614259827	0.0015122700418332	0.588952487686286	0.696439622402346	0.00594438669649171	0.500076224758918	0.751150208947812	0.16164516803906	0.745817847454078	2.05613660834206	2.98854653411607	0.082378818663098	1.64907716520937	0.786945768382656	1.70725763241331	0.071422763907493	0.00144551934515752	0.435414271834204	0.245395707830859	0	1.4827155953026	15.7602346374329	1.9313197178184	2.73689526640649	0.00849600458858525	0.0995598873664069	0.0386304449541223	0.129287460567524	0.00180605634084688	0.0519432100052299	0.0905621416368918	0.00369480768261548	0.00826751115754779	0.00293195270960534	0.0883106982782646	0.0434408155872376	0.0506285089331182	0.00908100926146629	0.000881246533605625	0.350607964396566	0.00295251741022265	0.0594031660468745	0	0.643190336641883	0.00170694414362205	0.0817182358260279	0	0.00453707882640953	0.000743490586800112	0.00938329024816645	0.71841764851305	0.0339487062268668	0.0649858187216672	0.133964155253691	0	0.0660288648990734	0.24702380821434	1.47411653462912	0.0292041946161514	0.021824460951628	0.00120819310258182	0.100163780683147	0.0177796777583134	0.020645420502671	0.172343525296707	0.191557284208348	0.181286656117341	0.042183410380904	0.197424417605897	0.112060187907973	0.0306015889992171	0	0.139979745158339	0.105034185699185	2.58468742730955	0.492367912090297	0.0223772175017388	0.00362592373601822	0.00295285383255468	0.0370146098952165	0.590595818475862	0.00708805675577402
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__SGB17244	0	0	0.000225827408147741	0.000235744782073764	0.251155002257993	0.0736599580631919	0.0258052977575315	0.211144187783056	0.262378145335407	0.0820570593591807	0.492736210821825	0.677375364520408	0.15431972275699	0.829705783408736	0.000986052277641091	0.197062316643042	0.0101826858824792	0.0966892435606433	0.000432249614259827	0.0015122700418332	0.588952487686286	0.696439622402346	0.00594438669649171	0.500076224758918	0.751150208947812	0.16164516803906	0.745817847454078	2.05613660834206	2.98854653411607	0.082378818663098	1.64907716520937	0.786945768382656	1.70725763241331	0.071422763907493	0.00144551934515752	0.435414271834204	0.245395707830859	0	1.4827155953026	15.7602346374329	1.9313197178184	2.73689526640649	0.00849600458858525	0.0995598873664069	0.0386304449541223	0.129287460567524	0.00180605634084688	0.0519432100052299	0.0905621416368918	0.00369480768261548	0.00826751115754779	0.00293195270960534	0.0883106982782646	0.0434408155872376	0.0506285089331182	0.00908100926146629	0.000881246533605625	0.350607964396566	0.00295251741022265	0.0594031660468745	0	0.643190336641883	0.00170694414362205	0.0817182358260279	0	0.00453707882640953	0.000743490586800112	0.00938329024816645	0.71841764851305	0.0339487062268668	0.0649858187216672	0.133964155253691	0	0.0660288648990734	0.24702380821434	1.47411653462912	0.0292041946161514	0.021824460951628	0.00120819310258182	0.100163780683147	0.0177796777583134	0.020645420502671	0.172343525296707	0.191557284208348	0.181286656117341	0.042183410380904	0.197424417605897	0.112060187907973	0.0306015889992171	0	0.139979745158339	0.105034185699185	2.58468742730955	0.492367912090297	0.0223772175017388	0.00362592373601822	0.00295285383255468	0.0370146098952165	0.590595818475862	0.00708805675577402
k__Bacteria|p__Bacteroidetes	1.83987683325108	4.44629125253803	2.97663949689203	8.32994831556291	1.01603679419194	68.9683631582108	5.41767687537108	9.14264112830031	1.19184857597606	5.05294802360334	4.52731336565141	4.09752403779379	5.08805277650532	3.40040963018275	2.48470657298377	6.40633503416697	9.97918741284346	10.5059588524842	0.862419646461338	0.246306273017887	4.15475715571609	7.85286801436513	3.387000866106	3.13314538668374	4.3264529883535	10.3492323406472	3.7137911309828	3.08016954895632	4.93102452226786	6.81816558820268	3.54323949996122	8.83853904820742	2.57114602198685	9.00142283741566	1.41504654610329	1.76736641284352	4.54409647200026	1.00404262231837	3.89488640692389	0.89870577539629	1.83518249194437	13.854235155021	4.50612349956618	5.36832802065824	2.49748507900433	11.9999640747573	14.5713066020952	40.1010679134886	3.34593260572529	0.936745775023695	5.70879694455197	3.21941729514733	6.39853872288625	4.76441359667014	2.22272821011597	3.01939295854542	1.82582899085438	3.40694680400025	3.4199554318819	3.10974434914153	37.1422084705847	0.871917017688153	0.638534337522305	3.20106707753295	1.07980570762606	0.969658136778439	0.446269563524162	0.999981768803915	4.58860832687943	3.3220873481004	2.15313267361917	1.07782330818206	21.0018241638652	4.18172225050798	3.7664928697112	0.812710418021413	1.40373702425759	1.99343410607925	0.884907801423376	2.57898061946067	1.85559489848343	2.62292621100774	1.19005599380231	1.43204717629525	1.79083580709274	0.916346541975953	1.27340303001489	6.64151234762624	1.36034867219759	6.23739123458225	0.919350240882643	3.83551292267671	8.55899941569784	2.97888541365935	6.60312775525128	1.67799815932048	6.92296337999006	3.71896652304175	6.12726873589296	6.42172718264236
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1.74345370307751	2.44467599575737	1.77152781090238	6.38047793631573	1.00769155030219	68.9433137783101	5.31918606374822	8.9289378738129	1.17718110244172	5.02750941811842	4.46464285214146	4.0732901550008	5.05168659869856	3.37970201625848	2.46158103776472	6.31476217045911	9.92526301449603	10.4364550633308	0.851949324426503	0.242651019798558	4.08811426260798	7.6767790965944	3.38144893904456	3.10534249165128	4.32276432747703	10.1645189991742	3.6819355360899	3.05632531754017	4.90277493630302	6.75555497056633	3.53176340136775	8.77027298123974	2.49548587840796	8.73170381805235	1.37995737787933	1.74980509018562	4.52923676267244	0.997991430178361	3.8150129908486	0.872390590694356	1.79960996526837	13.8337663132675	4.29089202241616	5.05513764900987	2.44790144611415	11.9733256199597	14.5490689515335	16.2076733364178	3.26569134080622	0.933750951742943	4.37881079825643	2.42869630170763	6.37724730122642	4.75828419173419	2.18644909155989	2.97124914350884	1.8138440755029	3.40260861124371	3.41383469996839	3.05178390530703	17.1227030449078	0.853754036893748	0.6354618883026	2.18435577150915	0.840157084962305	0.960737900920362	0.441990187520466	0.992729139245406	4.58188552933369	3.1215012626601	2.14450820755451	0.840137298642979	20.9099798672095	4.16774772900565	3.75971058856301	0.800592105177892	1.39410490280341	1.97903508132069	0.882710670469719	2.5696502315948	1.84612289501489	2.61422490532519	1.18500821065338	1.37631171664731	1.68821547017543	0.872035189761678	1.18008483639954	6.49591908072509	1.3545938845288	6.19736252358254	0.915739246527009	3.82229641957795	8.49226880984317	2.9593910863905	6.60304413920781	1.67789867889995	6.85145031447127	3.70508015025168	6.10541589382278	6.42090608572622
