Taxonomy	CSM67UH7	CSM7KOON	CSM7KOOP	CSMAHYLR	HSM5MD5D	HSM5MD6Q	HSM5MD6W	HSM67VF3	HSM67VFX	HSM67VFZ	HSM67VGK	HSM67VI7	HSM67VI9	HSM67VIB	HSM6XRRJ	HSM6XRTG	HSM6XRUL	HSM6XRUN	HSM6XRVC	HSM6XRVK	HSM7CYXI	HSM7CYXO	HSM7CYZJ	HSM7CZ1A	HSM7CZ1C	HSM7CZ1E	HSM7CZ24	HSM7CZ28	HSM7CZ2A	HSM7J4HC	HSM7J4HW	HSM7J4HY	HSM7J4KO	HSM7J4LD	HSM7J4LN	HSM7J4NY	HSM7J4O5	HSM7J4R2	HSMA33NY	HSMA33SE	HSMA33SG	MSM6J2JR	MSM6J2JZ	MSM6J2K6	MSM6J2KA	MSM6J2QF	MSM6J2QH	MSM6J2RM	MSM6J2RU	MSM79H58	MSM79H5E	MSM79H5M	MSM79H5S	MSM79H5U	MSM79H6D	MSM79H6L	MSM79H83	MSM79H8H	MSM79H9A	MSM79HA7	MSM79HBL	MSM79HC8	MSM79HCP	MSM9VZGO	MSM9VZHB	MSM9VZHN	MSM9VZHP	MSM9VZHR	MSM9VZJZ	MSM9VZKE	MSM9VZL7	MSM9VZLJ	MSM9VZMI	MSM9VZMS	MSM9VZMW	MSM9VZNL	MSM9VZOI	MSM9VZOO	MSM9VZPT	MSMA26BB	MSMA26BF	MSMA26BH	MSMA26BJ	MSMA26BN	MSMA26BR	MSMA26BV	MSMA26DI	MSMAPC5H	MSMAPC6M	MSMAPC7T	MSMB4LZX	MSMB4LZZ	PSM6XBTR	PSM7J154	PSM7J15M	PSM7J17V	PSM7J19P	PSM7J19R	PSM7J1DL	PSMA265L
k__Bacteria	62.98847779424	41.9972186127903	35.5543449008636	48.9115849291378	49.4438626272977	34.318125748001	74.0756235987782	75.3351038188733	43.345973890482	50.3118284082421	59.3461925947377	40.2153275024706	57.4493289018975	29.1261792242877	49.7867210070589	55.0205569027211	27.3305237888699	43.5703640761041	18.5819447523162	28.5860606332305	20.3573580645305	82.1570521895659	28.710239339339	27.1922060979035	44.4268126957545	57.0976954690148	64.6150593011576	34.0595681872096	26.8686684335027	33.5577027552689	38.7378411466753	7.43083008743359	71.8056545649503	49.5773125815082	45.6234063334326	51.0906008692506	22.260610687717	62.4503024747637	49.9144151900176	44.2815055406625	21.2423899868606	60.7226646141667	55.2036734950071	42.0587439079061	38.838984618571	50.1757138040144	32.9910576691203	39.8164963834835	48.9422348767868	35.8707301055721	36.3140029999473	45.9053369239255	54.6000175659353	38.8535420385227	36.0068543312637	30.666186654358	62.9767791512022	33.5295617874507	44.1678589336806	45.4415312373868	35.125779807339	49.7618278159984	45.4611319397578	36.2044849595685	49.3425059286243	59.3116320323159	32.4034748541742	51.818067191982	40.2332790103076	36.0743249368932	41.6297427524059	34.1864865369293	68.4289433164161	44.5187555995308	34.3548687159795	37.486326125496	73.6829104468071	74.4787857423985	46.4337660408137	39.0982016454392	17.0781144948348	33.4921242628792	32.4594599296707	18.8872428740928	31.2132075838038	33.9880528572587	31.0678547343418	26.5336491015631	41.4188752809689	65.253776209605	20.5727908926949	45.3181514082471	40.1002029436008	38.4507113002823	45.231630915254	41.7885628524028	65.0151321820351	33.1367723389027	31.2818000854393	28.7716120302792
k__Bacteria|p__Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05297042481654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05297042481654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05297042481654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05297042481654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05297042481654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05297042481654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__SGB17244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05297042481654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes	7.80580922163791	33.4929858623693	26.5210282247313	44.7216269697731	19.3686440541684	34.318125748001	65.3330694396616	73.5876351079027	11.0985319899463	40.703937041138	49.0244483341782	36.3651489656591	52.3079355457261	26.1791464107667	39.3642808429425	46.282359669252	25.8573659425002	39.8417340627064	0	0	20.3573580645305	82.1570521895659	9.01109007542676	17.3297474600586	24.4850536968814	57.0976954690148	59.7046025008054	27.2122681028238	26.8686684335027	26.4904491537615	24.5459473952858	5.94047265686131	66.274132473562	47.2012184515744	28.8208111870886	33.7637927045626	16.2489732909589	51.3761455465578	35.899647865427	21.0990877449651	18.4434825881054	32.2856094467285	48.99823537285	40.3328204228324	28.2117949073092	45.6224666272869	23.6218753925994	36.8965909498183	30.6968791269856	17.8299621527996	19.0328485142939	15.1834830642014	45.2132170227503	30.4149915823566	15.1221550988442	22.9729807508211	53.2322129229002	21.6021509825952	30.6985328738427	23.547830351836	35.125779807339	1.57539697303274	33.9177553817972	5.70804830961657	9.49051921291403	37.6945190421278	10.6076937483304	27.8939838297387	18.0104143992602	29.9614269112355	16.1816822444485	3.03105356385839	64.0399753894884	35.9054913579588	12.3445460142576	1.92301033591639	66.556807642642	61.8926682755174	32.6965547909264	8.19887486705766	10.3570471836685	14.0521748176715	2.65267626330938	6.53866565931894	20.9162176780271	13.327362028467	11.6579164514619	26.5336491015631	5.90366814299958	46.3680392328918	0	23.0756769201756	36.7625245107831	22.4380756499918	0	6.90965606962054	54.303851821863	18.0498860050337	23.2525949903081	4.77180181202415
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	7.80580922163791	12.5389047731681	13.8892723691658	30.4282644381718	19.3686440541684	34.318125748001	65.3330694396616	73.5876351079027	11.0985319899463	40.703937041138	49.0244483341782	36.3651489656591	52.3079355457261	26.1791464107667	39.3642808429425	46.282359669252	25.8573659425002	39.8417340627064	0	0	20.3573580645305	82.1570521895659	9.01109007542676	17.3297474600586	24.4850536968814	57.0976954690148	59.7046025008054	27.2122681028238	26.8686684335027	26.4904491537615	24.5459473952858	5.94047265686131	66.274132473562	39.79741616414	28.8208111870886	33.7637927045626	16.2489732909589	51.3761455465578	35.899647865427	14.1491565722288	18.4434825881054	32.2856094467285	48.99823537285	9.3315420210306	28.2117949073092	45.6224666272869	23.6218753925994	23.3720565836657	30.6968791269856	17.8299621527996	19.0328485142939	8.22331947933082	45.2132170227503	30.4149915823566	15.1221550988442	22.9729807508211	53.2322129229002	21.6021509825952	30.6985328738427	23.547830351836	21.4456937300594	1.57539697303274	33.9177553817972	5.70804830961657	9.49051921291403	37.6945190421278	10.6076937483304	27.8939838297387	18.0104143992602	14.9297665040003	16.1816822444485	0	64.0399753894884	35.9054913579588	12.3445460142576	1.92301033591639	66.556807642642	61.8926682755174	32.6965547909264	8.19887486705766	10.3570471836685	14.0521748176715	2.65267626330938	6.53866565931894	10.724897440079	7.24990290746161	11.6579164514619	26.5336491015631	5.90366814299958	46.3680392328918	0	23.0756769201756	36.7625245107831	22.4380756499918	0	6.90965606962054	54.303851821863	18.0498860050337	23.2525949903081	4.77180181202415
