#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	PSMA265L_taxonomic_profile	PSM7J1DL_taxonomic_profile	PSM7J19R_taxonomic_profile	PSM7J19P_taxonomic_profile	PSM7J17V_taxonomic_profile	PSM7J15M_taxonomic_profile	PSM7J154_taxonomic_profile	PSM6XBTR_taxonomic_profile	MSMB4LZZ_taxonomic_profile	MSMB4LZX_taxonomic_profile	MSMAPC7T_taxonomic_profile	MSMAPC6M_taxonomic_profile	MSMAPC5H_taxonomic_profile	MSMA26DI_taxonomic_profile	MSMA26BV_taxonomic_profile	MSMA26BR_taxonomic_profile	MSMA26BN_taxonomic_profile	MSMA26BJ_taxonomic_profile	MSMA26BH_taxonomic_profile	MSMA26BF_taxonomic_profile	MSMA26BB_taxonomic_profile	MSM9VZPT_taxonomic_profile	MSM9VZOO_taxonomic_profile	MSM9VZOI_taxonomic_profile	MSM9VZNL_taxonomic_profile	MSM9VZMW_taxonomic_profile	MSM9VZMS_taxonomic_profile	MSM9VZMI_taxonomic_profile	MSM9VZLJ_taxonomic_profile	MSM9VZL7_taxonomic_profile	MSM9VZKE_taxonomic_profile	MSM9VZJZ_taxonomic_profile	MSM9VZHR_taxonomic_profile	MSM9VZHP_taxonomic_profile	MSM9VZHN_taxonomic_profile	MSM9VZHB_taxonomic_profile	MSM9VZGO_taxonomic_profile	MSM79HCP_taxonomic_profile	MSM79HC8_taxonomic_profile	MSM79HBL_taxonomic_profile	MSM79HA7_taxonomic_profile	MSM79H9A_taxonomic_profile	MSM79H8H_taxonomic_profile	MSM79H83_taxonomic_profile	MSM79H6L_taxonomic_profile	MSM79H6D_taxonomic_profile	MSM79H5U_taxonomic_profile	MSM79H5S_taxonomic_profile	MSM79H5M_taxonomic_profile	MSM79H5E_taxonomic_profile	MSM79H58_taxonomic_profile	MSM6J2RU_taxonomic_profile	MSM6J2RM_taxonomic_profile	MSM6J2QH_taxonomic_profile	MSM6J2QF_taxonomic_profile	MSM6J2KA_taxonomic_profile	MSM6J2K6_taxonomic_profile	MSM6J2JZ_taxonomic_profile	MSM6J2JR_taxonomic_profile	HSMA33SG_taxonomic_profile	HSMA33SE_taxonomic_profile	HSMA33NY_taxonomic_profile	HSM7J4R2_taxonomic_profile	HSM7J4O5_taxonomic_profile	HSM7J4NY_taxonomic_profile	HSM7J4LN_taxonomic_profile	HSM7J4LD_taxonomic_profile	HSM7J4KO_taxonomic_profile	HSM7J4HY_taxonomic_profile	HSM7J4HW_taxonomic_profile	HSM7J4HC_taxonomic_profile	HSM7CZ2A_taxonomic_profile	HSM7CZ28_taxonomic_profile	HSM7CZ24_taxonomic_profile	HSM7CZ1E_taxonomic_profile	HSM7CZ1C_taxonomic_profile	HSM7CZ1A_taxonomic_profile	HSM7CYZJ_taxonomic_profile	HSM7CYXO_taxonomic_profile	HSM7CYXI_taxonomic_profile	HSM6XRVK_taxonomic_profile	HSM6XRVC_taxonomic_profile	HSM6XRUN_taxonomic_profile	HSM6XRUL_taxonomic_profile	HSM6XRTG_taxonomic_profile	HSM6XRRJ_taxonomic_profile	HSM67VIB_taxonomic_profile	HSM67VI9_taxonomic_profile	HSM67VI7_taxonomic_profile	HSM67VGK_taxonomic_profile	HSM67VFZ_taxonomic_profile	HSM67VFX_taxonomic_profile	HSM67VF3_taxonomic_profile	HSM5MD6W_taxonomic_profile	HSM5MD6Q_taxonomic_profile	HSM5MD5D_taxonomic_profile	CSMAHYLR_taxonomic_profile	CSM7KOOP_taxonomic_profile	CSM7KOON_taxonomic_profile	CSM67UH7_taxonomic_profile
UNKNOWN	-1	43.363040000000005	26.09364	43.79673	24.70743	26.378890000000002	47.416470000000004	20.61777	22.238429999999997	27.086679999999998	44.31813	36.682179999999995	34.85795	14.46173	35.533840000000005	37.68488	28.45304	36.26082	32.1048	30.86546	32.058659999999996	30.07528	62.921330000000005	1.47584	0.0	64.14161999999999	41.183170000000004	27.7951	54.639619999999994	65.15117	29.35107	27.012729999999998	27.396109999999997	18.19967	33.9955	18.129279999999998	65.53794	61.383030000000005	13.09177	45.74875	47.35485	36.727129999999995	55.71508000000001	32.44932	2.82271	41.16899	40.4109	32.25483	20.85867	64.72567	47.0923	57.57376	36.08144	31.74243	25.68741	27.0169	41.029920000000004	27.76223	32.42642	18.42416	32.65851	37.16863	33.87552	39.681740000000005	28.06317	32.72355	20.96085	17.03193	21.6066	22.966260000000002	35.2935	34.218779999999995	26.93818	26.890290000000004	25.920189999999998	39.4813	45.47067	39.158190000000005	31.80515	22.46876	28.60895	43.95474	39.150940000000006	31.82995	26.433840000000004	25.80361	38.65692	28.607509999999998	24.31435	26.447409999999998	25.85559	36.89759	43.059309999999996	18.7655	24.15029	40.30186	44.03241	54.8211	58.555530000000005	58.38701999999999	43.7882
k__Archaea	2157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09213677861713566	0	0	0	0	0	0	0.9246055607149044	0	0	0	0	0	0	0	0.054612125444068	0	0	0	0.02006382844722676	0.16172851297109264	0	0	0.16891560082748322	0.001954522349088307	0	0	0.026868457128880315	0	0.06102590238450785	0	0	0	0	0.009441110580980176	0.015646699929738446	0.0012501111581362636	0	0	0	0	0	0.2864021049538464	0.31105268421504423	0	0	0	0.0035589587779550906	0.25729894374224777	0	0.3312038404668208	0.10209771194788338	0.12316509050482725	0	0.00849566955453059	0	0	0	0	0	0	0	0	0	0	0.11329274117191307	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	2157|28890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09213677861713566	0	0	0	0	0	0	0.9246055607149044	0	0	0	0	0	0	0	0.054612125444068	0	0	0	0.02006382844722676	0.16172851297109264	0	0	0.16891560082748322	0.001954522349088307	0	0	0.026868457128880315	0	0.06102590238450785	0	0	0	0	0.009441110580980176	0.015646699929738446	0.0012501111581362636	0	0	0	0	0	0.2864021049538464	0.31105268421504423	0	0	0	0.0035589587779550906	0.25729894374224777	0	0.3312038404668208	0.10209771194788338	0.12316509050482725	0	0.00849566955453059	0	0	0	0	0	0	0	0	0	0	0.11329274117191307	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09213677861713566	0	0	0	0	0	0	0.9246055607149044	0	0	0	0	0	0	0	0.054612125444068	0	0	0	0	0.059262074495595875	0	0	0	0	0	0	0.026868457128880315	0	0.06102590238450785	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052744739791196	0	0	0	0	0.0042447466828013924	0	0	0.0038309488765263795	0	0	0.00849566955453059	0	0	0	0	0	0	0	0	0	0	0.004669068796170594	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09213677861713566	0	0	0	0	0	0	0.9246055607149044	0	0	0	0	0	0	0	0.054612125444068	0	0	0	0	0.059262074495595875	0	0	0	0	0	0	0.026868457128880315	0	0.06102590238450785	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052744739791196	0	0	0	0	0.0042447466828013924	0	0	0.0038309488765263795	0	0	0.00849566955453059	0	0	0	0	0	0	0	0	0	0	0.004669068796170594	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09213677861713566	0	0	0	0	0	0	0.9246055607149044	0	0	0	0	0	0	0	0.054612125444068	0	0	0	0	0.059262074495595875	0	0	0	0	0	0	0.026868457128880315	0	0.06102590238450785	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052744739791196	0	0	0	0	0.0042447466828013924	0	0	0.0038309488765263795	0	0	0.00849566955453059	0	0	0	0	0	0	0	0	0	0	0.004669068796170594	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09213677861713566	0	0	0	0	0	0	0.9246055607149044	0	0	0	0	0	0	0	0.054612125444068	0	0	0	0	0.059262074495595875	0	0	0	0	0	0	0.026868457128880315	0	0.06102590238450785	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052744739791196	0	0	0	0	0.0042447466828013924	0	0	0.0038309488765263795	0	0	0.00849566955453059	0	0	0	0	0	0	0	0	0	0	0.004669068796170594	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09213677861713566	0	0	0	0	0	0	0.9246055607149044	0	0	0	0	0	0	0	0.054612125444068	0	0	0	0	0.059262074495595875	0	0	0	0	0	0	0.026868457128880315	0	0.06102590238450785	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052744739791196	0	0	0	0	0.0042447466828013924	0	0	0.0038309488765263795	0	0	0.00849566955453059	0	0	0	0	0	0	0	0	0	0	0.004669068796170594	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata	2157|28890|183967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02006382844722676	0.10246643847549676	0	0	0.16891560082748322	0.001954522349088307	0	0	0	0	0	0	0	0	0	0.009441110580980176	0.015646699929738446	0.0012501111581362636	0	0	0	0	0	0.2864021049538464	0.30577821023592466	0	0	0	0.0035589587779550906	0.2530541970594464	0	0.3312038404668208	0.09825945210021858	0.12316509050482725	0	0	0	0	0	0	0	0	0	0	0	0	0.1086236723757425	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales	2157|28890|183967|1235850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02006382844722676	0.10246643847549676	0	0	0.16891560082748322	0.001954522349088307	0	0	0	0	0	0	0	0	0	0.009441110580980176	0.015646699929738446	0.0012501111581362636	0	0	0	0	0	0.2864021049538464	0.30577821023592466	0	0	0	0.0035589587779550906	0.2530541970594464	0	0.3312038404668208	0.09825945210021858	0.12316509050482725	0	0	0	0	0	0	0	0	0	0	0	0	0.1086236723757425	0	0	0	0	0	0	0	0	0	0	0	0	0
