clade_name	CSM67UH7_taxonomic_profile	CSM7KOON_taxonomic_profile	CSM7KOOP_taxonomic_profile	CSMAHYLR_taxonomic_profile	HSM5MD5D_taxonomic_profile	HSM5MD6Q_taxonomic_profile	HSM5MD6W_taxonomic_profile	HSM67VF3_taxonomic_profile	HSM67VFX_taxonomic_profile	HSM67VFZ_taxonomic_profile	HSM67VGK_taxonomic_profile	HSM67VI7_taxonomic_profile	HSM67VI9_taxonomic_profile	HSM67VIB_taxonomic_profile	HSM6XRRJ_taxonomic_profile	HSM6XRTG_taxonomic_profile	HSM6XRUL_taxonomic_profile	HSM6XRUN_taxonomic_profile	HSM6XRVC_taxonomic_profile	HSM6XRVK_taxonomic_profile	HSM7CYXI_taxonomic_profile	HSM7CYXO_taxonomic_profile	HSM7CYZJ_taxonomic_profile	HSM7CZ1A_taxonomic_profile	HSM7CZ1C_taxonomic_profile	HSM7CZ1E_taxonomic_profile	HSM7CZ24_taxonomic_profile	HSM7CZ28_taxonomic_profile	HSM7CZ2A_taxonomic_profile	HSM7J4HC_taxonomic_profile	HSM7J4HW_taxonomic_profile	HSM7J4HY_taxonomic_profile	HSM7J4KO_taxonomic_profile	HSM7J4LD_taxonomic_profile	HSM7J4LN_taxonomic_profile	HSM7J4NY_taxonomic_profile	HSM7J4O5_taxonomic_profile	HSM7J4R2_taxonomic_profile	HSMA33NY_taxonomic_profile	HSMA33SE_taxonomic_profile	HSMA33SG_taxonomic_profile	MSM6J2JR_taxonomic_profile	MSM6J2JZ_taxonomic_profile	MSM6J2K6_taxonomic_profile	MSM6J2KA_taxonomic_profile	MSM6J2QF_taxonomic_profile	MSM6J2QH_taxonomic_profile	MSM6J2RM_taxonomic_profile	MSM6J2RU_taxonomic_profile	MSM79H58_taxonomic_profile	MSM79H5E_taxonomic_profile	MSM79H5M_taxonomic_profile	MSM79H5S_taxonomic_profile	MSM79H5U_taxonomic_profile	MSM79H6D_taxonomic_profile	MSM79H6L_taxonomic_profile	MSM79H83_taxonomic_profile	MSM79H8H_taxonomic_profile	MSM79H9A_taxonomic_profile	MSM79HA7_taxonomic_profile	MSM79HBL_taxonomic_profile	MSM79HC8_taxonomic_profile	MSM79HCP_taxonomic_profile	MSM9VZGO_taxonomic_profile	MSM9VZHB_taxonomic_profile	MSM9VZHN_taxonomic_profile	MSM9VZHP_taxonomic_profile	MSM9VZHR_taxonomic_profile	MSM9VZJZ_taxonomic_profile	MSM9VZKE_taxonomic_profile	MSM9VZL7_taxonomic_profile	MSM9VZLJ_taxonomic_profile	MSM9VZMI_taxonomic_profile	MSM9VZMS_taxonomic_profile	MSM9VZMW_taxonomic_profile	MSM9VZNL_taxonomic_profile	MSM9VZOI_taxonomic_profile	MSM9VZOO_taxonomic_profile	MSM9VZPT_taxonomic_profile	MSMA26BB_taxonomic_profile	MSMA26BF_taxonomic_profile	MSMA26BH_taxonomic_profile	MSMA26BJ_taxonomic_profile	MSMA26BN_taxonomic_profile	MSMA26BR_taxonomic_profile	MSMA26BV_taxonomic_profile	MSMA26DI_taxonomic_profile	MSMAPC5H_taxonomic_profile	MSMAPC6M_taxonomic_profile	MSMAPC7T_taxonomic_profile	MSMB4LZX_taxonomic_profile	MSMB4LZZ_taxonomic_profile	PSM6XBTR_taxonomic_profile	PSM7J154_taxonomic_profile	PSM7J15M_taxonomic_profile	PSM7J17V_taxonomic_profile	PSM7J19P_taxonomic_profile	PSM7J19R_taxonomic_profile	PSM7J1DL_taxonomic_profile	PSMA265L_taxonomic_profile
k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0.00564206725344166	0.00990360491218804	0.0204415372035977	0	0	0	0	0	0	0	0	0	0	0.00759042088883829	0	0.00661594442606682	0.00925197761021418	0.0644560624507627	0	0.0241196333815726	0	0	0	0	0.0942902042954426	0.0266937162991832	0	0	0	0	0	0	0.00300318337437684	0	0	0	0	0	0.0191920161212935	0.115219440661988	0.169635284139101	0	0	0	0.0523795270876983	0	0	0.0389048290619073	0.00384054074813734	0.0082162517459535	0	0	0.0299341448812612	0	0	0	0	0	0	0	0.45325539035032	0	0	0	0	0	0	0.0689566004395983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0.00564206725344166	0.00990360491218804	0.0204415372035977	0	0	0	0	0	0	0	0	0	0	0.00759042088883829	0	0.00661594442606682	0.00925197761021418	0.0644560624507627	0	0.0241196333815726	0	0	0	0	0.0942902042954426	0.0266937162991832	0	0	0	0	0	0	0.00300318337437684	0	0	0	0	0	0.0191920161212935	0.115219440661988	0.169635284139101	0	0	0	0.0523795270876983	0	0	0.0389048290619073	0.00384054074813734	0.0082162517459535	0	0	0.0299341448812612	0	0	0	0	0	0	0	0.45325539035032	0	0	0	0	0	0	0.0689566004395983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0.00564206725344166	0.00990360491218804	0.00408830744071954	0	0	0	0	0	0	0	0	0	0	0.00759042088883829	0	0	0.00462598880510709	0	0	0.00602990834539315	0	0	0	0	0.0157150340492404	0.00533874325983663	0	0	0	0	0	0	0	0	0	0	0	0	0.0191920161212935	0.0157117419084529	0.0271416454622562	0	0	0	0	0	0	0.0340417254291689	0	0.0082162517459535	0	0	0.0199560965875075	0	0	0	0	0	0	0	0.436311263608252	0	0	0	0	0	0	0.0689566004395983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0.00564206725344166	0.00990360491218804	0.00408830744071954	0	0	0	0	0	0	0	0	0	0	0.00759042088883829	0	0	0.00462598880510709	0	0	0.00602990834539315	0	0	0	0	0.0157150340492404	0.00533874325983663	0	0	0	0	0	0	0	0	0	0	0	0	0.0191920161212935	0.0157117419084529	0.0271416454622562	0	0	0	0	0	0	0.0340417254291689	0	0.0082162517459535	0	0	0.0199560965875075	0	0	0	0	0	0	0	0.436311263608252	0	0	0	0	0	0	0.0689566004395983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0.00564206725344166	0.00990360491218804	0.00408830744071954	0	0	0	0	0	0	0	0	0	0	0.00759042088883829	0	0	0.00462598880510709	0	0	0.00602990834539315	0	0	0	0	0.0157150340492404	0.00533874325983663	0	0	0	0	0	0	0	0	0	0	0	0	0.0191920161212935	0.0157117419084529	0.0271416454622562	0	0	0	0	0	0	0.0340417254291689	0	0.0082162517459535	0	0	0.0199560965875075	0	0	0	0	0	0	0	0.436311263608252	0	0	0	0	0	0	0.0689566004395983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0.00564206725344166	0.00990360491218804	0.00408830744071954	0	0	0	0	0	0	0	0	0	0	0.00759042088883829	0	0	0.00462598880510709	0	0	0.00602990834539315	0	0	0	0	0.0157150340492404	0.00533874325983663	0	0	0	0	0	0	0	0	0	0	0	0	0.0191920161212935	0.0157117419084529	0.0271416454622562	0	0	0	0	0	0	0.0340417254291689	0	0.0082162517459535	0	0	0.0199560965875075	0	0	0	0	0	0	0	0.432075231922735	0	0	0	0	0	0	0.0689566004395983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00423603168551701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Unclassified_Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0.00564206725344166	0.00990360491218804	0.00408830744071954	0	0	0	0	0	0	0	0	0	0	0.00759042088883829	0	0	0.00462598880510709	0	0	0.00602990834539315	0	0	0	0	0.0157150340492404	0.00533874325983663	0	0	0	0	0	0	0	0	0	0	0	0	0.0191920161212935	0.0157117419084529	0.0271416454622562	0	0	0	0	0	0	0.0340417254291689	0	0.0082162517459535	0	0	0.0199560965875075	0	0	0	0	0	0	0	0.427839200237218	0	0	0	0	0	0	0.0689566004395983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Unclassified_Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00423603168551701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Unclassified_Methanobacteriaceae|s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00423603168551701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
