;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61;ID62;ID63;ID64;ID65;ID66;ID67;ID68;ID69;ID70;ID71;ID72;ID73;ID74;ID75;ID76;ID77;ID78;ID79;ID80;ID81;ID82;ID83;ID84;ID85;ID86;ID87;ID88;ID89;ID90;ID91;ID92;ID93;ID94;ID95;ID96;ID97;ID98;ID99
ID0;0.000000;0.846623;0.835667;0.921469;0.898849;0.927910;0.934529;0.945533;0.910113;0.906990;0.962430;0.913698;0.925294;0.926655;0.970333;0.953793;0.909837;0.908483;0.959405;0.927230;0.955191;0.932515;0.935635;0.908527;0.917556;0.956908;0.913001;0.910345;0.918526;0.905329;0.923211;0.928950;0.922108;0.940247;0.931651;0.925884;0.927921;0.954247;0.921206;0.924613;0.924331;0.842716;0.939642;0.926758;0.916900;0.900477;0.902841;0.939960;0.906603;0.953418;0.911492;0.934552;0.902072;0.933858;0.911476;0.933090;0.959289;0.927709;0.959379;0.914474;0.942765;0.930944;0.944470;0.955331;0.954899;0.948444;0.942288;0.940226;0.926119;0.920154;0.922579;0.945601;0.944068;0.903690;0.922626;0.916891;0.932925;0.940654;0.952811;0.919642;0.909354;0.904414;0.925515;0.914835;0.901356;0.918982;0.927058;0.906493;0.923381;0.923303;0.935897;0.904971;0.907875;0.909148;0.991532;0.994720;0.946127;0.883655;0.916150;0.987120
ID1;0.846623;0.000000;0.522684;0.740462;0.897720;0.873894;0.938396;0.937262;0.894254;0.885344;0.950582;0.903864;0.918844;0.918978;0.963855;0.937674;0.888197;0.893614;0.943875;0.940813;0.940190;0.925458;0.889651;0.912006;0.889709;0.956028;0.902387;0.905197;0.899870;0.916255;0.900627;0.917943;0.921655;0.948765;0.940873;0.905848;0.904267;0.945232;0.918592;0.909722;0.893340;0.909836;0.928957;0.914148;0.885705;0.891143;0.885726;0.922605;0.903121;0.923638;0.882643;0.899865;0.887833;0.887422;0.902928;0.892398;0.952419;0.891156;0.930655;0.900628;0.901835;0.903843;0.947431;0.937621;0.961246;0.932737;0.925965;0.928572;0.919332;0.866645;0.871066;0.919694;0.934234;0.844803;0.843238;0.926349;0.949059;0.945301;0.920471;0.859919;0.853442;0.850709;0.871244;0.859549;0.855005;0.865558;0.894569;0.876908;0.879255;0.897518;0.891818;0.856994;0.913035;0.881255;0.988979;0.993411;0.925223;0.893442;0.874359;0.981201
ID2;0.835667;0.522684;0.000000;0.761630;0.886514;0.877782;0.930458;0.927198;0.871205;0.880573;0.946365;0.898192;0.912552;0.913215;0.965155;0.937001;0.881639;0.880555;0.938565;0.931624;0.943270;0.916124;0.896050;0.904799;0.888542;0.954949;0.894936;0.896423;0.893534;0.908744;0.897621;0.912832;0.910487;0.941494;0.931620;0.901916;0.900912;0.939864;0.905955;0.897751;0.876699;0.898841;0.929799;0.909811;0.882952;0.887989;0.871351;0.914073;0.897824;0.920727;0.883298;0.889212;0.880004;0.884758;0.893538;0.900354;0.948481;0.889020;0.930130;0.895795;0.900001;0.882668;0.942643;0.924024;0.956446;0.927214;0.919357;0.916780;0.910206;0.849209;0.858744;0.907042;0.936907;0.848565;0.857944;0.913167;0.941481;0.943145;0.922650;0.845648;0.846500;0.852577;0.849510;0.838239;0.838286;0.852753;0.878459;0.864336;0.862438;0.896885;0.877751;0.848645;0.905171;0.866851;0.980578;0.985763;0.916717;0.875267;0.871769;0.968574
ID3;0.921469;0.740462;0.761630;0.000000;0.945709;0.915788;0.965249;0.932957;0.941372;0.932417;0.968793;0.940073;0.935219;0.937166;0.939018;0.959270;0.890405;0.896550;0.930092;0.929745;0.961429;0.936826;0.917009;0.917118;0.903066;0.967305;0.941474;0.937739;0.916971;0.911556;0.917057;0.930101;0.940718;0.977519;0.974217;0.929515;0.922904;0.929273;0.955016;0.941293;0.927566;0.928872;0.947461;0.929172;0.913882;0.907899;0.912002;0.940899;0.913328;0.919922;0.901596;0.923533;0.903643;0.894210;0.917772;0.911889;0.970259;0.917908;0.905617;0.913612;0.907072;0.929376;0.970017;0.956287;0.976844;0.962186;0.961651;0.965144;0.935494;0.879936;0.913689;0.942597;0.971039;0.878110;0.882058;0.943273;0.973719;0.968320;0.926445;0.895496;0.908071;0.900980;0.913699;0.902179;0.899721;0.922205;0.924434;0.899204;0.919973;0.948314;0.926788;0.893203;0.925233;0.926438;0.988456;0.993637;0.944427;0.920278;0.904744;0.986491
ID4;0.898849;0.897720;0.886514;0.945709;0.000000;0.871187;0.878493;0.910131;0.616938;0.647218;0.921444;0.865724;0.893866;0.880860;0.956305;0.917681;0.876323;0.880867;0.910268;0.892100;0.924186;0.886898;0.880312;0.870833;0.860135;0.950938;0.860129;0.859668;0.867462;0.877508;0.840567;0.886761;0.862423;0.903227;0.890926;0.864255;0.877581;0.898414;0.854464;0.844709;0.862197;0.884887;0.941391;0.918443;0.901663;0.882007;0.860757;0.915032;0.896227;0.935661;0.890753;0.915077;0.853101;0.879028;0.895786;0.927270;0.953584;0.858974;0.936543;0.911023;0.913280;0.878499;0.952615;0.938848;0.955411;0.922130;0.902103;0.904386;0.896147;0.858642;0.880579;0.923091;0.934753;0.881848;0.908273;0.905512;0.952450;0.940394;0.926192;0.890925;0.871910;0.877399;0.882612;0.842731;0.833065;0.848646;0.861881;0.861384;0.882537;0.870945;0.891286;0.875810;0.880943;0.821158;0.979584;0.991182;0.924093;0.870529;0.851627;0.975923
ID5;0.927910;0.873894;0.877782;0.915788;0.871187;0.000000;0.795727;0.824550;0.861610;0.848934;0.934668;0.837655;0.882068;0.863859;0.928036;0.923468;0.837154;0.851008;0.920507;0.927913;0.723286;0.775464;0.843021;0.905321;0.882919;0.954030;0.821465;0.838531;0.817633;0.895618;0.836281;0.859594;0.742214;0.892781;0.885683;0.851176;0.832070;0.922747;0.866308;0.881692;0.859215;0.892491;0.941772;0.921166;0.909822;0.843768;0.851100;0.900273;0.917895;0.921764;0.887171;0.922963;0.847823;0.854318;0.919556;0.929928;0.964071;0.872040;0.923437;0.915804;0.889490;0.918505;0.955823;0.950086;0.964637;0.939392;0.928867;0.928012;0.915139;0.878097;0.877190;0.943860;0.938478;0.862032;0.868987;0.936019;0.954750;0.933979;0.912359;0.891204;0.879475;0.867834;0.893335;0.885109;0.843518;0.870225;0.866132;0.829952;0.895570;0.886014;0.906125;0.875338;0.873414;0.833011;0.988316;0.994315;0.928680;0.880814;0.804998;0.986683
ID6;0.934529;0.938396;0.930458;0.965249;0.878493;0.795727;0.000000;0.484477;0.876810;0.832875;0.938734;0.767326;0.761675;0.740728;0.807288;0.937878;0.803773;0.809051;0.861558;0.911035;0.839980;0.407362;0.904603;0.861541;0.906533;0.960154;0.771807;0.769257;0.823330;0.865641;0.865431;0.774083;0.601391;0.607592;0.738532;0.810019;0.809413;0.846298;0.835035;0.868384;0.906586;0.888385;0.959878;0.938879;0.938088;0.808733;0.800992;0.843001;0.934687;0.958382;0.927022;0.951698;0.810390;0.899187;0.927789;0.955973;0.944547;0.928570;0.957144;0.935766;0.924839;0.943847;0.939989;0.968481;0.976657;0.905574;0.926034;0.903744;0.922317;0.856083;0.913609;0.966011;0.905894;0.893788;0.928745;0.961250;0.937109;0.912521;0.945799;0.909105;0.902431;0.899687;0.921287;0.905466;0.881329;0.920870;0.889870;0.855574;0.919368;0.848009;0.936081;0.895614;0.792309;0.828340;0.985054;0.996412;0.948614;0.917994;0.848401;0.987529
ID7;0.945533;0.937262;0.927198;0.932957;0.910131;0.824550;0.484477;0.000000;0.905756;0.828549;0.961659;0.798332;0.705852;0.759624;0.835858;0.960484;0.801380;0.808439;0.896945;0.951404;0.877548;0.369497;0.895259;0.843921;0.879852;0.970043;0.809517;0.786819;0.836673;0.876486;0.869911;0.748007;0.536346;0.624237;0.758684;0.810211;0.817246;0.878327;0.876956;0.899236;0.924078;0.851967;0.965447;0.937613;0.933932;0.801038;0.802353;0.854625;0.930252;0.939889;0.938877;0.957965;0.776946;0.891147;0.932665;0.951093;0.934354;0.945372;0.920777;0.931169;0.909546;0.955965;0.922862;0.980471;0.980817;0.902847;0.955502;0.927323;0.925331;0.800589;0.928177;0.977620;0.863437;0.896288;0.923847;0.969850;0.914670;0.906742;0.936341;0.908545;0.924368;0.920112;0.938692;0.908657;0.888761;0.931593;0.900156;0.838996;0.934891;0.865787;0.952173;0.901490;0.726302;0.856932;0.989603;0.990973;0.950945;0.927176;0.854439;0.990285
ID8;0.910113;0.894254;0.871205;0.941372;0.616938;0.861610;0.876810;0.905756;0.000000;0.652090;0.930273;0.861417;0.896910;0.885428;0.961170;0.925553;0.861761;0.865246;0.917448;0.905384;0.917055;0.880825;0.888899;0.872886;0.868368;0.949831;0.853600;0.860919;0.866861;0.872998;0.869751;0.883461;0.852508;0.898699;0.886901;0.871072;0.883816;0.899581;0.843038;0.843192;0.842528;0.885906;0.941912;0.920804;0.906096;0.883469;0.855940;0.904759;0.904925;0.940143;0.888422;0.912483;0.853057;0.888375;0.900609;0.930243;0.946293;0.856360;0.949502;0.912706;0.907068;0.849624;0.943483;0.922155;0.953265;0.912379;0.896311;0.889551;0.900927;0.842230;0.855797;0.913883;0.930885;0.867074;0.902961;0.884201;0.946485;0.932881;0.934967;0.869554;0.852293;0.862163;0.857071;0.822691;0.805761;0.826343;0.848309;0.838401;0.868513;0.866445;0.875359;0.859366;0.874952;0.804327;0.977325;0.988009;0.916700;0.870014;0.844375;0.968184
ID9;0.906990;0.885344;0.880573;0.932417;0.647218;0.848934;0.832875;0.828549;0.652090;0.000000;0.940431;0.820362;0.817962;0.844303;0.934416;0.929354;0.797500;0.814128;0.907128;0.917264;0.916796;0.803509;0.859237;0.818261;0.842036;0.953266;0.815004;0.790281;0.833646;0.835895;0.829311;0.810530;0.777139;0.825651;0.807266;0.812025;0.844925;0.899962;0.824039;0.837600;0.868012;0.854009;0.947125;0.918975;0.902260;0.833579;0.811209;0.883702;0.896713;0.929019;0.899541;0.920850;0.778191;0.865019;0.897687;0.922242;0.932801;0.866888;0.931197;0.912377;0.894412;0.876402;0.925582;0.947566;0.960624;0.901626;0.914371;0.888797;0.865952;0.782341;0.881589;0.938309;0.886226;0.846197;0.882926;0.904872;0.925502;0.912244;0.923193;0.870566;0.870993;0.868103;0.888858;0.842808;0.825141;0.863225;0.853129;0.806405;0.885366;0.834343;0.904159;0.851399;0.797725;0.795216;0.986557;0.989821;0.925473;0.882477;0.819465;0.983591
