X.mOTUs2_clade	CSM67UH7	CSM7KOON	CSM7KOOP	CSMAHYLR	HSM5MD5D	HSM5MD6Q	HSM5MD6W	HSM67VF3	HSM67VFX	HSM67VFZ	HSM67VGK	HSM67VI7	HSM67VI9	HSM67VIB	HSM6XRRJ	HSM6XRTG	HSM6XRUL	HSM6XRUN	HSM6XRVC	HSM6XRVK	HSM7CYXI	HSM7CYXO	HSM7CYZJ	HSM7CZ1A	HSM7CZ1C	HSM7CZ1E	HSM7CZ24	HSM7CZ28	HSM7CZ2A	HSM7J4HC	HSM7J4HW	HSM7J4HY	HSM7J4KO	HSM7J4LD	HSM7J4LN	HSM7J4NY	HSM7J4O5	HSM7J4R2	HSMA33NY	HSMA33SE	HSMA33SG	MSM6J2JR	MSM6J2JZ	MSM6J2K6	MSM6J2KA	MSM6J2QF	MSM6J2QH	MSM6J2RM	MSM6J2RU	MSM79H58	MSM79H5E	MSM79H5M	MSM79H5S	MSM79H5U	MSM79H6D	MSM79H6L	MSM79H83	MSM79H8H	MSM79H9A	MSM79HA7	MSM79HBL	MSM79HC8	MSM79HCP	MSM9VZGO	MSM9VZHB	MSM9VZHN	MSM9VZHP	MSM9VZHR	MSM9VZJZ	MSM9VZKE	MSM9VZL7	MSM9VZLJ	MSM9VZMI	MSM9VZMS	MSM9VZMW	MSM9VZNL	MSM9VZOI	MSM9VZOO	MSM9VZPT	MSMA26BB	MSMA26BF	MSMA26BH	MSMA26BJ	MSMA26BN	MSMA26BR	MSMA26BV	MSMA26DI	MSMAPC5H	MSMAPC6M	MSMAPC7T	MSMB4LZX	MSMB4LZZ	PSM6XBTR	PSM7J154	PSM7J15M	PSM7J17V	PSM7J19P	PSM7J19R	PSM7J1DL	PSMA265L
k__Archaea	0	0	0	0	0	0	0	0	0	0	0	8.33211e-05	0.0001575462	0.0017419083	0	0	0	0	0	0	0	0	0	0	0.0002087363	0	0.0019055575	0.000746455	0.0025085311	0	0.0015736412	0.0003936645	0	0	0	0.0031029299	0.0023913535	0	0	0	0	0	0	0.0001794201	0	0	0	0	0	0.0007137282	0.0081639399	0.0061934976	0	0	0.0001595266	0.0012650915	0	0	0.0012657093	0.0004052325	0	0	0	0.001381729	0	0	0	0	0	0	0	0.0138985136	0	0	0	0	0	0	0.0017576955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	8.33211e-05	0.0001575462	0.0017419083	0	0	0	0	0	0	0	0	0	0	0.0002087363	0	0.0019055575	0.000746455	0.0025085311	0	0.0015736412	0.0003936645	0	0	0	0.0031029299	0.0023913535	0	0	0	0	0	0	0.0001794201	0	0	0	0	0	0.0007137282	0.0081639399	0.0061934976	0	0	0.0001595266	0.0012650915	0	0	0.0012657093	0.0004052325	0	0	0	0.001381729	0	0	0	0	0	0	0	0.0138985136	0	0	0	0	0	0	0.0017576955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0079630489	0.0059658327	0	0	0	0	0	0	0	0	0	0	0	0.0006076287	0	0	0	0	0	0	0	0.0011882806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0079630489	0.0059658327	0	0	0	0	0	0	0	0	0	0	0	0.0006076287	0	0	0	0	0	0	0	0.0011882806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0079630489	0.0059658327	0	0	0	0	0	0	0	0	0	0	0	0.0006076287	0	0	0	0	0	0	0	0.0011882806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0079630489	0.0059658327	0	0	0	0	0	0	0	0	0	0	0	0.0006076287	0	0	0	0	0	0	0	0.0011882806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_26918]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0079630489	0.0059658327	0	0	0	0	0	0	0	0	0	0	0	0.0006076287	0	0	0	0	0	0	0	0.0011882806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	8.33211e-05	0.0001575462	0.0005438157	0	0	0	0	0	0	0	0	0	0	0.0002087363	0	0	0	0	0	0.0002642626	0	0	0	0	0.0001924619	0.0001559785	0	0	0	0	0	0	0	0	0	0	0	0	0.0007137282	0.000200891	0.0002276649	0	0	0	0	0	0	0.0004731013	0	0	0	0	0.0007741002	0	0	0	0	0	0	0	0.012710233	0	0	0	0	0	0	0.0017576955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	8.33211e-05	0.0001575462	0.0005438157	0	0	0	0	0	0	0	0	0	0	0.0002087363	0	0	0	0	0	0.0002642626	0	0	0	0	0.0001924619	0.0001559785	0	0	0	0	0	0	0	0	0	0	0	0	0.0007137282	0.000200891	0.0002276649	0	0	0	0	0	0	0.0004731013	0	0	0	0	0.0007741002	0	0	0	0	0	0	0	0.012710233	0	0	0	0	0	0	0.0017576955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	8.33211e-05	0.0001575462	0.0005438157	0	0	0	0	0	0	0	0	0	0	0.0002087363	0	0	0	0	0	0.0002642626	0	0	0	0	0.0001924619	0.0001559785	0	0	0	0	0	0	0	0	0	0	0	0	0.0007137282	0.000200891	0.0002276649	0	0	0	0	0	0	0.0004731013	0	0	0	0	0.0007741002	0	0	0	0	0	0	0	0.012710233	0	0	0	0	0	0	0.0017576955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
